provenienza,area
Francia,Estero
Paesi Bassi,Estero
Germania,Estero
Regno Unito,Estero
Spagna,Estero
Belgio,Estero
Svizzera (incluso Liechtenstein),Estero
Austria,Estero
Polonia,Estero
Slovenia,Estero
Stati Uniti d'America,Estero
Piemonte,Italia
Lombardia,Italia
Veneto,Italia
Friuli-Venezia Giulia,Italia
Liguria,Italia
Emilia Romagna,Italia
Toscana,Italia
Umbria,Italia
Marche,Italia
Lazio,Italia
Abruzzo,Italia
Campania,Italia
Puglia,Italia
Basilicata,Italia
Calabria,Italia
Sicilia,Italia
Sardegna,Italia
Bolzano,Italia
Portogallo,Estero
Lussemburgo,Estero
Svezia,Estero
Lituania,Estero
Repubblica Ceca,Estero
Slovacchia,Estero
Romania,Estero
Israele,Estero
Valle d'Aosta,Italia
Trento,Italia
Ungheria,Estero
Croazia,Estero
Altri Paesi Centro - Sud America,Estero
Altri Paesi Asia Occidentale,Estero
Grecia,Estero
Malta,Estero
Bulgaria,Estero
Russia,Estero
Altri Paesi Africa Mediterranea,Estero
Cipro,Estero
Molise,Italia
India,Estero
Turchia,Estero
Altri Paesi Europei,Estero
Lettonia,Estero
Moldavia,Estero
Canada,Estero
Altri Paesi dell'Asia,Estero
Irlanda,Estero
Finlandia,Estero
Estonia,Estero
Altri Paesi dell'Africa,Estero
Sud Africa,Estero
Brasile,Estero
Argentina,Estero
Australia,Estero
Norvegia,Estero
Ucraina,Estero
Bielorussia,Estero
Altri Paesi o territori del Nord Americani,Estero
Nuova Zelanda,Estero
Danimarca,Estero
Giappone,Estero
Cina,Estero
Corea del Sud,Estero
Egitto,Estero
Venezuela,Estero
Islanda,Estero
Messico,Estero
Altri Paesi o territori dell'Oceania,Estero
Non specificato,Non specificato
