comune,presenze_totali,quota_italia_pct,quota_estero_pct,primo_mercato_estero,quota_primo_mercato_estero_pct
Abbasanta,16540.0,69.5,30.5,Germania,6.03
Aggius,4697.0,23.91,76.09,Francia,20.03
Aglientu,1265517.0,52.48,47.52,Germania,19.88
Aidomaggiore,595.0,78.32,21.68,Spagna,4.54
Albagiara,105.0,46.67,53.33,Paesi Bassi,17.14
Ales,3715.0,60.78,39.22,Francia,9.64
Alghero,6068724.0,36.77,63.23,Germania,10.3
Allai,93.0,86.02,13.98,Germania,8.6
Alà Dei Sardi,582.0,73.54,26.46,Regno Unito,10.65
Anela,362.0,100.0,0.0,,
Arborea,414323.0,65.73,34.27,Germania,16.8
Arbus,263372.0,47.59,52.41,Germania,19.87
Ardara,171.0,53.22,46.78,Germania,11.11
Ardauli,26.0,0.0,100.0,Francia,76.92
Aritzo,15112.0,54.78,45.22,Germania,15.58
Armungia,430.0,59.3,40.7,Spagna,13.95
Arzachena,4859458.0,34.34,65.66,Germania,17.97
Arzana,1204.0,27.24,72.76,Germania,36.13
Assemini,122246.0,71.77,28.23,Francia,4.66
Assolo,152.0,23.68,76.32,Germania,29.61
Atzara,1657.0,78.76,21.24,Paesi Bassi,5.49
Austis,885.0,57.74,42.26,Francia,12.99
Badesi,1397886.0,54.76,45.24,Francia,9.43
Ballao,635.0,56.06,43.94,Germania,8.03
Banari,749.0,25.77,74.23,Francia,12.15
Baradili,297.0,37.71,62.29,Francia,19.19
Baratili San Pietro,10422.0,54.52,45.48,Francia,13.83
Baressa,3522.0,57.5,42.5,Germania,13.77
Bari Sardo,875851.0,35.21,64.79,Germania,37.32
Barumini,9300.0,62.81,37.19,Francia,9.14
Bauladu,4382.0,66.96,33.04,Francia,8.56
Baunei,399143.0,30.27,69.73,Germania,23.65
Belvì,1104.0,66.21,33.79,Francia,13.13
Benetutti,24106.0,84.28,15.72,Francia,3.28
Berchidda,13709.0,63.34,36.66,Germania,7.37
Bessude,197.0,33.5,66.5,Canada,18.27
Bitti,14168.0,31.39,68.61,Germania,14.34
Bolotana,4128.0,70.59,29.41,Francia,7.29
Bonarcado,13139.0,60.61,39.39,Francia,9.31
Bonnanaro,62.0,53.23,46.77,Germania,19.35
Bono,1675.0,46.57,53.43,Germania,15.4
Bonorva,1758.0,66.72,33.28,Spagna,9.95
Boroneddu,46.0,73.91,26.09,Spagna,26.09
Borore,16.0,100.0,0.0,,
Bortigali,1317.0,92.18,7.82,Stati Uniti d'America,2.13
Bortigiadas,4910.0,51.61,48.39,Francia,13.18
Bosa,421801.0,44.95,55.05,Francia,10.84
Bottidda,1418.0,68.05,31.95,Germania,7.4
Buddusò,251.0,76.1,23.9,Germania,6.37
Budoni,3034572.0,48.25,51.75,Francia,17.21
Buggerru,79421.0,58.92,41.08,Germania,13.5
Bultei,209.0,91.87,8.13,Germania,3.83
Burcei,1326.0,58.22,41.78,Francia,14.25
Burgos,170.0,32.35,67.65,Altri Paesi Centro - Sud America,37.65
Busachi,251.0,97.21,2.79,Francia,1.59
Cabras,399711.0,62.01,37.99,Germania,11.72
Cagliari,3723210.0,42.14,57.86,Germania,8.06
Calangianus,9891.0,21.24,78.76,Francia,19.17
Calasetta,230110.0,70.94,29.06,Germania,8.12
Capoterra,248256.0,31.62,68.38,Germania,18.78
Carbonia,152961.0,58.66,41.34,Germania,10.19
Cardedu,673369.0,43.87,56.13,Germania,24.2
Carloforte,188284.0,78.45,21.55,Francia,4.37
Castelsardo,834726.0,23.83,76.17,Francia,18.0
Castiadas,1307592.0,67.57,32.43,Germania,10.94
Cheremule,1376.0,35.54,64.46,Germania,11.92
Chiaramonti,2363.0,42.07,57.93,Francia,17.6
Codrongianos,1719.0,23.73,76.27,Spagna,22.69
Collinas,1108.0,37.09,62.91,Francia,25.63
Cossoine,1346.0,28.83,71.17,Francia,22.21
Cuglieri,548518.0,56.0,44.0,Germania,17.02
Decimomannu,7488.0,67.64,32.36,Francia,6.85
Decimoputzu,22.0,100.0,0.0,,
Desulo,2657.0,67.9,32.1,Germania,7.98
Dolianova,5360.0,43.26,56.74,Francia,14.81
Domus De Maria,891763.0,53.14,46.86,Germania,12.61
Domusnovas,4316.0,57.3,42.7,Germania,8.87
Donori,323.0,0.62,99.38,Austria,38.39
Dorgali,1920435.0,37.0,63.0,Germania,16.11
Dualchi,147.0,87.07,12.93,Spagna,10.2
Elini,858.0,71.91,28.09,Germania,15.15
Elmas,49934.0,65.99,34.01,Francia,4.91
Erula,495.0,6.06,93.94,Francia,43.03
Escalaplano,412.0,89.32,10.68,Francia,3.4
Escolca,855.0,69.01,30.99,Germania,6.78
Esterzili,41.0,85.37,14.63,Austria,9.76
Florinas,676.0,49.26,50.74,Francia,16.86
Fluminimaggiore,27285.0,52.03,47.97,Germania,19.94
Flussio,3798.0,37.28,62.72,Francia,16.82
Fonni,14455.0,65.7,34.3,Francia,19.49
Fordongianus,128801.0,98.77,1.23,Germania,0.27
Furtei,546.0,52.2,47.8,Francia,21.43
Gadoni,1934.0,89.87,10.13,Germania,2.48
Gairo,84889.0,37.12,62.88,Germania,35.62
Galtellì,49695.0,32.53,67.47,Germania,17.51
Gavoi,5434.0,82.13,17.87,Francia,3.7
Genoni,547.0,35.83,64.17,Francia,26.87
Gergei,1859.0,18.67,81.33,Stati Uniti d'America,15.81
Gesturi,2713.0,29.86,70.14,Germania,23.48
Ghilarza,9839.0,64.47,35.53,Spagna,7.35
Giba,14767.0,66.47,33.53,Germania,8.8
Girasole,35954.0,60.75,39.25,Germania,15.63
Golfo Aranci,1088543.0,42.84,57.16,Germania,19.35
Gonnesa,65001.0,59.05,40.95,Germania,12.22
Gonnosfanadiga,5876.0,40.06,59.94,Germania,15.33
Gonnosnò,114.0,25.44,74.56,Spagna,40.35
Gonnostramatza,1143.0,27.73,72.27,Francia,17.59
Guamaggiore,67.0,100.0,0.0,,
Guasila,174.0,93.68,6.32,Germania,6.32
Guspini,38916.0,49.21,50.79,Francia,12.38
Iglesias,240332.0,57.01,42.99,Francia,11.12
Ilbono,12695.0,55.3,44.7,Germania,15.43
Irgoli,15801.0,46.05,53.95,Germania,22.06
Isili,6174.0,77.13,22.87,Francia,3.58
Ittiri,3074.0,69.52,30.48,Francia,6.67
Jerzu,25665.0,35.08,64.92,Germania,23.31
La Maddalena,1183012.0,53.97,46.03,Francia,11.05
Laconi,7863.0,82.59,17.41,Germania,3.29
Laerru,1083.0,16.9,83.1,Germania,28.53
Lanusei,28268.0,72.22,27.78,Francia,6.43
Las Plassas,166.0,46.99,53.01,Francia,30.72
Loceri,16780.0,44.71,55.29,Germania,20.56
Loculi,4031.0,37.73,62.27,Germania,16.94
Lodine,56.0,100.0,0.0,,
Lodè,624.0,51.76,48.24,Francia,20.67
Loiri Porto San Paolo,622956.0,36.5,63.5,Germania,23.39
Lotzorai,377711.0,49.06,50.94,Germania,28.61
Lula,628.0,73.73,26.27,Francia,10.67
Lunamatrona,654.0,38.69,61.31,Francia,18.81
Luogosanto,36619.0,26.36,73.64,Germania,14.99
Luras,2520.0,43.65,56.35,Francia,21.55
Macomer,44388.0,96.14,3.86,Spagna,0.62
Magomadas,47590.0,27.98,72.02,Germania,25.66
Mamoiada,9005.0,57.41,42.59,Francia,9.19
Mandas,6255.0,43.37,56.63,Germania,14.42
Mara,402.0,41.54,58.46,Spagna,22.64
Maracalagonis,538768.0,65.78,34.22,Germania,9.65
Marrubiu,6749.0,60.31,39.69,Francia,11.54
Martis,2010.0,32.54,67.46,Francia,15.57
Masainas,11612.0,61.57,38.43,Francia,12.69
Masullas,449.0,52.56,47.44,Germania,19.6
Meana Sardo,1147.0,82.39,17.61,Francia,4.36
Milis,6646.0,25.37,74.63,Germania,22.15
