mercato,mese,presenze,quota_pct_mese
Francia,1,10067,0.19
Francia,2,14227,0.27
Francia,3,18448,0.36
Francia,4,242432,4.68
Francia,5,473248,9.14
Francia,6,550921,10.64
Francia,7,1191155,23.01
Francia,8,1573083,30.39
Francia,9,732846,14.16
Francia,10,320265,6.19
Francia,11,30925,0.6
Francia,12,19159,0.37
Germania,1,11221,0.11
Germania,2,12473,0.12
Germania,3,43735,0.42
Germania,4,413347,3.96
Germania,5,1431029,13.7
Germania,6,1896331,18.16
Germania,7,1347851,12.91
Germania,8,1553671,14.88
Germania,9,2374178,22.73
Germania,10,1289788,12.35
Germania,11,47341,0.45
Germania,12,23387,0.22
Italia,1,361172,1.02
Italia,2,390639,1.1
Italia,3,484718,1.37
Italia,4,811629,2.29
Italia,5,1253137,3.54
Italia,6,5283691,14.91
Italia,7,8597472,24.27
Italia,8,11501977,32.46
Italia,9,4788732,13.52
Italia,10,1058340,2.99
Italia,11,459072,1.3
Italia,12,440919,1.24
