comune,rank,mercato,presenze,quota_pct
Abbasanta,1,Italia,11496,69.5
Abbasanta,2,Germania,997,6.03
Abbasanta,3,Francia,876,5.3
Abbasanta,4,Svizzera (incluso Liechtenstein),448,2.71
Abbasanta,5,Paesi Bassi,375,2.27
Aggius,1,Italia,1123,23.91
Aggius,2,Francia,941,20.03
Aggius,3,Germania,895,19.05
Aggius,4,Spagna,243,5.17
Aggius,5,Svizzera (incluso Liechtenstein),202,4.3
Aglientu,1,Italia,664137,52.48
Aglientu,2,Germania,251586,19.88
Aglientu,3,Svizzera (incluso Liechtenstein),100639,7.95
Aglientu,4,Francia,70550,5.57
Aglientu,5,Austria,32707,2.58
Aidomaggiore,1,Italia,466,78.32
Aidomaggiore,2,Spagna,27,4.54
Aidomaggiore,3,Francia,26,4.37
Aidomaggiore,4,Svizzera (incluso Liechtenstein),18,3.03
Aidomaggiore,5,Germania,16,2.69
Albagiara,1,Italia,49,46.67
Albagiara,2,Paesi Bassi,18,17.14
Albagiara,3,Francia,10,9.52
Albagiara,4,Spagna,8,7.62
Albagiara,5,Germania,6,5.71
Ales,1,Italia,2258,60.78
Ales,2,Francia,358,9.64
Ales,3,Germania,206,5.55
Ales,4,Spagna,180,4.85
Ales,5,Polonia,88,2.37
Alghero,1,Italia,2231604,36.77
Alghero,2,Germania,625295,10.3
Alghero,3,Francia,466595,7.69
Alghero,4,Svizzera (incluso Liechtenstein),246273,4.06
Alghero,5,Irlanda,241326,3.98
Allai,1,Italia,80,86.02
Allai,2,Germania,8,8.6
Allai,3,Regno Unito,3,3.23
Allai,4,Francia,2,2.15
Alà Dei Sardi,1,Italia,428,73.54
Alà Dei Sardi,2,Regno Unito,62,10.65
Alà Dei Sardi,3,Germania,22,3.78
Alà Dei Sardi,4,Francia,18,3.09
Alà Dei Sardi,5,Svizzera (incluso Liechtenstein),14,2.41
Anela,1,Italia,362,100.0
Arborea,1,Italia,272325,65.73
Arborea,2,Germania,69626,16.8
Arborea,3,Francia,21884,5.28
