comune,anno,rank,mercato,presenze,quota_pct
Abbasanta,2022,1,Italia,5482,74.23
Abbasanta,2022,2,Francia,356,4.82
Abbasanta,2022,3,Svizzera (incluso Liechtenstein),276,3.74
Abbasanta,2022,4,Paesi Bassi,272,3.68
Abbasanta,2022,5,Germania,264,3.57
Abbasanta,2023,1,Italia,1043,76.08
Abbasanta,2023,2,Francia,131,9.56
Abbasanta,2023,3,Germania,58,4.23
Abbasanta,2023,4,Romania,40,2.92
Abbasanta,2023,5,Spagna,27,1.97
Abbasanta,2024,1,Italia,1868,61.69
Abbasanta,2024,2,Francia,196,6.47
Abbasanta,2024,3,Germania,189,6.24
Abbasanta,2024,4,Spagna,103,3.4
Abbasanta,2024,5,Malta,88,2.91
Abbasanta,2025,1,Italia,3103,65.24
Abbasanta,2025,2,Germania,486,10.22
Abbasanta,2025,3,Francia,193,4.06
Abbasanta,2025,4,Malta,113,2.38
Abbasanta,2025,5,Spagna,110,2.31
Aggius,2022,1,Italia,294,37.36
Aggius,2022,2,Francia,169,21.47
Aggius,2022,3,Germania,125,15.88
Aggius,2022,4,Regno Unito,42,5.34
Aggius,2022,5,Spagna,29,3.68
Aggius,2023,1,Germania,223,26.77
Aggius,2023,2,Italia,183,21.97
Aggius,2023,3,Francia,155,18.61
Aggius,2023,4,Spagna,78,9.36
Aggius,2023,5,Polonia,52,6.24
Aggius,2024,1,Italia,301,35.33
Aggius,2024,2,Francia,159,18.66
Aggius,2024,3,Germania,151,17.72
Aggius,2024,4,Paesi Bassi,69,8.1
Aggius,2024,5,Svizzera (incluso Liechtenstein),34,3.99
Aggius,2025,1,Francia,458,20.58
Aggius,2025,2,Germania,396,17.8
Aggius,2025,3,Italia,345,15.51
Aggius,2025,4,Svizzera (incluso Liechtenstein),116,5.21
Aggius,2025,5,Paesi Bassi,115,5.17
Aglientu,2022,1,Italia,189455,57.16
Aglientu,2022,2,Germania,63433,19.14
Aglientu,2022,3,Svizzera (incluso Liechtenstein),25582,7.72
Aglientu,2022,4,Francia,13512,4.08
Aglientu,2022,5,Austria,10780,3.25
Aglientu,2023,1,Italia,116993,48.64
Aglientu,2023,2,Germania,54262,22.56
Aglientu,2023,3,Svizzera (incluso Liechtenstein),24862,10.34
Aglientu,2023,4,Francia,12108,5.03
Aglientu,2023,5,Austria,6924,2.88
Aglientu,2024,1,Italia,176060,53.93
Aglientu,2024,2,Germania,61767,18.92
Aglientu,2024,3,Svizzera (incluso Liechtenstein),25674,7.86
Aglientu,2024,4,Francia,16778,5.14
Aglientu,2024,5,Austria,7187,2.2
Aglientu,2025,1,Italia,181629,49.48
Aglientu,2025,2,Germania,72124,19.65
Aglientu,2025,3,Francia,28152,7.67
Aglientu,2025,4,Svizzera (incluso Liechtenstein),24521,6.68
Aglientu,2025,5,Polonia,9728,2.65
Aidomaggiore,2024,1,Italia,156,67.83
Aidomaggiore,2024,2,Spagna,18,7.83
Aidomaggiore,2024,3,Francia,13,5.65
Aidomaggiore,2024,4,Austria,9,3.91
Aidomaggiore,2024,5,Germania,9,3.91
Aidomaggiore,2025,1,Italia,310,84.93
Aidomaggiore,2025,2,Francia,13,3.56
Aidomaggiore,2025,3,Spagna,9,2.47
Aidomaggiore,2025,4,Svizzera (incluso Liechtenstein),9,2.47
Aidomaggiore,2025,5,Germania,7,1.92
Albagiara,2025,1,Italia,49,46.67
Albagiara,2025,2,Paesi Bassi,18,17.14
Albagiara,2025,3,Francia,10,9.52
Albagiara,2025,4,Spagna,8,7.62
Albagiara,2025,5,Germania,6,5.71
Ales,2022,1,Italia,640,71.19
Ales,2022,2,Francia,84,9.34
Ales,2022,3,Spagna,63,7.01
Ales,2022,4,Germania,50,5.56
Ales,2022,5,Paesi Bassi,19,2.11
Ales,2023,1,Italia,468,61.74
Ales,2023,2,Francia,92,12.14
Ales,2023,3,Spagna,49,6.46
Ales,2023,4,Germania,46,6.07
Ales,2023,5,Stati Uniti d'America,32,4.22
Ales,2024,1,Italia,467,57.16
Ales,2024,2,Germania,68,8.32
Ales,2024,3,Francia,56,6.85
Ales,2024,4,Finlandia,47,5.75
Ales,2024,5,Polonia,26,3.18
Ales,2025,1,Italia,683,55.04
Ales,2025,2,Francia,126,10.15
Ales,2025,3,Polonia,56,4.51
Ales,2025,4,Spagna,46,3.71
Ales,2025,5,Romania,43,3.46
Alghero,2022,1,Italia,536223,41.51
Alghero,2022,2,Germania,131338,10.17
Alghero,2022,3,Francia,94704,7.33
Alghero,2022,4,Svizzera (incluso Liechtenstein),61580,4.77
Alghero,2022,5,Polonia,51305,3.97
Alghero,2023,1,Italia,536467,39.06
Alghero,2023,2,Germania,126915,9.24
Alghero,2023,3,Francia,101004,7.35
Alghero,2023,4,Irlanda,61639,4.49
Alghero,2023,5,Svizzera (incluso Liechtenstein),59415,4.33
Alghero,2024,1,Italia,572832,36.03
Alghero,2024,2,Germania,163757,10.3
Alghero,2024,3,Francia,130067,8.18
Alghero,2024,4,Irlanda,72167,4.54
Alghero,2024,5,Polonia,59377,3.73
Alghero,2025,1,Italia,586082,32.31
Alghero,2025,2,Germania,203285,11.21
Alghero,2025,3,Francia,140820,7.76
Alghero,2025,4,Polonia,85254,4.7
Alghero,2025,5,Spagna,69629,3.84
Allai,2024,1,Italia,40,95.24
Allai,2024,2,Francia,2,4.76
Allai,2025,1,Italia,40,78.43
Allai,2025,2,Germania,8,15.69
Allai,2025,3,Regno Unito,3,5.88
Alà Dei Sardi,2023,1,Italia,208,85.6
Alà Dei Sardi,2023,2,Regno Unito,24,9.88
Alà Dei Sardi,2023,3,Stati Uniti d'America,5,2.06
Alà Dei Sardi,2023,4,Altri Paesi dell'Asia,3,1.23
Alà Dei Sardi,2023,5,Austria,3,1.23
Alà Dei Sardi,2024,1,Italia,94,77.05
Alà Dei Sardi,2024,2,Australia,8,6.56
Alà Dei Sardi,2024,3,Portogallo,8,6.56
Alà Dei Sardi,2024,4,Irlanda,6,4.92
Alà Dei Sardi,2024,5,Regno Unito,6,4.92
Alà Dei Sardi,2025,1,Italia,126,58.06
Alà Dei Sardi,2025,2,Regno Unito,32,14.75
Alà Dei Sardi,2025,3,Germania,22,10.14
Alà Dei Sardi,2025,4,Francia,18,8.29
Alà Dei Sardi,2025,5,Svizzera (incluso Liechtenstein),14,6.45
Anela,2024,1,Italia,208,100.0
Anela,2025,1,Italia,154,100.0
Arborea,2022,1,Italia,59338,64.17
Arborea,2022,2,Germania,21996,23.79
Arborea,2022,3,Francia,3077,3.33
Arborea,2022,4,Svizzera (incluso Liechtenstein),1594,1.72
Arborea,2022,5,Paesi Bassi,870,0.94
Arborea,2023,1,Italia,85757,67.55
Arborea,2023,2,Germania,24388,19.21
Arborea,2023,3,Romania,5354,4.22
Arborea,2023,4,Francia,2536,2.0
Arborea,2023,5,Svizzera (incluso Liechtenstein),1653,1.3
Arborea,2024,1,Italia,58720,66.82
Arborea,2024,2,Germania,13707,15.6
Arborea,2024,3,Francia,2823,3.21
Arborea,2024,4,Romania,2712,3.09
Arborea,2024,5,Spagna,1485,1.69
Arborea,2025,1,Italia,68510,64.01
Arborea,2025,2,Francia,13448,12.57
Arborea,2025,3,Germania,9535,8.91
Arborea,2025,4,Romania,3152,2.95
Arborea,2025,5,Spagna,2271,2.12
Arbus,2022,1,Italia,24573,48.9
Arbus,2022,2,Germania,10384,20.66
Arbus,2022,3,Francia,3923,7.81
Arbus,2022,4,Svizzera (incluso Liechtenstein),3277,6.52
Arbus,2022,5,Austria,1550,3.08
Arbus,2023,1,Italia,26722,48.84
Arbus,2023,2,Germania,9817,17.94
Arbus,2023,3,Francia,4162,7.61
Arbus,2023,4,Svizzera (incluso Liechtenstein),3488,6.37
Arbus,2023,5,Portogallo,1762,3.22
Arbus,2024,1,Italia,33534,46.78
Arbus,2024,2,Germania,14733,20.55
Arbus,2024,3,Francia,5516,7.69
Arbus,2024,4,Svizzera (incluso Liechtenstein),4581,6.39
Arbus,2024,5,Austria,1765,2.46
Arbus,2025,1,Italia,40506,46.71
Arbus,2025,2,Germania,17389,20.05
Arbus,2025,3,Francia,6708,7.74
Arbus,2025,4,Svizzera (incluso Liechtenstein),5272,6.08
Arbus,2025,5,Austria,2355,2.72
Ardara,2025,1,Italia,91,53.22
Ardara,2025,2,Germania,19,11.11
Ardara,2025,3,Egitto,10,5.85
Ardara,2025,4,Portogallo,8,4.68
Ardara,2025,5,Romania,8,4.68
Ardauli,2024,1,Francia,20,76.92
Ardauli,2024,2,Svizzera (incluso Liechtenstein),6,23.08
Aritzo,2022,1,Italia,2244,56.71
Aritzo,2022,2,Germania,817,20.65
Aritzo,2022,3,Svizzera (incluso Liechtenstein),237,5.99
Aritzo,2022,4,Paesi Bassi,180,4.55
Aritzo,2022,5,Francia,172,4.35
Aritzo,2023,1,Italia,1989,54.33
Aritzo,2023,2,Germania,493,13.47
Aritzo,2023,3,Francia,327,8.93
Aritzo,2023,4,Svizzera (incluso Liechtenstein),180,4.92
Aritzo,2023,5,Stati Uniti d'America,152,4.15
Aritzo,2024,1,Italia,2082,53.83
Aritzo,2024,2,Germania,489,12.64
Aritzo,2024,3,Portogallo,234,6.05
Aritzo,2024,4,Svizzera (incluso Liechtenstein),190,4.91
Aritzo,2024,5,Francia,139,3.59
Aritzo,2025,1,Italia,1963,54.14
Aritzo,2025,2,Germania,556,15.33
Aritzo,2025,3,Svizzera (incluso Liechtenstein),279,7.69
Aritzo,2025,4,Francia,147,4.05
Aritzo,2025,5,Paesi Bassi,144,3.97
Armungia,2023,1,Italia,14,100.0
Armungia,2024,1,Italia,69,32.39
Armungia,2024,2,Spagna,60,28.17
Armungia,2024,3,Germania,24,11.27
Armungia,2024,4,Stati Uniti d'America,24,11.27
Armungia,2024,5,Slovenia,18,8.45
Armungia,2025,1,Italia,172,84.73
Armungia,2025,2,Altri Paesi dell'Africa,18,8.87
Armungia,2025,3,Paesi Bassi,13,6.4
Arzachena,2022,1,Italia,461888,38.4
Arzachena,2022,2,Germania,229862,19.11
Arzachena,2022,3,Regno Unito,87056,7.24
Arzachena,2022,4,Svizzera (incluso Liechtenstein),80587,6.7
Arzachena,2022,5,Francia,52095,4.33
Arzachena,2023,1,Italia,401027,35.92
Arzachena,2023,2,Germania,198527,17.78
Arzachena,2023,3,Regno Unito,85221,7.63
Arzachena,2023,4,Svizzera (incluso Liechtenstein),71650,6.42
Arzachena,2023,5,Francia,49068,4.39
Arzachena,2024,1,Italia,390788,32.89
Arzachena,2024,2,Germania,207667,17.48
