comune,anno,mese,presenze_mese,presenze_stimate,superficie_kmq,densita_turistica,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2024,2,50.0,False,39.816,1.26,11.0,True
Abbasanta,2024,3,227.0,False,39.816,5.7,11.0,True
Abbasanta,2024,4,296.0,False,39.816,7.43,11.0,True
Abbasanta,2024,5,289.0,False,39.816,7.26,11.0,True
Abbasanta,2024,6,301.0,False,39.816,7.56,11.0,True
Abbasanta,2024,7,444.0,False,39.816,11.15,11.0,True
Abbasanta,2024,8,581.0,False,39.816,14.59,11.0,True
Abbasanta,2024,9,411.0,False,39.816,10.32,11.0,True
Abbasanta,2024,10,254.0,False,39.816,6.38,11.0,True
Abbasanta,2024,11,80.0,False,39.816,2.01,11.0,True
Abbasanta,2024,12,95.0,False,39.816,2.39,11.0,True
Aggius,2024,1,1.08,True,86.445,0.01,12.0,True
Aggius,2024,2,1.01,True,86.445,0.01,12.0,True
Aggius,2024,3,1.38,True,86.445,0.02,12.0,True
Aggius,2024,4,19.28,True,86.445,0.22,12.0,True
Aggius,2024,5,54.52,True,86.445,0.63,12.0,True
Aggius,2024,6,78.86,True,86.445,0.91,12.0,True
Aggius,2024,7,190.58,True,86.445,2.2,12.0,True
Aggius,2024,8,396.69,True,86.445,4.59,12.0,True
Aggius,2024,9,95.71,True,86.445,1.11,12.0,True
Aggius,2024,10,2.26,True,86.445,0.03,12.0,True
Aggius,2024,11,1.17,True,86.445,0.01,12.0,True
Aggius,2024,12,9.47,True,86.445,0.11,12.0,True
Aglientu,2024,1,54.0,False,148.358,0.36,11.0,True
Aglientu,2024,3,150.0,False,148.358,1.01,11.0,True
Aglientu,2024,4,1152.0,False,148.358,7.77,11.0,True
Aglientu,2024,5,13149.0,False,148.358,88.63,11.0,True
Aglientu,2024,6,36175.0,False,148.358,243.84,11.0,True
Aglientu,2024,7,92259.0,False,148.358,621.87,11.0,True
Aglientu,2024,8,120561.0,False,148.358,812.64,11.0,True
Aglientu,2024,9,51730.0,False,148.358,348.68,11.0,True
Aglientu,2024,10,10708.0,False,148.358,72.18,11.0,True
Aglientu,2024,11,322.0,False,148.358,2.17,11.0,True
Aglientu,2024,12,205.0,False,148.358,1.38,11.0,True
Aidomaggiore,2024,1,0.53,True,41.236,0.01,12.0,True
Aidomaggiore,2024,2,0.49,True,41.236,0.01,12.0,True
Aidomaggiore,2024,3,0.67,True,41.236,0.02,12.0,True
Aidomaggiore,2024,4,1.11,True,41.236,0.03,12.0,True
Aidomaggiore,2024,5,1.23,True,41.236,0.03,12.0,True
Aidomaggiore,2024,6,2.36,True,41.236,0.06,12.0,True
Aidomaggiore,2024,7,27.2,True,41.236,0.66,12.0,True
Aidomaggiore,2024,8,103.25,True,41.236,2.5,12.0,True
Aidomaggiore,2024,9,44.8,True,41.236,1.09,12.0,True
Aidomaggiore,2024,10,33.1,True,41.236,0.8,12.0,True
Aidomaggiore,2024,11,14.57,True,41.236,0.35,12.0,True
Aidomaggiore,2024,12,0.71,True,41.236,0.02,12.0,True
Ales,2024,1,16.62,True,22.204,0.75,12.0,True
Ales,2024,2,20.57,True,22.204,0.93,12.0,True
Ales,2024,3,22.79,True,22.204,1.03,12.0,True
Ales,2024,4,76.3,True,22.204,3.44,12.0,True
Ales,2024,5,43.44,True,22.204,1.96,12.0,True
Ales,2024,6,105.78,True,22.204,4.76,12.0,True
Ales,2024,7,109.76,True,22.204,4.94,12.0,True
Ales,2024,8,235.82,True,22.204,10.62,12.0,True
Ales,2024,9,75.12,True,22.204,3.38,12.0,True
Ales,2024,10,42.29,True,22.204,1.9,12.0,True
Ales,2024,11,67.67,True,22.204,3.05,12.0,True
Ales,2024,12,0.84,True,22.204,0.04,12.0,True
Alghero,2024,1,8693.0,False,225.428,38.56,12.0,True
Alghero,2024,2,7966.0,False,225.428,35.34,12.0,True
Alghero,2024,3,15533.0,False,225.428,68.9,12.0,True
Alghero,2024,4,72571.0,False,225.428,321.93,12.0,True
Alghero,2024,5,151199.0,False,225.428,670.72,12.0,True
Alghero,2024,6,230181.0,False,225.428,1021.08,12.0,True
Alghero,2024,7,321664.0,False,225.428,1426.9,12.0,True
Alghero,2024,8,363573.0,False,225.428,1612.81,12.0,True
Alghero,2024,9,266917.0,False,225.428,1184.05,12.0,True
Alghero,2024,10,123689.0,False,225.428,548.69,12.0,True
Alghero,2024,11,13390.0,False,225.428,59.4,12.0,True
Alghero,2024,12,14380.0,False,225.428,63.79,12.0,True
Allai,2024,1,1.3,True,27.481,0.05,12.0,True
Allai,2024,2,1.21,True,27.481,0.04,12.0,True
Allai,2024,3,1.66,True,27.481,0.06,12.0,True
Allai,2024,4,2.73,True,27.481,0.1,12.0,True
Allai,2024,5,3.03,True,27.481,0.11,12.0,True
Allai,2024,6,5.83,True,27.481,0.21,12.0,True
Allai,2024,7,7.9,True,27.481,0.29,12.0,True
Allai,2024,8,8.03,True,27.481,0.29,12.0,True
Allai,2024,9,4.45,True,27.481,0.16,12.0,True
Allai,2024,10,2.71,True,27.481,0.1,12.0,True
Allai,2024,11,1.4,True,27.481,0.05,12.0,True
Allai,2024,12,1.76,True,27.481,0.06,12.0,True
Alà Dei Sardi,2024,1,1.24,True,197.51,0.01,12.0,True
Alà Dei Sardi,2024,2,1.15,True,197.51,0.01,12.0,True
Alà Dei Sardi,2024,3,1.58,True,197.51,0.01,12.0,True
Alà Dei Sardi,2024,4,2.6,True,197.51,0.01,12.0,True
