,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,area_km2_reg,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe
288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.1252345596850721,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100,5
77,113012,La Maddalena,113012.0,30,72,69,14,157,113012,52.98135394009157,96.37321785368938,1.629083302358464,0.9666352311942009,0.7470955271962384,0.5579547103646192,0.715966546896395,0.5399765060601236,0.1452685747326019,0.13563917258582545,0.3112898029984327,0.27101123527123716,63.74847774973604,35.90183918941019,16.23035883849882,6.95486499222716,11.379144187526734,33.52721905755987,0.0,3.5417479711635425,33.33027733660101,"75,3604637090361",5
0,112001,Alghero,112001.0,239,78,267,69,301,112001,225.42827970457023,268.82014361816806,1.1197077568247273,0.7512782286272862,0.29015682734992937,0.25476378257344645,0.9932291397747581,0.6897560069122459,0.2566771934249375,0.22847108948744455,0.8890702786747835,0.6360847919960724,43.66584473844789,13.943549888889056,22.5156683888061,12.288653827162412,32.49980820584693,26.182053466176903,0.0,3.302556956501161,25.96334991230259,"69,8697739108123",5
248,116017,Tortolì,116017.0,101,9,90,28,90,116017,40.41563207264875,83.80749598624655,1.073889619787348,0.7294258874592039,0.10738896197873479,0.10200495784642954,1.073889619787348,0.7294258874592039,0.3340989928227305,0.2882561522534819,1.205142795539135,0.7907922666836725,41.859419519470315,5.160600088381353,24.34417356179896,15.995292811251657,44.05378366045583,25.521482878029552,0.0,3.277955079215595,25.300822223721042,"69,3050316406242",5
310,118028,Monserrato,118028.0,54,46,12,23,23,118028,6.514021266477363,49.905885180075174,0.46086748921513376,0.37903042996602515,0.9217349784302675,0.6532284126068328,0.24045260306876545,0.215476315494558,0.46086748921513376,0.37903042996602515,1.0820367138094444,0.7333466039515399,17.69041772104305,44.29417626825882,5.450858072034923,22.064449745569227,39.55366242015085,24.735874701635076,0.0,3.247885921321947,24.512886492738588,"68,6147865713399",5
339,118058,Sinnai,118058.0,8,349,36,16,168,118058,224.07963424568484,267.47149815928265,0.6281043070239727,0.4874163361814578,1.3048119235200384,0.8349990781174059,0.13459378007656556,0.12627468385455373,0.05981945781180692,0.05809857079834718,0.02990972890590346,0.029471156561845267,24.283894120683303,62.70302276664101,3.051127678439931,2.8639108888839155,1.0933448977505547,24.110070586660875,0.0,3.223268984263148,23.885228281431438,"68,049698600276",5
256,117002,Barumini,117002.0,0,11,7,4,121,117002,26.17265444386167,69.56451835745948,1.7393924784792971,1.0077361726330216,0.15812658895266338,0.1468036900610043,0.10062601115169487,0.09587911897473245,0.0575005778009685,0.055908178322041285,0.0,0.0,68.09752575809891,7.598807865245469,2.2811069547291645,2.752892401656092,0.0,23.198114944935288,0.0,3.1862747352912955,22.970570750135817,"67,2004863265231",5
189,115045,Oristano,115045.0,74,31,231,61,65,115045,84.57034678047822,127.96221069407602,0.507962465226534,0.41075937884265945,0.24225902187727003,0.21693151400341976,1.8052204533435283,1.0314821288787375,0.47670323659720876,0.3898120602722657,0.5782957296425155,0.45634561275000934,19.54718357524468,11.641810356250444,40.92282784352323,22.82260053830657,21.139499036742603,22.496513214760906,0.0,3.1568520363016646,22.266890354826486,"66,5250808836949",5
287,118005,Burcei,118005.0,3,184,9,5,57,118005,94.84475777224442,138.23662168584224,0.41233646558246123,0.3452454007570451,1.3310510467925063,0.8463192589097227,0.06510575772354651,0.06307409725797353,0.03616986540197028,0.03553109314008435,0.021701919241182168,0.02146978509168179,15.777034273755897,63.96394958243201,1.4758927143818572,1.7316651665425602,0.7933098540741985,21.358356980999947,0.0,3.1072001653098074,21.12536205742957,"65,3853097183669",5
320,118038,Quartu Sant'Elena,118038.0,49,65,71,70,91,118038,96.15510574575784,139.54696965935565,0.6521101835614034,0.502053369945703,0.46579298825814525,0.3823963849384398,0.5087892640973587,0.41130751734772064,0.5016232181241564,0.4065466684269867,0.3511362526869095,0.3009459071028664,25.2303494675146,22.383784069431595,11.533824262142286,24.015667293781657,12.83572417183316,20.3577382212913,0.0,3.0614141199690845,20.12177872217937,"64,3342795515015",5
