codice_istat,nome_comune,area_km2,turismo,natura,ristorazione,servizi,infrastrutture,indice,classe
90001,Aggius,86.37,12,19,14,6,0,1.6,1
90002,Alà dei Sardi,197.23,40,62,16,5,2,1.59,1
90003,Alghero,223.06,251,283,174,59,241,11.14,5
90004,Anela,36.73,6,186,1,3,1,10.36,5
90005,Ardara,37.98,8,14,3,4,2,2.11,2
90006,Arzachena,231.0,113,70,119,21,46,4.43,4
90007,Banari,21.43,11,8,3,2,0,3.29,3
90008,Benetutti,94.42,19,153,7,4,0,4.05,4
90009,Berchidda,201.87,9,58,13,6,5,0.95,1
90010,Bessude,26.48,1,11,1,2,0,1.25,1
90011,Bonnanaro,22.07,3,10,3,4,0,2.43,2
90012,Bono,74.42,5,368,21,8,0,10.63,5
90013,Bonorva,149.72,15,158,13,5,6,2.68,3
90014,Bortigiadas,75.41,5,7,2,4,5,0.71,1
90015,Borutta,4.75,5,3,1,2,0,7.35,5
90016,Bottidda,33.66,7,82,1,2,0,5.53,4
90017,Buddusò,176.97,13,217,12,6,1,2.8,3
90018,Bultei,96.76,6,406,2,4,0,8.16,5
90019,Bulzi,21.62,3,8,1,2,0,1.63,1
90020,Burgos,17.47,6,7,4,3,0,3.32,3
90021,Calangianus,126.15,14,34,8,5,9,1.26,1
90022,Cargeghe,11.78,8,9,2,3,0,5.39,4
90023,Castelsardo,42.9,39,23,26,5,9,6.78,5
90024,Cheremule,24.59,5,11,1,2,0,1.95,2
90025,Chiaramonti,98.54,15,25,8,3,0,1.31,1
90026,Codrongianos,30.92,8,5,6,4,0,2.28,2
90027,Cossoine,39.42,10,15,3,4,1,2.23,2
90028,Esporlatu,18.88,5,7,2,3,1,2.62,3
90029,Florinas,36.32,12,18,5,4,2,2.98,3
90030,Giave,47.16,5,17,4,3,2,1.54,1
90031,Illorai,56.77,9,6,3,5,8,1.39,1
90032,Ittireddu,23.81,17,68,3,3,2,8.82,5
90033,Ittiri,110.82,44,112,37,12,8,4.78,4
90034,Laerru,20.03,7,15,3,3,3,3.84,4
90035,La Maddalena,55.29,152,213,74,15,33,22.96,5
90036,Luogosanto,134.48,19,26,9,6,0,1.17,1
90037,Luras,88.76,16,24,5,3,0,1.38,1
90038,Mara,18.39,16,11,3,3,0,5.37,4
90039,Martis,22.79,4,2,4,3,3,1.96,2
90040,Monteleone Rocca Doria,13.34,7,14,2,1,0,4.53,4
90041,Monti,124.19,9,20,14,5,5,1.03,1
90042,Mores,94.1,12,30,9,4,3,1.47,1
90043,Muros,11.08,2,6,4,2,0,3.42,3
90044,Nughedu San Nicolò,67.54,8,52,4,2,0,2.07,2
90045,Nule,51.47,10,73,5,5,0,3.95,4
90046,Nulvi,67.48,19,6,17,5,3,2.22,2
90047,Olbia,384.08,128,257,180,72,81,4.83,4
90048,Olmedo,34.02,8,12,12,5,2,3.18,3
90049,Oschiri,216.02,21,82,12,5,3,1.25,1
90050,Osilo,97.76,8,12,10,4,3,0.95,1
90051,Ossi,30.18,17,42,21,6,1,7.52,5
90052,Ozieri,254.58,38,130,48,15,15,2.29,2
90053,Padria,48.24,5,7,4,3,0,1.07,1
