codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo
90001,Aggius,090001,0,19,14,6,12
90002,Alà dei Sardi,090002,2,62,16,5,40
90003,Alghero,090003,241,283,174,59,251
90004,Anela,090004,1,186,1,3,6
90005,Ardara,090005,2,14,3,4,8
90006,Arzachena,090006,46,70,119,21,113
90007,Banari,090007,0,8,3,2,11
90008,Benetutti,090008,0,153,7,4,19
90009,Berchidda,090009,5,58,13,6,9
90010,Bessude,090010,0,11,1,2,1
90011,Bonnanaro,090011,0,10,3,4,3
90012,Bono,090012,0,368,21,8,5
90013,Bonorva,090013,6,158,13,5,15
90014,Bortigiadas,090014,5,7,2,4,5
90015,Borutta,090015,0,3,1,2,5
90016,Bottidda,090016,0,82,1,2,7
90017,Buddusò,090017,1,217,12,6,13
90018,Bultei,090018,0,406,2,4,6
90019,Bulzi,090019,0,8,1,2,3
90020,Burgos,090020,0,7,4,3,6
90021,Calangianus,090021,9,34,8,5,14
90022,Cargeghe,090022,0,9,2,3,8
90023,Castelsardo,090023,9,23,26,5,39
90024,Cheremule,090024,0,11,1,2,5
90025,Chiaramonti,090025,0,25,8,3,15
90026,Codrongianos,090026,0,5,6,4,8
90027,Cossoine,090027,1,15,3,4,10
90028,Esporlatu,090028,1,7,2,3,5
90029,Florinas,090029,2,18,5,4,12
90030,Giave,090030,2,17,4,3,5
90031,Illorai,090031,8,6,3,5,9
90032,Ittireddu,090032,2,68,3,3,17
90033,Ittiri,090033,8,112,37,12,44
90034,Laerru,090034,3,15,3,3,7
90035,La Maddalena,090035,33,213,74,15,152
90036,Luogosanto,090036,0,26,9,6,19
90037,Luras,090037,0,24,5,3,16
90038,Mara,090038,0,11,3,3,16
90039,Martis,090039,3,2,4,3,4
90040,Monteleone Rocca Doria,090040,0,14,2,1,7
90041,Monti,090041,5,20,14,5,9
90042,Mores,090042,3,30,9,4,12
90043,Muros,090043,0,6,4,2,2
90044,Nughedu San Nicolò,090044,0,52,4,2,8
90045,Nule,090045,0,73,5,5,10
90046,Nulvi,090046,3,6,17,5,19
90047,Olbia,090047,81,257,180,72,128
90048,Olmedo,090048,2,12,12,5,8
90049,Oschiri,090049,3,82,12,5,21
90050,Osilo,090050,3,12,10,4,8
90051,Ossi,090051,1,42,21,6,17
90052,Ozieri,090052,15,130,48,15,38
90053,Padria,090053,0,7,4,3,5
90054,Palau,090054,6,20,60,9,62
90055,Pattada,090055,2,320,18,6,35
90056,Perfugas,090056,5,10,9,4,8
90057,Ploaghe,090057,5,13,18,6,18
90058,Porto Torres,090058,22,322,86,27,84
90059,Pozzomaggiore,090059,1,27,30,6,15
90060,Putifigari,090060,0,13,3,5,3
90061,Romana,090061,0,15,3,4,9
90062,Aglientu,090062,1,50,15,5,30
90063,Santa Teresa Gallura,090063,10,136,65,8,148
90064,Sassari,090064,89,560,153,176,165
90065,Sedini,090065,0,34,7,4,24
90066,Semestene,090066,0,3,1,2,3
90067,Sennori,090067,3,24,18,7,30
90068,Siligo,090068,0,20,5,3,21
90069,Sorso,090069,7,65,47,11,24
90070,Tempio Pausania,090070,9,81,45,15,55
90071,Thiesi,090071,1,29,1,7,8
90072,Tissi,090072,2,1,7,4,7
90073,Torralba,090073,1,9,5,3,16
90074,Trinità d'Agultu e Vignola,090074,3,31,25,4,30
