lat,lon,tags,osm_id,osm_type,geometry,index_right,name,op_id,minint_elettorale,minint_finloc,prov_name,prov_istat_code,prov_istat_code_num,prov_acr,prov_iso_3166_2,reg_name,reg_istat_code,reg_istat_code_num,reg_iso_3166_2,opdm_id,com_catasto_code,com_istat_code,com_istat_code_num,prov_uts_code,prov_tipo_uts
40.8982857,9.6981134,"{'access': 'permit', 'ele': '558', 'name': 'Punta Cannone', 'natural': 'peak'}",26863256,node,POINT (558802.7821031533 4527700.460618601),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
39.7323765,9.629135,"{'ele': '875', 'name': 'Monte Ferru', 'natural': 'peak', 'wikidata': 'Q1945835'}",26863864,node,POINT (553912.0373474 4398243.517146692),235.0,Cardedu,8152,4200530132,5200530132,Ogliastra,116,116.0,OG,,Sardegna,20,20.0,IT-88,7742,M285,116004,116004.0,116,Provincia
39.1486054,8.8263169,"{'ele': '1113', 'name': 'Monte Is Caravius', 'natural': 'peak', 'wikidata': 'Q3861641', 'wikipedia': 'it:Monte Is Caravius'}",26863879,node,POINT (484991.9813229242 4333282.055991856),365.0,Nuxis,8212,4201110490,5200170430,Sulcis Iglesiente,119,119.0,CI,,Sardegna,20,20.0,IT-88,7896,F991,119013,119013.0,119,Provincia
39.4481717,8.6176233,"{'ele': '1236', 'name': 'Punta Perda de Sa Mesa', 'name:it': 'Punta Linas', 'natural': 'peak', 'note': 'È la cima più elevata del massiccio del Linas.', 'prominence': '1210', 'tourism': 'viewpoint', 'wikidata': 'Q3861687', 'wikipedia': 'it:Monte Linas'}",26863888,node,POINT (467099.1773045516 4366582.35243626),261.0,Gonnosfanadiga,8178,4201110310,5200170290,Medio Campidano,117,117.0,VS,,Sardegna,20,20.0,IT-88,7878,E085,117007,117007.0,117,Provincia
40.7296952,9.5774465,"{'ele': '971', 'name': 'Monte Nieddu', 'natural': 'peak', 'wikidata': 'Q31618097'}",26863912,node,POINT (548762.1173315799 4508911.703967174),84.0,Padru,8142,4200730532,5200730532,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7667,M301,113019,113019.0,113,Provincia
40.4217784,9.0044787,"{'ele': '1259', 'name': 'Monte Rasu', 'natural': 'peak', 'wikidata': 'Q732021', 'wikipedia': 'it:Monte Rasu'}",26863944,node,POINT (500379.9379482815 4474572.215417253),7.0,Bono,7337,4200730120,5200730120,Sassari,112,112.0,SS,IT-SS,Sardegna,20,20.0,IT-88,7589,A977,112008,112008.0,312,Città metropolitana
40.4900738,9.655027,"{'ele': '862', 'name': 'Monte Senes', 'natural': 'peak', 'wikidata': 'Q31613512'}",26863967,node,POINT (555511.3358301035 4482358.967731972),108.0,Irgoli,7412,4200530310,5200530310,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7693,E323,114017,114017.0,114,Provincia
40.4808279,9.532621,"{'ele': '1127', 'name': 'Punta Catirina', 'natural': 'peak', 'wikidata': 'Q31624600'}",26864372,node,POINT (545143.9802959533 4481262.857121015),113.0,Lula,7417,4200530410,5200530410,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7701,E736,114022,114022.0,114,Provincia
39.9897021,9.3248511,"{'ele': '1829', 'name': 'Punta della Croce', 'natural': 'peak', 'summit:cross': 'yes'}",26864378,node,POINT (527733.3834559055 4426664.779194465),232.0,Arzana,8149,4200530020,5200530020,Ogliastra,116,116.0,OG,,Sardegna,20,20.0,IT-88,7671,A454,116001,116001.0,116,Provincia
39.2973882,9.437994,"{'ele': '1016', 'name': 'Punta Su Bacu Malu', 'name:sc': 'Su Casteddu de Su Acu Mau', 'natural': 'peak', 'old_name': 'Su Casteddu de Fra Contini'}",26864381,node,POINT (537767.4663013259 4349870.343438095),327.0,San Vito,7491,4201110660,5200170640,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7913,I402,118045,118045.0,318,Città metropolitana
39.3667828,9.2967606,"{'alt_name': 'Bruncu Serpedhì', 'ele': '1069', 'name': 'Punta Serpeddi', 'natural': 'peak', 'wikidata': 'Q21183685', 'wikipedia': 'it:Monte Serpeddì'}",26864382,node,POINT (525563.8451477783 4357522.140805394),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.777989,8.7448915,"{'ele': '812', 'name': 'Trebina Longa', 'name:wikipedia': 'Sa Trebina Longa', 'natural': 'peak'}",26864386,node,POINT (478153.6435144335 4403147.760133976),181.0,Morgongiori,7659,4200950300,5200950300,Oristano,115,115.0,OR,IT-OR,Sardegna,20,20.0,IT-88,7790,F727,115037,115037.0,115,Provincia
41.259043,9.2351554,"{'name': 'Punta Marmorata', 'natural': 'cape'}",86098251,node,POINT (519699.30401709425 4567540.5999627365),,,,,,,,,,,,,,,,,,,,
39.3750809,8.3783264,"{'name': 'Cala Domestica', 'natural': 'bay'}",86103397,node,POINT (446453.35605075187 4358585.350696557),,,,,,,,,,,,,,,,,,,,
41.099202,8.2729194,"{'name': 'Punta Grabara', 'natural': 'cape'}",86103698,node,POINT (438942.9562793239 4550024.194086833),44.0,Porto Torres,7374,4200730570,5200730570,Sassari,112,112.0,SS,IT-SS,Sardegna,20,20.0,IT-88,7635,G924,112045,112045.0,312,Città metropolitana
40.8744916,9.6587827,"{'ele': '10', 'name': 'Punta Don Diego', 'natural': 'cape', 'tourism': 'attraction'}",259447826,node,POINT (555509.7764605191 4525033.431907889),,,,,,,,,,,,,,,,,,,,
