,lat,lon,tags,osm_id,osm_type
0,40.9239143,9.5217111,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b', 'name': 'Ponte', 'opening_hours': 'Mo-Su 05:30-22:00', 'wheelchair': 'yes'}",259421888,node
1,40.9955433,9.6241929,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259431345,node
2,40.9037148,9.5166006,"{'amenity': 'cafe', 'check_date': '2025-05-06', 'check_date:diet:vegetarian': '2025-05-06', 'check_date:smoking': '2025-05-06', 'diet:vegetarian': 'yes', 'indoor_seating': 'yes', 'name': 'Kara Kiosk', 'outdoor_seating': 'yes', 'smoking': 'no'}",259439979,node
3,40.8814924,9.635459,{'amenity': 'cafe'},259446928,node
4,40.880832,9.6316516,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259447571,node
5,40.8866017,9.4929851,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259501817,node
6,40.8866601,9.4929078,"{'addr:city': 'Olbia', 'addr:housenumber': 'Km 142+800', 'addr:postcode': '07026', 'addr:street': 'Strada Statale 131 Diramazione Centrale Nuorese', 'amenity': 'fast_food'}",259501878,node
7,41.0280373,9.5468692,"{'amenity': 'cafe', 'name': 'Harmont & Blaine Cafè'}",259868300,node
8,40.8409286,9.6539075,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260030236,node
9,40.9310816,9.5010572,{'amenity': 'cafe'},260433636,node
10,40.8752895,9.6289932,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b', 'name': 'Bar Centrale'}",260636368,node
11,40.8408903,9.7155449,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260689800,node
12,40.8146715,9.6865256,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260698686,node
13,40.5821128,9.77432,"{'amenity': 'ice_cream', 'name': 'Gelateria giglio marino'}",290372241,node
14,40.3798413,9.6957446,"{'amenity': 'cafe', 'cuisine': 'regional', 'name': ""Trattoria Bar Manu'"", 'outdoor_seating': 'yes', 'website': 'https://www.instagram.com/trattoria_bar_manu/'}",290372245,node
15,40.3795119,9.6955946,"{'addr:housenumber': '64', 'addr:postcode': '08028', 'addr:street': 'Via Nazionale', 'amenity': 'cafe', 'name': 'Domus Caffè', 'opening_hours': 'Mo-Sa 06:30-21:00; Su 08:00-21:00', 'phone': '+39 0784 991100'}",296066527,node
16,40.3794375,9.6954327,{'amenity': 'fast_food'},296066536,node
17,40.3784684,9.6987365,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': 'Pizzeria da Simone'}",296066538,node
18,40.3786582,9.6970228,"{'addr:city': 'Orosei', 'addr:housenumber': '2', 'addr:postcode': '08028', 'addr:street': 'Via Santa Veronica', 'amenity': 'ice_cream', 'check_date': '2024-07-26', 'name': 'Smeralda', 'operator': 'Smeralda 1 srl', 'outdoor_seating': 'yes', 'phone': '+39 0784998308', 'ref:vatin': 'IT01395040916', 'website:menu': 'https://marcosoddu85.wixsite.com/gelateria-pasticceri'}",296066539,node
19,40.6900444,9.7220343,"{'amenity': 'restaurant', 'name': 'La Volpe', 'opening_hours': 'Th-Tu 07:00-13:30,17:30-23:00; We off'}",308376847,node
20,39.3067721,9.1886376,"{'amenity': 'restaurant', 'created_by': 'Potlatch 0.10f', 'cuisine': 'pizza'}",312152694,node
21,39.2991014,9.2008698,"{'addr:housenumber': '22', 'addr:postcode': '09048', 'addr:street': 'Via Sebastiano Perra', 'amenity': 'restaurant', 'cuisine': 'pizza;steak_house', 'name': 'Evò'}",314060576,node
22,39.2995871,9.1998527,"{'amenity': 'restaurant', 'cuisine': 'pizza'}",314060881,node
23,39.3051653,9.2078479,"{'amenity': 'restaurant', 'created_by': 'Potlatch 0.10f', 'cuisine': 'pizza'}",314061441,node
24,39.2990238,9.197443,"{'amenity': 'pub', 'created_by': 'Potlatch 0.10f', 'name': 'Il Bazar'}",314063179,node
25,39.3102423,9.5210534,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'La Quercia'}",430256442,node
26,40.5790465,9.257745,"{'amenity': 'cafe', 'name': 'bar da gerolamo'}",431256685,node
27,39.4960619,9.3028208,"{'amenity': 'fast_food', 'cuisine': 'pizza', 'name': 'Pizzeria Gerrei'}",431616087,node
28,41.1162849,9.3779492,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Lu Branu', 'phone': '+39 333 1816877'}",454190398,node
29,40.9219768,9.4999816,"{'amenity': 'restaurant', 'cuisine': 'pizza;regional', 'name': 'Bar Pizzeria Gattopardo', 'wheelchair': 'yes'}",454486802,node
30,40.9242981,9.5014074,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'indoor_seating': 'yes', 'name': 'Ristorante Pizzeria Troncadero', 'outdoor_seating': 'yes'}",454492631,node
31,40.9300217,9.4969158,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Ristorante Barbagia'}",454495795,node
32,40.9314724,9.4988894,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': 'Pizzeria Il Cavallino Rosso'}",454496464,node
33,40.2772759,9.4108507,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Masiloghi'}",467164037,node
34,39.6940896,9.6550448,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'diet:vegetarian': 'yes', 'ele': '8.056641', 'indoor_seating': 'yes', 'name': 'La Grotta', 'opening_hours': 'Tu-Su,PH 07:00-22:30; Mo off', 'outdoor_seating': 'yes', 'wpt_symbol': 'Residence'}",470284865,node
35,40.0695434,9.2714278,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Su Ninnieri'}",470650258,node
36,39.2994905,9.1980791,"{'amenity': 'fast_food', 'name': ""L'Oasi Del Kebab""}",471363401,node
37,39.3047643,9.1940424,"{'addr:postcode': '09048', 'amenity': 'cafe', 'name': 'Linpha'}",472709397,node
