lat,lon,tags,osm_id,osm_type,geometry,index_right,name,op_id,minint_elettorale,minint_finloc,prov_name,prov_istat_code,prov_istat_code_num,prov_acr,prov_iso_3166_2,reg_name,reg_istat_code,reg_istat_code_num,reg_iso_3166_2,opdm_id,com_catasto_code,com_istat_code,com_istat_code_num,prov_uts_code,prov_tipo_uts
40.9239143,9.5217111,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b', 'name': 'Ponte', 'opening_hours': 'Mo-Su 05:30-22:00', 'wheelchair': 'yes'}",259421888,node,POINT (543927.2068641059 4530441.890841702),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.9955433,9.6241929,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259431345,node,POINT (552499.2613392727 4538449.926068432),76.0,Golfo Aranci,8134,4200730301,5200730301,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7660,M274,113011,113011.0,113,Provincia
40.9037148,9.5166006,"{'amenity': 'cafe', 'check_date': '2025-05-06', 'check_date:diet:vegetarian': '2025-05-06', 'check_date:smoking': '2025-05-06', 'diet:vegetarian': 'yes', 'indoor_seating': 'yes', 'name': 'Kara Kiosk', 'outdoor_seating': 'yes', 'smoking': 'no'}",259439979,node,POINT (543510.1508926974 4528197.021118851),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.8814924,9.635459,{'amenity': 'cafe'},259446928,node,POINT (553538.842050016 4525796.051284375),78.0,Loiri Porto San Paolo,8136,4200730351,5200730351,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7661,M275,113013,113013.0,113,Provincia
40.880832,9.6316516,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259447571,node,POINT (553218.5871683857 4525720.4198220875),78.0,Loiri Porto San Paolo,8136,4200730351,5200730351,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7661,M275,113013,113013.0,113,Provincia
40.8866017,9.4929851,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",259501817,node,POINT (541531.853766593 4526285.854523172),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.8866601,9.4929078,"{'addr:city': 'Olbia', 'addr:housenumber': 'Km 142+800', 'addr:postcode': '07026', 'addr:street': 'Strada Statale 131 Diramazione Centrale Nuorese', 'amenity': 'fast_food'}",259501878,node,POINT (541525.305047215 4526292.300709264),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
41.0280373,9.5468692,"{'amenity': 'cafe', 'name': 'Harmont & Blaine Cafè'}",259868300,node,POINT (545973.1399817963 4542013.497956644),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.8409286,9.6539075,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260030236,node,POINT (555126.8019846954 4521304.5976463575),86.0,San Teodoro,7130,4200730615,5200530731,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7669,I329,113021,113021.0,113,Provincia
40.9310816,9.5010572,{'amenity': 'cafe'},260433636,node,POINT (542183.6180712734 4531227.355787109),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.8752895,9.6289932,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b', 'name': 'Bar Centrale'}",260636368,node,POINT (552999.0280662348 4525103.54464844),78.0,Loiri Porto San Paolo,8136,4200730351,5200730351,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7661,M275,113013,113013.0,113,Provincia
40.8408903,9.7155449,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260689800,node,POINT (560323.133688306 4521340.958681896),86.0,San Teodoro,7130,4200730615,5200530731,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7669,I329,113021,113021.0,113,Provincia
40.8146715,9.6865256,"{'amenity': 'cafe', 'created_by': 'Potlatch 0.8b'}",260698686,node,POINT (557899.4808185316 4518410.903421163),86.0,San Teodoro,7130,4200730615,5200530731,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7669,I329,113021,113021.0,113,Provincia
40.5821128,9.77432,"{'amenity': 'ice_cream', 'name': 'Gelateria giglio marino'}",290372241,node,POINT (565531.3655355148 4492657.377956977),139.0,Siniscola,7442,4200530820,5200530820,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7728,I751,114048,114048.0,114,Provincia
40.3798413,9.6957446,"{'amenity': 'cafe', 'cuisine': 'regional', 'name': ""Trattoria Bar Manu'"", 'outdoor_seating': 'yes', 'website': 'https://www.instagram.com/trattoria_bar_manu/'}",290372245,node,POINT (559058.4129305984 4470149.583761904),127.0,Orosei,7431,4200530610,5200530610,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7715,G119,114036,114036.0,114,Provincia
40.3795119,9.6955946,"{'addr:housenumber': '64', 'addr:postcode': '08028', 'addr:street': 'Via Nazionale', 'amenity': 'cafe', 'name': 'Domus Caffè', 'opening_hours': 'Mo-Sa 06:30-21:00; Su 08:00-21:00', 'phone': '+39 0784 991100'}",296066527,node,POINT (559045.9676386011 4470112.920577518),127.0,Orosei,7431,4200530610,5200530610,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7715,G119,114036,114036.0,114,Provincia
40.3794375,9.6954327,{'amenity': 'fast_food'},296066536,node,POINT (559032.2894902779 4470104.5541791385),127.0,Orosei,7431,4200530610,5200530610,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7715,G119,114036,114036.0,114,Provincia
40.3784684,9.6987365,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': 'Pizzeria da Simone'}",296066538,node,POINT (559313.5870136692 4469999.1957833525),127.0,Orosei,7431,4200530610,5200530610,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7715,G119,114036,114036.0,114,Provincia
40.3786582,9.6970228,"{'addr:city': 'Orosei', 'addr:housenumber': '2', 'addr:postcode': '08028', 'addr:street': 'Via Santa Veronica', 'amenity': 'ice_cream', 'check_date': '2024-07-26', 'name': 'Smeralda', 'operator': 'Smeralda 1 srl', 'outdoor_seating': 'yes', 'phone': '+39 0784998308', 'ref:vatin': 'IT01395040916', 'website:menu': 'https://marcosoddu85.wixsite.com/gelateria-pasticceri'}",296066539,node,POINT (559167.949089864 4470019.115414955),127.0,Orosei,7431,4200530610,5200530610,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7715,G119,114036,114036.0,114,Provincia
40.6900444,9.7220343,"{'amenity': 'restaurant', 'name': 'La Volpe', 'opening_hours': 'Th-Tu 07:00-13:30,17:30-23:00; We off'}",308376847,node,POINT (561008.0122913137 4504600.605798831),74.0,Budoni,8132,4200730175,5200530131,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7668,B248,113009,113009.0,113,Provincia
39.3067721,9.1886376,"{'amenity': 'restaurant', 'created_by': 'Potlatch 0.10f', 'cuisine': 'pizza'}",312152694,node,POINT (516263.6969462306 4350837.271028169),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.2991014,9.2008698,"{'addr:housenumber': '22', 'addr:postcode': '09048', 'addr:street': 'Via Sebastiano Perra', 'amenity': 'restaurant', 'cuisine': 'pizza;steak_house', 'name': 'Evò'}",314060576,node,POINT (517320.20716683107 4349988.270632979),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.2995871,9.1998527,"{'amenity': 'restaurant', 'cuisine': 'pizza'}",314060881,node,POINT (517232.3875086809 4350041.977880105),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.3051653,9.2078479,"{'amenity': 'restaurant', 'created_by': 'Potlatch 0.10f', 'cuisine': 'pizza'}",314061441,node,POINT (517920.3553043896 4350662.583274258),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.2990238,9.197443,"{'amenity': 'pub', 'created_by': 'Potlatch 0.10f', 'name': 'Il Bazar'}",314063179,node,POINT (517024.7463372882 4349979.008308808),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.3102423,9.5210534,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'La Quercia'}",430256442,node,POINT (544921.3536166112 4351334.827732493),290.0,Castiadas,7455,4201110110,5200170131,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7858,M288,118008,118008.0,318,Città metropolitana
40.5790465,9.257745,"{'amenity': 'cafe', 'name': 'bar da gerolamo'}",431256685,node,POINT (521814.084384223 4492060.857692474),73.0,Buddusò,8131,4200730170,5200730170,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7594,B246,113008,113008.0,113,Provincia
39.4960619,9.3028208,"{'amenity': 'fast_food', 'cuisine': 'pizza', 'name': 'Pizzeria Gerrei'}",431616087,node,POINT (526037.7263705964 4371871.218829028),325.0,San Nicolò Gerrei,7489,4201110640,5200170580,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7911,G383,118043,118043.0,318,Città metropolitana
41.1162849,9.3779492,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Lu Branu', 'phone': '+39 333 1816877'}",454190398,node,POINT (531730.2075751469 4551734.739151905),69.0,Arzachena,8127,4200730060,5200730060,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7583,A453,113004,113004.0,113,Provincia
40.9219768,9.4999816,"{'amenity': 'restaurant', 'cuisine': 'pizza;regional', 'name': 'Bar Pizzeria Gattopardo', 'wheelchair': 'yes'}",454486802,node,POINT (542098.8417251145 4530216.125727272),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.9242981,9.5014074,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'indoor_seating': 'yes', 'name': 'Ristorante Pizzeria Troncadero', 'outdoor_seating': 'yes'}",454492631,node,POINT (542217.4184419569 4530474.497247645),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.9300217,9.4969158,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Ristorante Barbagia'}",454495795,node,POINT (541835.6240909259 4531107.708211049),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.9314724,9.4988894,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': 'Pizzeria Il Cavallino Rosso'}",454496464,node,POINT (542000.8645176325 4531269.694604689),82.0,Olbia,8140,4200730470,5200730470,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7624,G015,113017,113017.0,113,Provincia
40.2772759,9.4108507,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Masiloghi'}",467164037,node,POINT (534927.8813305541 4458613.829866851),119.0,Oliena,7423,4200530530,5200530530,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7707,G031,114028,114028.0,114,Provincia
39.6940896,9.6550448,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'diet:vegetarian': 'yes', 'ele': '8.056641', 'indoor_seating': 'yes', 'name': 'La Grotta', 'opening_hours': 'Tu-Su,PH 07:00-22:30; Mo off', 'outdoor_seating': 'yes', 'wpt_symbol': 'Residence'}",470284865,node,POINT (556163.367775259 4394010.11005599),247.0,Tertenia,8165,4200530860,5200530860,Ogliastra,116,116.0,OG,,Sardegna,20,20.0,IT-88,7731,L140,116016,116016.0,116,Provincia
40.0695434,9.2714278,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Su Ninnieri'}",470650258,node,POINT (523145.48941807734 4435511.193439519),104.0,Fonni,7408,4200530220,5200530220,Nuoro,114,114.0,NU,IT-NU,Sardegna,20,20.0,IT-88,7686,D665,114013,114013.0,114,Provincia
39.2994905,9.1980791,"{'amenity': 'fast_food', 'name': ""L'Oasi Del Kebab""}",471363401,node,POINT (517079.48141533096 4350030.921144247),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.3047643,9.1940424,"{'addr:postcode': '09048', 'amenity': 'cafe', 'name': 'Linpha'}",472709397,node,POINT (516730.15892596275 4350615.437112623),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.3053595,9.1943177,"{'amenity': 'cafe', 'wheelchair': 'no'}",472709403,node,POINT (516753.7531537998 4350681.541596562),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.2994709,9.1986515,{'amenity': 'cafe'},472709407,node,POINT (517128.84174227016 4350028.854224825),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.2994775,9.2068998,{'amenity': 'cafe'},472709410,node,POINT (517840.0551636739 4350031.180921086),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
39.3003875,9.2000162,{'amenity': 'cafe'},472709425,node,POINT (517246.28897661425 4350130.834980705),339.0,Sinnai,7504,4200170800,5200170800,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7755,I752,118058,118058.0,318,Città metropolitana
40.9333656,8.8137165,"{'amenity': 'cafe', 'name': ""CHIOSCO BAR-L'ALTA BHANDA cafè""}",475083306,node,POINT (484317.50107498857 4531376.757465303),63.0,Valledoria,7393,4200730741,5200730741,Sassari,112,112.0,SS,IT-SS,Sardegna,20,20.0,IT-88,7656,L604,112064,112064.0,312,Città metropolitana
41.0587556,9.517122,"{'amenity': 'restaurant', 'check_date:opening_hours': '2026-04-11', 'compressed_air': 'no', 'name': 'Renisola', 'opening_hours:signed': 'no'}",494231643,node,POINT (543452.1902226527 4545408.323427843),69.0,Arzachena,8127,4200730060,5200730060,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7583,A453,113004,113004.0,113,Provincia
41.0942095,9.5286328,"{'amenity': 'cafe', 'name': 'Terrazza Rosa'}",494234672,node,POINT (544395.5507354881 4549349.916180115),69.0,Arzachena,8127,4200730060,5200730060,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7583,A453,113004,113004.0,113,Provincia
41.0951472,9.5288442,"{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'Belvedere'}",494240467,node,POINT (544412.6729988317 4549454.119795957),69.0,Arzachena,8127,4200730060,5200730060,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7583,A453,113004,113004.0,113,Provincia
41.0709456,9.4595278,"{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'La Ruota', 'note': 'pizzeria'}",494248371,node,POINT (538605.5794612117 4546734.457816645),69.0,Arzachena,8127,4200730060,5200730060,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7583,A453,113004,113004.0,113,Provincia
39.2119887,9.304551,{'amenity': 'bar'},512197809,node,POINT (526292.7569854443 4340345.802752269),320.0,Quartu Sant'Elena,7484,4200170510,5200170510,Cagliari,118,118.0,CA,IT-CA,Sardegna,20,20.0,IT-88,7750,H118,118038,118038.0,318,Città metropolitana
41.1842008,9.3238291,"{'amenity': 'cafe', 'name': 'Café Porto Pollo'}",524063452,node,POINT (527158.580631131 4559255.963834345),85.0,Palau,8143,4200730531,5200730531,Gallura Nord-Est Sardegna,113,113.0,OT,,Sardegna,20,20.0,IT-88,7631,G258,113020,113020.0,113,Provincia
