comune,anno,mese,presenze_mese,presenze_stimate,superficie_kmq,densita_turistica,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2023,1,124.0,False,39.816,3.11,12,True
Abbasanta,2023,2,101.0,False,39.816,2.54,12,True
Abbasanta,2023,3,119.0,False,39.816,2.99,12,True
Abbasanta,2023,4,110.0,False,39.816,2.76,12,True
Abbasanta,2023,5,93.0,False,39.816,2.34,12,True
Abbasanta,2023,6,96.0,False,39.816,2.41,12,True
Abbasanta,2023,7,151.0,False,39.816,3.79,12,True
Abbasanta,2023,8,43.0,False,39.816,1.08,12,True
Abbasanta,2023,9,102.0,False,39.816,2.56,12,True
Abbasanta,2023,10,391.0,False,39.816,9.82,12,True
Abbasanta,2023,11,15.0,False,39.816,0.38,12,True
Abbasanta,2023,12,26.0,False,39.816,0.65,12,True
Aggius,2023,1,8.22,True,86.445,0.1,12,True
Aggius,2023,2,0.18,True,86.445,0.0,12,True
Aggius,2023,3,0.23,True,86.445,0.0,12,True
Aggius,2023,4,0.5,True,86.445,0.01,12,True
Aggius,2023,5,0.65,True,86.445,0.01,12,True
Aggius,2023,6,51.09,True,86.445,0.59,12,True
Aggius,2023,7,193.53,True,86.445,2.24,12,True
Aggius,2023,8,473.51,True,86.445,5.48,12,True
Aggius,2023,9,94.94,True,86.445,1.1,12,True
Aggius,2023,10,9.55,True,86.445,0.11,12,True
Aggius,2023,11,0.26,True,86.445,0.0,12,True
Aggius,2023,12,0.34,True,86.445,0.0,12,True
Aglientu,2023,1,1.16,True,148.358,0.01,12,True
Aglientu,2023,2,0.99,True,148.358,0.01,12,True
Aglientu,2023,3,1.22,True,148.358,0.01,12,True
Aglientu,2023,4,814.71,True,148.358,5.49,12,True
Aglientu,2023,5,10451.5,True,148.358,70.45,12,True
Aglientu,2023,6,27468.84,True,148.358,185.15,12,True
Aglientu,2023,7,67818.21,True,148.358,457.13,12,True
Aglientu,2023,8,87033.11,True,148.358,586.64,12,True
Aglientu,2023,9,37226.06,True,148.358,250.92,12,True
Aglientu,2023,10,9709.96,True,148.358,65.45,12,True
Aglientu,2023,11,1.4,True,148.358,0.01,12,True
Aglientu,2023,12,17.84,True,148.358,0.12,12,True
Ales,2023,1,0.43,True,22.204,0.02,12,True
Ales,2023,2,0.37,True,22.204,0.02,12,True
Ales,2023,3,34.45,True,22.204,1.55,12,True
Ales,2023,4,78.01,True,22.204,3.51,12,True
Ales,2023,5,97.3,True,22.204,4.38,12,True
Ales,2023,6,49.17,True,22.204,2.21,12,True
Ales,2023,7,70.06,True,22.204,3.16,12,True
Ales,2023,8,230.02,True,22.204,10.36,12,True
Ales,2023,9,97.88,True,22.204,4.41,12,True
Ales,2023,10,42.1,True,22.204,1.9,12,True
Ales,2023,11,27.52,True,22.204,1.24,12,True
Ales,2023,12,30.68,True,22.204,1.38,12,True
Alghero,2023,1,9738.0,False,225.428,43.2,12,True
Alghero,2023,2,8410.0,False,225.428,37.31,12,True
Alghero,2023,3,16207.0,False,225.428,71.89,12,True
Alghero,2023,4,60450.0,False,225.428,268.16,12,True
Alghero,2023,5,109042.0,False,225.428,483.71,12,True
Alghero,2023,6,199732.0,False,225.428,886.01,12,True
Alghero,2023,7,282242.0,False,225.428,1252.03,12,True
Alghero,2023,8,317583.0,False,225.428,1408.8,12,True
Alghero,2023,9,235610.0,False,225.428,1045.17,12,True
Alghero,2023,10,105310.0,False,225.428,467.16,12,True
Alghero,2023,11,12442.0,False,225.428,55.19,12,True
Alghero,2023,12,16797.0,False,225.428,74.51,12,True
Alà Dei Sardi,2023,1,3.35,True,197.51,0.02,12,True
Alà Dei Sardi,2023,2,2.84,True,197.51,0.01,12,True
Alà Dei Sardi,2023,3,3.51,True,197.51,0.02,12,True
Alà Dei Sardi,2023,4,7.8,True,197.51,0.04,12,True
Alà Dei Sardi,2023,5,10.09,True,197.51,0.05,12,True
Alà Dei Sardi,2023,6,67.85,True,197.51,0.34,12,True
Alà Dei Sardi,2023,7,91.68,True,197.51,0.46,12,True
Alà Dei Sardi,2023,8,23.39,True,197.51,0.12,12,True
Alà Dei Sardi,2023,9,14.59,True,197.51,0.07,12,True
Alà Dei Sardi,2023,10,8.55,True,197.51,0.04,12,True
Alà Dei Sardi,2023,11,4.04,True,197.51,0.02,12,True
Alà Dei Sardi,2023,12,5.3,True,197.51,0.03,12,True
Arborea,2023,1,334.0,False,94.668,3.53,12,True
Arborea,2023,2,418.0,False,94.668,4.42,12,True
Arborea,2023,3,687.0,False,94.668,7.26,12,True
Arborea,2023,4,4860.0,False,94.668,51.34,12,True
Arborea,2023,5,8872.0,False,94.668,93.72,12,True
Arborea,2023,6,12388.0,False,94.668,130.86,12,True
Arborea,2023,7,25750.0,False,94.668,272.0,12,True
Arborea,2023,8,36551.0,False,94.668,386.1,12,True
Arborea,2023,9,24323.0,False,94.668,256.93,12,True
Arborea,2023,10,12031.0,False,94.668,127.09,12,True
Arborea,2023,11,540.0,False,94.668,5.7,12,True
Arborea,2023,12,195.0,False,94.668,2.06,12,True
Arbus,2023,1,388.0,False,269.273,1.44,12,True
Arbus,2023,2,556.0,False,269.273,2.06,12,True
Arbus,2023,3,729.0,False,269.273,2.71,12,True
Arbus,2023,4,1992.0,False,269.273,7.4,12,True
Arbus,2023,5,3249.0,False,269.273,12.07,12,True
Arbus,2023,6,6699.0,False,269.273,24.88,12,True
Arbus,2023,7,11223.0,False,269.273,41.68,12,True
Arbus,2023,8,15423.0,False,269.273,57.28,12,True
Arbus,2023,9,9179.0,False,269.273,34.09,12,True
Arbus,2023,10,4693.0,False,269.273,17.43,12,True
Arbus,2023,11,478.0,False,269.273,1.78,12,True
Arbus,2023,12,105.0,False,269.273,0.39,12,True
Aritzo,2023,1,120.16,True,75.183,1.6,12,True
Aritzo,2023,2,58.14,True,75.183,0.77,12,True
Aritzo,2023,3,0.17,True,75.183,0.0,12,True
Aritzo,2023,4,208.38,True,75.183,2.77,12,True
Aritzo,2023,5,217.49,True,75.183,2.89,12,True
Aritzo,2023,6,368.82,True,75.183,4.91,12,True
Aritzo,2023,7,522.15,True,75.183,6.95,12,True
Aritzo,2023,8,885.13,True,75.183,11.77,12,True
Aritzo,2023,9,706.71,True,75.183,9.4,12,True
Aritzo,2023,10,374.41,True,75.183,4.98,12,True
Aritzo,2023,11,97.2,True,75.183,1.29,12,True
Aritzo,2023,12,102.26,True,75.183,1.36,12,True
Armungia,2023,1,0.38,True,55.243,0.01,12,True
Armungia,2023,2,0.32,True,55.243,0.01,12,True
