comune,anno,mese,presenze_mese,presenze_stimate,superficie_kmq,densita_turistica,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2022,1,71.43,True,39.816,1.79,12.0,True
Abbasanta,2022,2,165.2,True,39.816,4.15,12.0,True
Abbasanta,2022,3,85.98,True,39.816,2.16,12.0,True
Abbasanta,2022,4,456.19,True,39.816,11.46,12.0,True
Abbasanta,2022,5,821.85,True,39.816,20.64,12.0,True
Abbasanta,2022,6,1249.68,True,39.816,31.39,12.0,True
Abbasanta,2022,7,1297.84,True,39.816,32.6,12.0,True
Abbasanta,2022,8,1629.76,True,39.816,40.93,12.0,True
Abbasanta,2022,9,1252.15,True,39.816,31.45,12.0,True
Abbasanta,2022,10,182.85,True,39.816,4.59,12.0,True
Abbasanta,2022,11,80.66,True,39.816,2.03,12.0,True
Abbasanta,2022,12,91.42,True,39.816,2.3,12.0,True
Abbasanta,2023,1,124.0,False,39.816,3.11,12.0,True
Abbasanta,2023,2,101.0,False,39.816,2.54,12.0,True
Abbasanta,2023,3,119.0,False,39.816,2.99,12.0,True
Abbasanta,2023,4,110.0,False,39.816,2.76,12.0,True
Abbasanta,2023,5,93.0,False,39.816,2.34,12.0,True
Abbasanta,2023,6,96.0,False,39.816,2.41,12.0,True
Abbasanta,2023,7,151.0,False,39.816,3.79,12.0,True
Abbasanta,2023,8,43.0,False,39.816,1.08,12.0,True
Abbasanta,2023,9,102.0,False,39.816,2.56,12.0,True
Abbasanta,2023,10,391.0,False,39.816,9.82,12.0,True
Abbasanta,2023,11,15.0,False,39.816,0.38,12.0,True
Abbasanta,2023,12,26.0,False,39.816,0.65,12.0,True
Abbasanta,2024,2,50.0,False,39.816,1.26,11.0,True
Abbasanta,2024,3,227.0,False,39.816,5.7,11.0,True
Abbasanta,2024,4,296.0,False,39.816,7.43,11.0,True
Abbasanta,2024,5,289.0,False,39.816,7.26,11.0,True
Abbasanta,2024,6,301.0,False,39.816,7.56,11.0,True
Abbasanta,2024,7,444.0,False,39.816,11.15,11.0,True
Abbasanta,2024,8,581.0,False,39.816,14.59,11.0,True
Abbasanta,2024,9,411.0,False,39.816,10.32,11.0,True
Abbasanta,2024,10,254.0,False,39.816,6.38,11.0,True
Abbasanta,2024,11,80.0,False,39.816,2.01,11.0,True
Abbasanta,2024,12,95.0,False,39.816,2.39,11.0,True
Abbasanta,2025,1,335.0,False,39.816,8.41,12.0,True
Abbasanta,2025,2,303.0,False,39.816,7.61,12.0,True
Abbasanta,2025,3,386.0,False,39.816,9.69,12.0,True
Abbasanta,2025,4,340.0,False,39.816,8.54,12.0,True
Abbasanta,2025,5,443.0,False,39.816,11.13,12.0,True
Abbasanta,2025,6,394.0,False,39.816,9.9,12.0,True
Abbasanta,2025,7,241.0,False,39.816,6.05,12.0,True
Abbasanta,2025,8,745.0,False,39.816,18.71,12.0,True
Abbasanta,2025,9,452.0,False,39.816,11.35,12.0,True
Abbasanta,2025,10,472.0,False,39.816,11.85,12.0,True
Abbasanta,2025,11,427.0,False,39.816,10.72,12.0,True
Abbasanta,2025,12,218.0,False,39.816,5.48,12.0,True
Aggius,2022,1,8.02,True,86.445,0.09,12.0,True
Aggius,2022,2,7.21,True,86.445,0.08,12.0,True
Aggius,2022,3,9.65,True,86.445,0.11,12.0,True
Aggius,2022,4,18.88,True,86.445,0.22,12.0,True
Aggius,2022,5,23.79,True,86.445,0.28,12.0,True
Aggius,2022,6,42.52,True,86.445,0.49,12.0,True
Aggius,2022,7,215.4,True,86.445,2.49,12.0,True
Aggius,2022,8,384.72,True,86.445,4.45,12.0,True
Aggius,2022,9,36.96,True,86.445,0.43,12.0,True
Aggius,2022,10,20.53,True,86.445,0.24,12.0,True
Aggius,2022,11,9.06,True,86.445,0.1,12.0,True
Aggius,2022,12,10.27,True,86.445,0.12,12.0,True
Aggius,2023,1,8.22,True,86.445,0.1,12.0,True
Aggius,2023,2,0.18,True,86.445,0.0,12.0,True
Aggius,2023,3,0.23,True,86.445,0.0,12.0,True
Aggius,2023,4,0.5,True,86.445,0.01,12.0,True
Aggius,2023,5,0.65,True,86.445,0.01,12.0,True
Aggius,2023,6,51.09,True,86.445,0.59,12.0,True
