comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Abbasanta,2023,1,59,39.816,1.48,True
Abbasanta,2023,2,59,39.816,1.48,True
Abbasanta,2023,3,59,39.816,1.48,True
Abbasanta,2023,4,59,39.816,1.48,True
Abbasanta,2023,5,59,39.816,1.48,True
Abbasanta,2023,6,59,39.816,1.48,True
Abbasanta,2023,7,59,39.816,1.48,True
Abbasanta,2023,8,59,39.816,1.48,True
Abbasanta,2023,9,59,39.816,1.48,True
Abbasanta,2023,10,59,39.816,1.48,True
Abbasanta,2023,11,59,39.816,1.48,True
Abbasanta,2023,12,59,39.816,1.48,True
Aggius,2023,1,133,86.445,1.54,True
Aggius,2023,2,133,86.445,1.54,True
Aggius,2023,3,133,86.445,1.54,True
Aggius,2023,4,133,86.445,1.54,True
Aggius,2023,5,133,86.445,1.54,True
Aggius,2023,6,133,86.445,1.54,True
Aggius,2023,7,133,86.445,1.54,True
Aggius,2023,8,133,86.445,1.54,True
Aggius,2023,9,133,86.445,1.54,True
Aggius,2023,10,133,86.445,1.54,True
Aggius,2023,11,133,86.445,1.54,True
Aggius,2023,12,133,86.445,1.54,True
Aglientu,2023,1,5642,148.358,38.03,True
Aglientu,2023,2,5642,148.358,38.03,True
Aglientu,2023,3,5642,148.358,38.03,True
Aglientu,2023,4,5642,148.358,38.03,True
Aglientu,2023,5,5642,148.358,38.03,True
Aglientu,2023,6,5642,148.358,38.03,True
Aglientu,2023,7,5642,148.358,38.03,True
Aglientu,2023,8,5642,148.358,38.03,True
Aglientu,2023,9,5642,148.358,38.03,True
Aglientu,2023,10,5642,148.358,38.03,True
Aglientu,2023,11,5642,148.358,38.03,True
Aglientu,2023,12,5642,148.358,38.03,True
Aidomaggiore,2023,1,8,41.236,0.19,True
Aidomaggiore,2023,2,8,41.236,0.19,True
Aidomaggiore,2023,3,8,41.236,0.19,True
Aidomaggiore,2023,4,8,41.236,0.19,True
Aidomaggiore,2023,5,8,41.236,0.19,True
Aidomaggiore,2023,6,8,41.236,0.19,True
Aidomaggiore,2023,7,8,41.236,0.19,True
Aidomaggiore,2023,8,8,41.236,0.19,True
Aidomaggiore,2023,9,8,41.236,0.19,True
Aidomaggiore,2023,10,8,41.236,0.19,True
Aidomaggiore,2023,11,8,41.236,0.19,True
Aidomaggiore,2023,12,8,41.236,0.19,True
Albagiara,2023,1,0,9.17,0.0,False
