comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Abbasanta,2022,1,139,39.816,3.49,True
Abbasanta,2022,2,139,39.816,3.49,True
Abbasanta,2022,3,139,39.816,3.49,True
Abbasanta,2022,4,139,39.816,3.49,True
Abbasanta,2022,5,139,39.816,3.49,True
Abbasanta,2022,6,139,39.816,3.49,True
Abbasanta,2022,7,139,39.816,3.49,True
Abbasanta,2022,8,139,39.816,3.49,True
Abbasanta,2022,9,139,39.816,3.49,True
Abbasanta,2022,10,139,39.816,3.49,True
Abbasanta,2022,11,139,39.816,3.49,True
Abbasanta,2022,12,139,39.816,3.49,True
Abbasanta,2023,1,59,39.816,1.48,True
Abbasanta,2023,2,59,39.816,1.48,True
Abbasanta,2023,3,59,39.816,1.48,True
Abbasanta,2023,4,59,39.816,1.48,True
Abbasanta,2023,5,59,39.816,1.48,True
Abbasanta,2023,6,59,39.816,1.48,True
Abbasanta,2023,7,59,39.816,1.48,True
Abbasanta,2023,8,59,39.816,1.48,True
Abbasanta,2023,9,59,39.816,1.48,True
Abbasanta,2023,10,59,39.816,1.48,True
Abbasanta,2023,11,59,39.816,1.48,True
Abbasanta,2023,12,59,39.816,1.48,True
Abbasanta,2024,1,64,39.816,1.61,True
Abbasanta,2024,2,64,39.816,1.61,True
Abbasanta,2024,3,64,39.816,1.61,True
Abbasanta,2024,4,64,39.816,1.61,True
Abbasanta,2024,5,64,39.816,1.61,True
Abbasanta,2024,6,64,39.816,1.61,True
Abbasanta,2024,7,64,39.816,1.61,True
Abbasanta,2024,8,64,39.816,1.61,True
Abbasanta,2024,9,64,39.816,1.61,True
Abbasanta,2024,10,64,39.816,1.61,True
Abbasanta,2024,11,64,39.816,1.61,True
Abbasanta,2024,12,64,39.816,1.61,True
Abbasanta,2025,1,78,39.816,1.96,True
Abbasanta,2025,2,78,39.816,1.96,True
Abbasanta,2025,3,78,39.816,1.96,True
Abbasanta,2025,4,78,39.816,1.96,True
Abbasanta,2025,5,78,39.816,1.96,True
Abbasanta,2025,6,78,39.816,1.96,True
Abbasanta,2025,7,78,39.816,1.96,True
Abbasanta,2025,8,78,39.816,1.96,True
Abbasanta,2025,9,78,39.816,1.96,True
Abbasanta,2025,10,78,39.816,1.96,True
Abbasanta,2025,11,78,39.816,1.96,True
Abbasanta,2025,12,78,39.816,1.96,True
Aggius,2022,1,99,86.445,1.15,True
Aggius,2022,2,99,86.445,1.15,True
Aggius,2022,3,99,86.445,1.15,True
Aggius,2022,4,99,86.445,1.15,True
Aggius,2022,5,99,86.445,1.15,True
Aggius,2022,6,99,86.445,1.15,True
Aggius,2022,7,99,86.445,1.15,True
Aggius,2022,8,99,86.445,1.15,True
Aggius,2022,9,99,86.445,1.15,True
Aggius,2022,10,99,86.445,1.15,True
Aggius,2022,11,99,86.445,1.15,True
Aggius,2022,12,99,86.445,1.15,True
Aggius,2023,1,133,86.445,1.54,True
Aggius,2023,2,133,86.445,1.54,True
Aggius,2023,3,133,86.445,1.54,True
Aggius,2023,4,133,86.445,1.54,True
Aggius,2023,5,133,86.445,1.54,True
Aggius,2023,6,133,86.445,1.54,True
Aggius,2023,7,133,86.445,1.54,True
Aggius,2023,8,133,86.445,1.54,True
Aggius,2023,9,133,86.445,1.54,True
Aggius,2023,10,133,86.445,1.54,True
Aggius,2023,11,133,86.445,1.54,True
Aggius,2023,12,133,86.445,1.54,True
Aggius,2024,1,194,86.445,2.24,True
Aggius,2024,2,194,86.445,2.24,True
Aggius,2024,3,194,86.445,2.24,True
Aggius,2024,4,194,86.445,2.24,True
Aggius,2024,5,194,86.445,2.24,True
Aggius,2024,6,194,86.445,2.24,True
Aggius,2024,7,194,86.445,2.24,True
Aggius,2024,8,194,86.445,2.24,True
Aggius,2024,9,194,86.445,2.24,True
Aggius,2024,10,194,86.445,2.24,True
Aggius,2024,11,194,86.445,2.24,True
Aggius,2024,12,194,86.445,2.24,True
Aggius,2025,1,236,86.445,2.73,True
Aggius,2025,2,236,86.445,2.73,True
Aggius,2025,3,236,86.445,2.73,True
Aggius,2025,4,236,86.445,2.73,True
Aggius,2025,5,236,86.445,2.73,True
Aggius,2025,6,236,86.445,2.73,True
Aggius,2025,7,236,86.445,2.73,True
Aggius,2025,8,236,86.445,2.73,True
Aggius,2025,9,236,86.445,2.73,True
Aggius,2025,10,236,86.445,2.73,True
Aggius,2025,11,236,86.445,2.73,True
Aggius,2025,12,236,86.445,2.73,True
Aglientu,2022,1,5469,148.358,36.86,True
Aglientu,2022,2,5469,148.358,36.86,True
Aglientu,2022,3,5469,148.358,36.86,True
Aglientu,2022,4,5469,148.358,36.86,True
Aglientu,2022,5,5469,148.358,36.86,True
Aglientu,2022,6,5469,148.358,36.86,True
Aglientu,2022,7,5469,148.358,36.86,True
Aglientu,2022,8,5469,148.358,36.86,True
Aglientu,2022,9,5469,148.358,36.86,True
Aglientu,2022,10,5469,148.358,36.86,True
Aglientu,2022,11,5469,148.358,36.86,True
Aglientu,2022,12,5469,148.358,36.86,True
Aglientu,2023,1,5642,148.358,38.03,True
Aglientu,2023,2,5642,148.358,38.03,True
Aglientu,2023,3,5642,148.358,38.03,True
Aglientu,2023,4,5642,148.358,38.03,True
Aglientu,2023,5,5642,148.358,38.03,True
Aglientu,2023,6,5642,148.358,38.03,True
Aglientu,2023,7,5642,148.358,38.03,True
Aglientu,2023,8,5642,148.358,38.03,True
Aglientu,2023,9,5642,148.358,38.03,True
Aglientu,2023,10,5642,148.358,38.03,True
Aglientu,2023,11,5642,148.358,38.03,True
Aglientu,2023,12,5642,148.358,38.03,True
Aglientu,2024,1,6643,148.358,44.78,True
Aglientu,2024,2,6643,148.358,44.78,True
Aglientu,2024,3,6643,148.358,44.78,True
Aglientu,2024,4,6643,148.358,44.78,True
Aglientu,2024,5,6643,148.358,44.78,True
Aglientu,2024,6,6643,148.358,44.78,True
Aglientu,2024,7,6643,148.358,44.78,True
Aglientu,2024,8,6643,148.358,44.78,True
Aglientu,2024,9,6643,148.358,44.78,True
Aglientu,2024,10,6643,148.358,44.78,True
Aglientu,2024,11,6643,148.358,44.78,True
Aglientu,2024,12,6643,148.358,44.78,True
Aglientu,2025,1,7513,148.358,50.64,True
Aglientu,2025,2,7513,148.358,50.64,True
