comune,anno,mese,popolazione_residente,presenze_mese,intensita_turistica_presenze,arrivi_mese,intensita_turistica_arrivi_vs_residenti,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2022,1,2594,71.43,0.0275,5.06,0.002,12,True
Abbasanta,2022,2,2594,165.2,0.0637,29.55,0.0114,12,True
Abbasanta,2022,3,2594,85.98,0.0331,6.09,0.0023,12,True
Abbasanta,2022,4,2594,456.19,0.1759,170.92,0.0659,12,True
Abbasanta,2022,5,2594,821.85,0.3168,230.01,0.0887,12,True
Abbasanta,2022,6,2594,1249.68,0.4818,314.83,0.1214,12,True
Abbasanta,2022,7,2594,1297.84,0.5003,343.75,0.1325,12,True
Abbasanta,2022,8,2594,1629.76,0.6283,417.32,0.1609,12,True
Abbasanta,2022,9,2594,1252.15,0.4827,282.32,0.1088,12,True
Abbasanta,2022,10,2594,182.85,0.0705,12.96,0.005,12,True
Abbasanta,2022,11,2594,80.66,0.0311,5.72,0.0022,12,True
Abbasanta,2022,12,2594,91.42,0.0352,6.48,0.0025,12,True
Aggius,2022,1,1405,8.02,0.0057,3.5,0.0025,12,True
Aggius,2022,2,1405,7.21,0.0051,3.15,0.0022,12,True
Aggius,2022,3,1405,9.65,0.0069,4.22,0.003,12,True
Aggius,2022,4,1405,18.88,0.0134,8.25,0.0059,12,True
Aggius,2022,5,1405,23.79,0.0169,10.39,0.0074,12,True
Aggius,2022,6,1405,42.52,0.0303,18.58,0.0132,12,True
Aggius,2022,7,1405,215.4,0.1533,103.83,0.0739,12,True
Aggius,2022,8,1405,384.72,0.2738,120.53,0.0858,12,True
Aggius,2022,9,1405,36.96,0.0263,16.15,0.0115,12,True
Aggius,2022,10,1405,20.53,0.0146,8.97,0.0064,12,True
Aggius,2022,11,1405,9.06,0.0064,3.96,0.0028,12,True
Aggius,2022,12,1405,10.27,0.0073,4.48,0.0032,12,True
Aglientu,2022,1,1168,2.67,0.0023,0.78,0.0007,12,True
Aglientu,2022,2,1168,2.4,0.0021,0.7,0.0006,12,True
Aglientu,2022,3,1168,3.22,0.0028,0.94,0.0008,12,True
