comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Abbasanta,2025,1,4756.0,78.0,16.71,0,True
Abbasanta,2025,2,4756.0,78.0,16.71,0,True
Abbasanta,2025,3,4756.0,78.0,16.71,0,True
Abbasanta,2025,4,4756.0,78.0,16.71,0,True
Abbasanta,2025,5,4756.0,78.0,16.71,0,True
Abbasanta,2025,6,4756.0,78.0,16.71,0,True
Abbasanta,2025,7,4756.0,78.0,16.71,0,True
Abbasanta,2025,8,4756.0,78.0,16.71,0,True
Abbasanta,2025,9,4756.0,78.0,16.71,0,True
Abbasanta,2025,10,4756.0,78.0,16.71,0,True
Abbasanta,2025,11,4756.0,78.0,16.71,0,True
Abbasanta,2025,12,4756.0,78.0,16.71,0,True
Aggius,2025,1,2225.0,236.0,2.58,0,True
Aggius,2025,2,2225.0,236.0,2.58,0,True
Aggius,2025,3,2225.0,236.0,2.58,0,True
Aggius,2025,4,2225.0,236.0,2.58,0,True
Aggius,2025,5,2225.0,236.0,2.58,0,True
Aggius,2025,6,2225.0,236.0,2.58,0,True
Aggius,2025,7,2225.0,236.0,2.58,0,True
Aggius,2025,8,2225.0,236.0,2.58,0,True
Aggius,2025,9,2225.0,236.0,2.58,0,True
Aggius,2025,10,2225.0,236.0,2.58,0,True
Aggius,2025,11,2225.0,236.0,2.58,0,True
Aggius,2025,12,2225.0,236.0,2.58,0,True
Aglientu,2025,1,367072.0,7513.0,13.39,0,True
Aglientu,2025,2,367072.0,7513.0,13.39,0,True
Aglientu,2025,3,367072.0,7513.0,13.39,0,True
Aglientu,2025,4,367072.0,7513.0,13.39,0,True
Aglientu,2025,5,367072.0,7513.0,13.39,0,True
Aglientu,2025,6,367072.0,7513.0,13.39,0,True
Aglientu,2025,7,367072.0,7513.0,13.39,0,True
Aglientu,2025,8,367072.0,7513.0,13.39,0,True
Aglientu,2025,9,367072.0,7513.0,13.39,0,True
Aglientu,2025,10,367072.0,7513.0,13.39,0,True
Aglientu,2025,11,367072.0,7513.0,13.39,0,True
Aglientu,2025,12,367072.0,7513.0,13.39,0,True
Aidomaggiore,2025,1,365.0,8.0,12.5,0,True
Aidomaggiore,2025,2,365.0,8.0,12.5,0,True
Aidomaggiore,2025,3,365.0,8.0,12.5,0,True
Aidomaggiore,2025,4,365.0,8.0,12.5,0,True
Aidomaggiore,2025,5,365.0,8.0,12.5,0,True
Aidomaggiore,2025,6,365.0,8.0,12.5,0,True
Aidomaggiore,2025,7,365.0,8.0,12.5,0,True
Aidomaggiore,2025,8,365.0,8.0,12.5,0,True
Aidomaggiore,2025,9,365.0,8.0,12.5,0,True
Aidomaggiore,2025,10,365.0,8.0,12.5,0,True
Aidomaggiore,2025,11,365.0,8.0,12.5,0,True
Aidomaggiore,2025,12,365.0,8.0,12.5,0,True
Albagiara,2025,1,105.0,6.0,4.79,0,True
Albagiara,2025,2,105.0,6.0,4.79,0,True
Albagiara,2025,3,105.0,6.0,4.79,0,True
Albagiara,2025,4,105.0,6.0,4.79,0,True
Albagiara,2025,5,105.0,6.0,4.79,0,True
Albagiara,2025,6,105.0,6.0,4.79,0,True
Albagiara,2025,7,105.0,6.0,4.79,0,True
Albagiara,2025,8,105.0,6.0,4.79,0,True
Albagiara,2025,9,105.0,6.0,4.79,0,True
Albagiara,2025,10,105.0,6.0,4.79,0,True
Albagiara,2025,11,105.0,6.0,4.79,0,True
Albagiara,2025,12,105.0,6.0,4.79,0,True
