,comune,anno,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
0,Abbasanta,2022,7385.01,139.0,14.56,0,True
1,Aggius,2022,787.0100000000001,99.0,2.18,0,True
2,Aglientu,2022,331434.99,5469.0,16.6,0,True
3,Ales,2022,899.0,44.0,5.6,0,True
4,Alghero,2022,1291721.0,20707.0,17.09,0,True
5,Allai,2022,0.0,26.0,0.0,0,True
6,Alà Dei Sardi,2022,0.0,21.0,0.0,0,True
7,Anela,2022,0.0,10.0,0.0,0,True
8,Arborea,2022,92472.0,1905.0,13.3,0,True
9,Arbus,2022,50255.0,1362.0,10.11,0,True
10,Ardara,2022,0.0,4.0,0.0,0,True
11,Aritzo,2022,3957.0,261.0,4.15,0,True
12,Armungia,2022,0.0,20.0,0.0,0,True
13,Arzachena,2022,1202744.0,20916.0,15.75,0,True
14,Arzana,2022,0.0,73.0,0.0,0,True
15,Assemini,2022,27929.0,655.0,11.68,0,True
16,Assolo,2022,0.0,18.0,0.0,0,True
17,Atzara,2022,454.0,24.0,5.18,0,True
18,Austis,2022,0.0,48.0,0.0,0,True
19,Badesi,2022,335665.0,4953.0,18.57,0,True
20,Ballao,2022,0.0,8.0,0.0,0,True
21,Banari,2022,0.0,11.0,0.0,0,True
22,Baradili,2022,0.0,24.0,0.0,0,True
23,Baratili San Pietro,2022,2346.0,92.0,6.99,0,True
24,Baressa,2022,0.0,27.0,0.0,0,True
25,Bari Sardo,2022,197218.0,2825.0,19.13,0,True
26,Barumini,2022,1987.0,48.0,11.34,0,True
27,Bauladu,2022,943.01,28.0,9.23,0,True
28,Baunei,2022,65893.0,1616.0,11.17,0,True
29,Belvì,2022,373.0,46.0,2.22,0,True
30,Benetutti,2022,0.0,185.0,0.0,0,True
31,Berchidda,2022,1090.99,446.0,0.67,0,True
32,Bessude,2022,0.0,26.0,0.0,0,True
33,Bitti,2022,2793.0,106.0,7.22,0,True
