,comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
0,Abbasanta,2022,1,7385.01,139.0,14.56,0,True
1,Abbasanta,2022,2,7385.01,139.0,14.56,0,True
2,Abbasanta,2022,3,7385.01,139.0,14.56,0,True
3,Abbasanta,2022,4,7385.01,139.0,14.56,0,True
4,Abbasanta,2022,5,7385.01,139.0,14.56,0,True
5,Abbasanta,2022,6,7385.01,139.0,14.56,0,True
6,Abbasanta,2022,7,7385.01,139.0,14.56,0,True
7,Abbasanta,2022,8,7385.01,139.0,14.56,0,True
8,Abbasanta,2022,9,7385.01,139.0,14.56,0,True
9,Abbasanta,2022,10,7385.01,139.0,14.56,0,True
10,Abbasanta,2022,11,7385.01,139.0,14.56,0,True
11,Abbasanta,2022,12,7385.01,139.0,14.56,0,True
12,Aggius,2022,1,787.0100000000001,99.0,2.18,0,True
13,Aggius,2022,2,787.0100000000001,99.0,2.18,0,True
14,Aggius,2022,3,787.0100000000001,99.0,2.18,0,True
15,Aggius,2022,4,787.0100000000001,99.0,2.18,0,True
16,Aggius,2022,5,787.0100000000001,99.0,2.18,0,True
17,Aggius,2022,6,787.0100000000001,99.0,2.18,0,True
18,Aggius,2022,7,787.0100000000001,99.0,2.18,0,True
19,Aggius,2022,8,787.0100000000001,99.0,2.18,0,True
20,Aggius,2022,9,787.0100000000001,99.0,2.18,0,True
21,Aggius,2022,10,787.0100000000001,99.0,2.18,0,True
22,Aggius,2022,11,787.0100000000001,99.0,2.18,0,True
23,Aggius,2022,12,787.0100000000001,99.0,2.18,0,True
24,Aglientu,2022,1,331434.99,5469.0,16.6,0,True
25,Aglientu,2022,2,331434.99,5469.0,16.6,0,True
26,Aglientu,2022,3,331434.99,5469.0,16.6,0,True
27,Aglientu,2022,4,331434.99,5469.0,16.6,0,True
28,Aglientu,2022,5,331434.99,5469.0,16.6,0,True
29,Aglientu,2022,6,331434.99,5469.0,16.6,0,True
30,Aglientu,2022,7,331434.99,5469.0,16.6,0,True
31,Aglientu,2022,8,331434.99,5469.0,16.6,0,True
32,Aglientu,2022,9,331434.99,5469.0,16.6,0,True
33,Aglientu,2022,10,331434.99,5469.0,16.6,0,True
34,Aglientu,2022,11,331434.99,5469.0,16.6,0,True
35,Aglientu,2022,12,331434.99,5469.0,16.6,0,True
36,Ales,2022,1,899.0,44.0,5.6,0,True
37,Ales,2022,2,899.0,44.0,5.6,0,True
38,Ales,2022,3,899.0,44.0,5.6,0,True
39,Ales,2022,4,899.0,44.0,5.6,0,True
40,Ales,2022,5,899.0,44.0,5.6,0,True
41,Ales,2022,6,899.0,44.0,5.6,0,True
42,Ales,2022,7,899.0,44.0,5.6,0,True
43,Ales,2022,8,899.0,44.0,5.6,0,True
44,Ales,2022,9,899.0,44.0,5.6,0,True
45,Ales,2022,10,899.0,44.0,5.6,0,True
46,Ales,2022,11,899.0,44.0,5.6,0,True
47,Ales,2022,12,899.0,44.0,5.6,0,True
48,Alghero,2022,1,1291721.0,20707.0,17.09,0,True
49,Alghero,2022,2,1291721.0,20707.0,17.09,0,True
50,Alghero,2022,3,1291721.0,20707.0,17.09,0,True
51,Alghero,2022,4,1291721.0,20707.0,17.09,0,True
52,Alghero,2022,5,1291721.0,20707.0,17.09,0,True
53,Alghero,2022,6,1291721.0,20707.0,17.09,0,True
54,Alghero,2022,7,1291721.0,20707.0,17.09,0,True
55,Alghero,2022,8,1291721.0,20707.0,17.09,0,True
56,Alghero,2022,9,1291721.0,20707.0,17.09,0,True
57,Alghero,2022,10,1291721.0,20707.0,17.09,0,True
58,Alghero,2022,11,1291721.0,20707.0,17.09,0,True
59,Alghero,2022,12,1291721.0,20707.0,17.09,0,True
60,Allai,2022,1,0.0,26.0,0.0,0,True
61,Allai,2022,2,0.0,26.0,0.0,0,True
62,Allai,2022,3,0.0,26.0,0.0,0,True
63,Allai,2022,4,0.0,26.0,0.0,0,True
64,Allai,2022,5,0.0,26.0,0.0,0,True
65,Allai,2022,6,0.0,26.0,0.0,0,True
66,Allai,2022,7,0.0,26.0,0.0,0,True
67,Allai,2022,8,0.0,26.0,0.0,0,True
68,Allai,2022,9,0.0,26.0,0.0,0,True
69,Allai,2022,10,0.0,26.0,0.0,0,True
70,Allai,2022,11,0.0,26.0,0.0,0,True
71,Allai,2022,12,0.0,26.0,0.0,0,True
72,Alà Dei Sardi,2022,1,0.0,21.0,0.0,0,True
73,Alà Dei Sardi,2022,2,0.0,21.0,0.0,0,True
74,Alà Dei Sardi,2022,3,0.0,21.0,0.0,0,True
75,Alà Dei Sardi,2022,4,0.0,21.0,0.0,0,True
76,Alà Dei Sardi,2022,5,0.0,21.0,0.0,0,True
77,Alà Dei Sardi,2022,6,0.0,21.0,0.0,0,True
78,Alà Dei Sardi,2022,7,0.0,21.0,0.0,0,True
79,Alà Dei Sardi,2022,8,0.0,21.0,0.0,0,True
80,Alà Dei Sardi,2022,9,0.0,21.0,0.0,0,True
81,Alà Dei Sardi,2022,10,0.0,21.0,0.0,0,True
82,Alà Dei Sardi,2022,11,0.0,21.0,0.0,0,True
83,Alà Dei Sardi,2022,12,0.0,21.0,0.0,0,True
84,Anela,2022,1,0.0,10.0,0.0,0,True
85,Anela,2022,2,0.0,10.0,0.0,0,True
86,Anela,2022,3,0.0,10.0,0.0,0,True
87,Anela,2022,4,0.0,10.0,0.0,0,True
88,Anela,2022,5,0.0,10.0,0.0,0,True
89,Anela,2022,6,0.0,10.0,0.0,0,True
90,Anela,2022,7,0.0,10.0,0.0,0,True
91,Anela,2022,8,0.0,10.0,0.0,0,True
92,Anela,2022,9,0.0,10.0,0.0,0,True
93,Anela,2022,10,0.0,10.0,0.0,0,True
94,Anela,2022,11,0.0,10.0,0.0,0,True
95,Anela,2022,12,0.0,10.0,0.0,0,True
96,Arborea,2022,1,92472.0,1905.0,13.3,0,True
97,Arborea,2022,2,92472.0,1905.0,13.3,0,True
98,Arborea,2022,3,92472.0,1905.0,13.3,0,True
99,Arborea,2022,4,92472.0,1905.0,13.3,0,True
100,Arborea,2022,5,92472.0,1905.0,13.3,0,True
101,Arborea,2022,6,92472.0,1905.0,13.3,0,True
102,Arborea,2022,7,92472.0,1905.0,13.3,0,True
103,Arborea,2022,8,92472.0,1905.0,13.3,0,True
104,Arborea,2022,9,92472.0,1905.0,13.3,0,True
105,Arborea,2022,10,92472.0,1905.0,13.3,0,True
106,Arborea,2022,11,92472.0,1905.0,13.3,0,True
107,Arborea,2022,12,92472.0,1905.0,13.3,0,True
108,Arbus,2022,1,50255.0,1362.0,10.11,0,True
109,Arbus,2022,2,50255.0,1362.0,10.11,0,True
110,Arbus,2022,3,50255.0,1362.0,10.11,0,True
111,Arbus,2022,4,50255.0,1362.0,10.11,0,True
112,Arbus,2022,5,50255.0,1362.0,10.11,0,True
113,Arbus,2022,6,50255.0,1362.0,10.11,0,True
114,Arbus,2022,7,50255.0,1362.0,10.11,0,True
115,Arbus,2022,8,50255.0,1362.0,10.11,0,True
116,Arbus,2022,9,50255.0,1362.0,10.11,0,True
117,Arbus,2022,10,50255.0,1362.0,10.11,0,True
118,Arbus,2022,11,50255.0,1362.0,10.11,0,True
119,Arbus,2022,12,50255.0,1362.0,10.11,0,True
120,Ardara,2022,1,0.0,4.0,0.0,0,True
121,Ardara,2022,2,0.0,4.0,0.0,0,True
122,Ardara,2022,3,0.0,4.0,0.0,0,True
123,Ardara,2022,4,0.0,4.0,0.0,0,True
124,Ardara,2022,5,0.0,4.0,0.0,0,True
125,Ardara,2022,6,0.0,4.0,0.0,0,True
126,Ardara,2022,7,0.0,4.0,0.0,0,True
127,Ardara,2022,8,0.0,4.0,0.0,0,True
128,Ardara,2022,9,0.0,4.0,0.0,0,True
129,Ardara,2022,10,0.0,4.0,0.0,0,True
130,Ardara,2022,11,0.0,4.0,0.0,0,True
131,Ardara,2022,12,0.0,4.0,0.0,0,True
132,Aritzo,2022,1,3957.0,261.0,4.15,0,True
133,Aritzo,2022,2,3957.0,261.0,4.15,0,True
134,Aritzo,2022,3,3957.0,261.0,4.15,0,True
135,Aritzo,2022,4,3957.0,261.0,4.15,0,True
136,Aritzo,2022,5,3957.0,261.0,4.15,0,True
137,Aritzo,2022,6,3957.0,261.0,4.15,0,True
138,Aritzo,2022,7,3957.0,261.0,4.15,0,True
139,Aritzo,2022,8,3957.0,261.0,4.15,0,True
140,Aritzo,2022,9,3957.0,261.0,4.15,0,True
141,Aritzo,2022,10,3957.0,261.0,4.15,0,True
142,Aritzo,2022,11,3957.0,261.0,4.15,0,True
143,Aritzo,2022,12,3957.0,261.0,4.15,0,True
144,Armungia,2022,1,0.0,20.0,0.0,0,True
145,Armungia,2022,2,0.0,20.0,0.0,0,True
146,Armungia,2022,3,0.0,20.0,0.0,0,True
147,Armungia,2022,4,0.0,20.0,0.0,0,True
