comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Abbasanta,2023,1,3.11,0.0018,0.048,0.0016,1.48,0.0072,6.37,0.2151,0.0082,4.0
Abbasanta,2023,2,2.54,0.0015,0.0391,0.0013,1.48,0.0072,6.37,0.2151,0.0074,4.0
Abbasanta,2023,3,2.99,0.0017,0.046,0.0015,1.48,0.0072,6.37,0.2151,0.0079,4.0
Abbasanta,2023,4,2.76,0.0016,0.0426,0.0014,1.48,0.0072,6.37,0.2151,0.0077,4.0
Abbasanta,2023,5,2.34,0.0014,0.036,0.0012,1.48,0.0072,6.37,0.2151,0.0071,4.0
Abbasanta,2023,6,2.41,0.0014,0.0371,0.0012,1.48,0.0072,6.37,0.2151,0.0071,4.0
Abbasanta,2023,7,3.79,0.0022,0.0584,0.0019,1.48,0.0072,6.37,0.2151,0.009,4.0
Abbasanta,2023,8,1.08,0.0006,0.0166,0.0005,1.48,0.0072,6.37,0.2151,0.0046,4.0
Abbasanta,2023,9,2.56,0.0015,0.0395,0.0013,1.48,0.0072,6.37,0.2151,0.0074,4.0
Abbasanta,2023,10,9.82,0.0057,0.1513,0.005,1.48,0.0072,6.37,0.2151,0.0145,4.0
Abbasanta,2023,11,0.38,0.0002,0.0058,0.0002,1.48,0.0072,6.37,0.2151,0.0028,4.0
Abbasanta,2023,12,0.65,0.0004,0.0101,0.0003,1.48,0.0072,6.37,0.2151,0.0037,4.0
Aggius,2023,1,0.1,0.0001,0.0058,0.0002,1.54,0.0075,1.72,0.0581,0.0017,4.0
Aggius,2023,2,0.0,0.0,0.0001,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aggius,2023,3,0.0,0.0,0.0002,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aggius,2023,4,0.01,0.0,0.0004,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aggius,2023,5,0.01,0.0,0.0005,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aggius,2023,6,0.59,0.0003,0.0362,0.0012,1.54,0.0075,1.72,0.0581,0.0035,4.0
Aggius,2023,7,2.24,0.0013,0.1372,0.0045,1.54,0.0075,1.72,0.0581,0.0071,4.0
Aggius,2023,8,5.48,0.0032,0.3356,0.0111,1.54,0.0075,1.72,0.0581,0.0112,4.0
Aggius,2023,9,1.1,0.0006,0.0673,0.0022,1.54,0.0075,1.72,0.0581,0.0049,4.0
Aggius,2023,10,0.11,0.0001,0.0068,0.0002,1.54,0.0075,1.72,0.0581,0.0017,4.0
Aggius,2023,11,0.0,0.0,0.0002,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aggius,2023,12,0.0,0.0,0.0002,0.0,1.54,0.0075,1.72,0.0581,0.0,4.0
Aglientu,2023,1,0.01,0.0,0.001,0.0,38.03,0.1857,11.68,0.3943,0.0,4.0
Aglientu,2023,2,0.01,0.0,0.0008,0.0,38.03,0.1857,11.68,0.3943,0.0,4.0
Aglientu,2023,3,0.01,0.0,0.001,0.0,38.03,0.1857,11.68,0.3943,0.0,4.0
Aglientu,2023,4,5.49,0.0032,0.6975,0.023,38.03,0.1857,11.68,0.3943,0.0482,4.0
Aglientu,2023,5,70.45,0.0412,8.9482,0.2946,38.03,0.1857,11.68,0.3943,0.1727,4.0
Aglientu,2023,6,185.15,0.1082,23.5178,0.7744,38.03,0.1857,11.68,0.3943,0.2799,4.0
Aglientu,2023,7,457.13,0.2673,58.0635,1.0,38.03,0.1857,11.68,0.3943,0.374,4.0
