comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Abbasanta,2022,1,1.79,0.001,0.0275,0.0009,3.49,0.017,14.56,0.4916,0.0093,4.0
Abbasanta,2022,2,4.15,0.0024,0.0637,0.0021,3.49,0.017,14.56,0.4916,0.0143,4.0
Abbasanta,2022,3,2.16,0.0013,0.0331,0.0011,3.49,0.017,14.56,0.4916,0.0105,4.0
Abbasanta,2022,4,11.46,0.0067,0.1759,0.0058,3.49,0.017,14.56,0.4916,0.0239,4.0
Abbasanta,2022,5,20.64,0.0121,0.3168,0.0104,3.49,0.017,14.56,0.4916,0.032,4.0
Abbasanta,2022,6,31.39,0.0184,0.4818,0.0159,3.49,0.017,14.56,0.4916,0.0395,4.0
Abbasanta,2022,7,32.6,0.0191,0.5003,0.0165,3.49,0.017,14.56,0.4916,0.0403,4.0
Abbasanta,2022,8,40.93,0.0239,0.6283,0.0207,3.49,0.017,14.56,0.4916,0.0451,4.0
Abbasanta,2022,9,31.45,0.0184,0.4827,0.0159,3.49,0.017,14.56,0.4916,0.0395,4.0
Abbasanta,2022,10,4.59,0.0027,0.0705,0.0023,3.49,0.017,14.56,0.4916,0.0151,4.0
Abbasanta,2022,11,2.03,0.0012,0.0311,0.001,3.49,0.017,14.56,0.4916,0.01,4.0
Abbasanta,2022,12,2.3,0.0013,0.0352,0.0012,3.49,0.017,14.56,0.4916,0.0107,4.0
Abbasanta,2023,1,3.11,0.0018,0.048,0.0016,1.48,0.0072,6.37,0.2151,0.0082,4.0
Abbasanta,2023,2,2.54,0.0015,0.0391,0.0013,1.48,0.0072,6.37,0.2151,0.0074,4.0
Abbasanta,2023,3,2.99,0.0017,0.046,0.0015,1.48,0.0072,6.37,0.2151,0.0079,4.0
Abbasanta,2023,4,2.76,0.0016,0.0426,0.0014,1.48,0.0072,6.37,0.2151,0.0077,4.0
Abbasanta,2023,5,2.34,0.0014,0.036,0.0012,1.48,0.0072,6.37,0.2151,0.0071,4.0
