comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Abbasanta,2022,1,139,39.816,3.49,True
Abbasanta,2022,2,139,39.816,3.49,True
Abbasanta,2022,3,139,39.816,3.49,True
Abbasanta,2022,4,139,39.816,3.49,True
Abbasanta,2022,5,139,39.816,3.49,True
Abbasanta,2022,6,139,39.816,3.49,True
Abbasanta,2022,7,139,39.816,3.49,True
Abbasanta,2022,8,139,39.816,3.49,True
Abbasanta,2022,9,139,39.816,3.49,True
Abbasanta,2022,10,139,39.816,3.49,True
Abbasanta,2022,11,139,39.816,3.49,True
Abbasanta,2022,12,139,39.816,3.49,True
Aggius,2022,1,99,86.445,1.15,True
Aggius,2022,2,99,86.445,1.15,True
Aggius,2022,3,99,86.445,1.15,True
Aggius,2022,4,99,86.445,1.15,True
Aggius,2022,5,99,86.445,1.15,True
Aggius,2022,6,99,86.445,1.15,True
Aggius,2022,7,99,86.445,1.15,True
Aggius,2022,8,99,86.445,1.15,True
Aggius,2022,9,99,86.445,1.15,True
Aggius,2022,10,99,86.445,1.15,True
Aggius,2022,11,99,86.445,1.15,True
Aggius,2022,12,99,86.445,1.15,True
Aglientu,2022,1,5469,148.358,36.86,True
Aglientu,2022,2,5469,148.358,36.86,True
Aglientu,2022,3,5469,148.358,36.86,True
Aglientu,2022,4,5469,148.358,36.86,True
Aglientu,2022,5,5469,148.358,36.86,True
Aglientu,2022,6,5469,148.358,36.86,True
Aglientu,2022,7,5469,148.358,36.86,True
Aglientu,2022,8,5469,148.358,36.86,True
Aglientu,2022,9,5469,148.358,36.86,True
Aglientu,2022,10,5469,148.358,36.86,True
Aglientu,2022,11,5469,148.358,36.86,True
Aglientu,2022,12,5469,148.358,36.86,True
Aidomaggiore,2022,1,0,41.236,0.0,False
Aidomaggiore,2022,2,0,41.236,0.0,False
Aidomaggiore,2022,3,0,41.236,0.0,False
Aidomaggiore,2022,4,0,41.236,0.0,False
Aidomaggiore,2022,5,0,41.236,0.0,False
Aidomaggiore,2022,6,0,41.236,0.0,False
Aidomaggiore,2022,7,0,41.236,0.0,False
Aidomaggiore,2022,8,0,41.236,0.0,False
Aidomaggiore,2022,9,0,41.236,0.0,False
Aidomaggiore,2022,10,0,41.236,0.0,False
Aidomaggiore,2022,11,0,41.236,0.0,False
Aidomaggiore,2022,12,0,41.236,0.0,False
Albagiara,2022,1,0,9.17,0.0,False
Albagiara,2022,2,0,9.17,0.0,False
Albagiara,2022,3,0,9.17,0.0,False
Albagiara,2022,4,0,9.17,0.0,False
Albagiara,2022,5,0,9.17,0.0,False
Albagiara,2022,6,0,9.17,0.0,False
Albagiara,2022,7,0,9.17,0.0,False
Albagiara,2022,8,0,9.17,0.0,False
Albagiara,2022,9,0,9.17,0.0,False
Albagiara,2022,10,0,9.17,0.0,False
Albagiara,2022,11,0,9.17,0.0,False
Albagiara,2022,12,0,9.17,0.0,False
Ales,2022,1,44,22.204,1.98,True
Ales,2022,2,44,22.204,1.98,True
Ales,2022,3,44,22.204,1.98,True
Ales,2022,4,44,22.204,1.98,True
Ales,2022,5,44,22.204,1.98,True
Ales,2022,6,44,22.204,1.98,True
Ales,2022,7,44,22.204,1.98,True
Ales,2022,8,44,22.204,1.98,True
Ales,2022,9,44,22.204,1.98,True
Ales,2022,10,44,22.204,1.98,True
Ales,2022,11,44,22.204,1.98,True
Ales,2022,12,44,22.204,1.98,True
Alghero,2022,1,20707,225.428,91.86,True
Alghero,2022,2,20707,225.428,91.86,True
Alghero,2022,3,20707,225.428,91.86,True
Alghero,2022,4,20707,225.428,91.86,True
Alghero,2022,5,20707,225.428,91.86,True
Alghero,2022,6,20707,225.428,91.86,True
Alghero,2022,7,20707,225.428,91.86,True
Alghero,2022,8,20707,225.428,91.86,True
Alghero,2022,9,20707,225.428,91.86,True
Alghero,2022,10,20707,225.428,91.86,True
Alghero,2022,11,20707,225.428,91.86,True
Alghero,2022,12,20707,225.428,91.86,True
Allai,2022,1,26,27.481,0.95,True
Allai,2022,2,26,27.481,0.95,True
Allai,2022,3,26,27.481,0.95,True
Allai,2022,4,26,27.481,0.95,True
Allai,2022,5,26,27.481,0.95,True
Allai,2022,6,26,27.481,0.95,True
Allai,2022,7,26,27.481,0.95,True
Allai,2022,8,26,27.481,0.95,True
Allai,2022,9,26,27.481,0.95,True
Allai,2022,10,26,27.481,0.95,True
Allai,2022,11,26,27.481,0.95,True
Allai,2022,12,26,27.481,0.95,True
Alà Dei Sardi,2022,1,21,197.51,0.11,True
Alà Dei Sardi,2022,2,21,197.51,0.11,True
Alà Dei Sardi,2022,3,21,197.51,0.11,True
Alà Dei Sardi,2022,4,21,197.51,0.11,True
Alà Dei Sardi,2022,5,21,197.51,0.11,True
Alà Dei Sardi,2022,6,21,197.51,0.11,True
Alà Dei Sardi,2022,7,21,197.51,0.11,True
Alà Dei Sardi,2022,8,21,197.51,0.11,True
Alà Dei Sardi,2022,9,21,197.51,0.11,True
Alà Dei Sardi,2022,10,21,197.51,0.11,True
Alà Dei Sardi,2022,11,21,197.51,0.11,True
Alà Dei Sardi,2022,12,21,197.51,0.11,True
Anela,2022,1,10,36.781,0.27,True
Anela,2022,2,10,36.781,0.27,True
Anela,2022,3,10,36.781,0.27,True
Anela,2022,4,10,36.781,0.27,True
Anela,2022,5,10,36.781,0.27,True
Anela,2022,6,10,36.781,0.27,True
Anela,2022,7,10,36.781,0.27,True
Anela,2022,8,10,36.781,0.27,True
Anela,2022,9,10,36.781,0.27,True
Anela,2022,10,10,36.781,0.27,True
Anela,2022,11,10,36.781,0.27,True
Anela,2022,12,10,36.781,0.27,True
Arborea,2022,1,1905,94.668,20.12,True
Arborea,2022,2,1905,94.668,20.12,True
Arborea,2022,3,1905,94.668,20.12,True
Arborea,2022,4,1905,94.668,20.12,True
Arborea,2022,5,1905,94.668,20.12,True
Arborea,2022,6,1905,94.668,20.12,True
Arborea,2022,7,1905,94.668,20.12,True
Arborea,2022,8,1905,94.668,20.12,True
Arborea,2022,9,1905,94.668,20.12,True
Arborea,2022,10,1905,94.668,20.12,True
Arborea,2022,11,1905,94.668,20.12,True
Arborea,2022,12,1905,94.668,20.12,True
Arbus,2022,1,1362,269.273,5.06,True
Arbus,2022,2,1362,269.273,5.06,True
