comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Abbasanta,2024,1,,,,,1.61,0.0079,12.96,0.4375,0.0588,2.0
Abbasanta,2024,2,1.26,0.0007,0.0195,0.0006,1.61,0.0079,12.96,0.4375,0.0062,4.0
Abbasanta,2024,3,5.7,0.0033,0.0884,0.0029,1.61,0.0079,12.96,0.4375,0.0135,4.0
Abbasanta,2024,4,7.43,0.0043,0.1153,0.0038,1.61,0.0079,12.96,0.4375,0.0154,4.0
Abbasanta,2024,5,7.26,0.0042,0.1126,0.0037,1.61,0.0079,12.96,0.4375,0.0152,4.0
Abbasanta,2024,6,7.56,0.0044,0.1173,0.0039,1.61,0.0079,12.96,0.4375,0.0156,4.0
Abbasanta,2024,7,11.15,0.0065,0.173,0.0057,1.61,0.0079,12.96,0.4375,0.0189,4.0
Abbasanta,2024,8,14.59,0.0085,0.2263,0.0075,1.61,0.0079,12.96,0.4375,0.0217,4.0
Abbasanta,2024,9,10.32,0.006,0.1601,0.0053,1.61,0.0079,12.96,0.4375,0.0182,4.0
Abbasanta,2024,10,6.38,0.0037,0.0989,0.0033,1.61,0.0079,12.96,0.4375,0.0143,4.0
Abbasanta,2024,11,2.01,0.0012,0.0312,0.001,1.61,0.0079,12.96,0.4375,0.008,4.0
Abbasanta,2024,12,2.39,0.0014,0.037,0.0012,1.61,0.0079,12.96,0.4375,0.0087,4.0
Aggius,2024,1,0.01,0.0,0.0008,0.0,2.24,0.0109,1.2,0.0405,0.0,4.0
Aggius,2024,2,0.01,0.0,0.0007,0.0,2.24,0.0109,1.2,0.0405,0.0,4.0
Aggius,2024,3,0.02,0.0,0.001,0.0,2.24,0.0109,1.2,0.0405,0.0,4.0
Aggius,2024,4,0.22,0.0001,0.0137,0.0005,2.24,0.0109,1.2,0.0405,0.0022,4.0
Aggius,2024,5,0.63,0.0004,0.0386,0.0013,2.24,0.0109,1.2,0.0405,0.0039,4.0
Aggius,2024,6,0.91,0.0005,0.0559,0.0018,2.24,0.0109,1.2,0.0405,0.0045,4.0
Aggius,2024,7,2.2,0.0013,0.1351,0.0044,2.24,0.0109,1.2,0.0405,0.0071,4.0
Aggius,2024,8,4.59,0.0027,0.2811,0.0093,2.24,0.0109,1.2,0.0405,0.0103,4.0
Aggius,2024,9,1.11,0.0006,0.0678,0.0022,2.24,0.0109,1.2,0.0405,0.0049,4.0
Aggius,2024,10,0.03,0.0,0.0016,0.0001,2.24,0.0109,1.2,0.0405,0.0,4.0
Aggius,2024,11,0.01,0.0,0.0008,0.0,2.24,0.0109,1.2,0.0405,0.0,4.0
Aggius,2024,12,0.11,0.0001,0.0067,0.0002,2.24,0.0109,1.2,0.0405,0.0017,4.0
Aglientu,2024,1,0.36,0.0002,0.0459,0.0015,44.78,0.2186,13.46,0.4544,0.0131,4.0
Aglientu,2024,2,,,,,44.78,0.2186,13.46,0.4544,0.3152,2.0
Aglientu,2024,3,1.01,0.0006,0.1274,0.0042,44.78,0.2186,13.46,0.4544,0.0224,4.0
Aglientu,2024,4,7.77,0.0045,0.9788,0.0322,44.78,0.2186,13.46,0.4544,0.0616,4.0
Aglientu,2024,5,88.63,0.0518,11.1716,0.3679,44.78,0.2186,13.46,0.4544,0.2086,4.0
Aglientu,2024,6,243.84,0.1426,30.7349,1.0,44.78,0.2186,13.46,0.4544,0.345,4.0
Aglientu,2024,7,621.87,0.3636,78.3849,1.0,44.78,0.2186,13.46,0.4544,0.4359,4.0
Aglientu,2024,8,812.64,0.4751,102.4308,1.0,44.78,0.2186,13.46,0.4544,0.4661,4.0
Aglientu,2024,9,348.68,0.2039,43.9507,1.0,44.78,0.2186,13.46,0.4544,0.3772,4.0
Aglientu,2024,10,72.18,0.0422,9.0977,0.2996,44.78,0.2186,13.46,0.4544,0.1883,4.0
Aglientu,2024,11,2.17,0.0013,0.2736,0.009,44.78,0.2186,13.46,0.4544,0.0328,4.0
Aglientu,2024,12,1.38,0.0008,0.1742,0.0057,44.78,0.2186,13.46,0.4544,0.0259,4.0
Aidomaggiore,2024,1,0.01,0.0,0.0014,0.0,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,2,0.01,0.0,0.0013,0.0,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,3,0.02,0.0,0.0018,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,4,0.03,0.0,0.0029,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,5,0.03,0.0,0.0032,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,6,0.06,0.0,0.0062,0.0002,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,7,0.66,0.0004,0.0712,0.0023,0.19,0.0009,7.88,0.266,0.0039,4.0
Aidomaggiore,2024,8,2.5,0.0015,0.2703,0.0089,0.19,0.0009,7.88,0.266,0.0075,4.0
Aidomaggiore,2024,9,1.09,0.0006,0.1173,0.0039,0.19,0.0009,7.88,0.266,0.0049,4.0
Aidomaggiore,2024,10,0.8,0.0005,0.0866,0.0029,0.19,0.0009,7.88,0.266,0.0043,4.0
Aidomaggiore,2024,11,0.35,0.0002,0.0381,0.0013,0.19,0.0009,7.88,0.266,0.0028,4.0
Aidomaggiore,2024,12,0.02,0.0,0.0019,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Albagiara,2024,1,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,2,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,3,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,4,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,5,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,6,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,7,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,8,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,9,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,10,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,11,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,12,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Ales,2024,1,0.75,0.0004,0.0132,0.0004,2.12,0.0104,4.76,0.1607,0.004,4.0
Ales,2024,2,0.93,0.0005,0.0164,0.0005,2.12,0.0104,4.76,0.1607,0.0045,4.0
Ales,2024,3,1.03,0.0006,0.0181,0.0006,2.12,0.0104,4.76,0.1607,0.005,4.0
Ales,2024,4,3.44,0.002,0.0607,0.002,2.12,0.0104,4.76,0.1607,0.009,4.0
Ales,2024,5,1.96,0.0011,0.0346,0.0011,2.12,0.0104,4.76,0.1607,0.0067,4.0
Ales,2024,6,4.76,0.0028,0.0842,0.0028,2.12,0.0104,4.76,0.1607,0.0107,4.0
Ales,2024,7,4.94,0.0029,0.0873,0.0029,2.12,0.0104,4.76,0.1607,0.0109,4.0
Ales,2024,8,10.62,0.0062,0.1876,0.0062,2.12,0.0104,4.76,0.1607,0.0159,4.0
Ales,2024,9,3.38,0.002,0.0598,0.002,2.12,0.0104,4.76,0.1607,0.009,4.0
Ales,2024,10,1.9,0.0011,0.0336,0.0011,2.12,0.0104,4.76,0.1607,0.0067,4.0
Ales,2024,11,3.05,0.0018,0.0538,0.0018,2.12,0.0104,4.76,0.1607,0.0086,4.0
Ales,2024,12,0.04,0.0,0.0007,0.0,2.12,0.0104,4.76,0.1607,0.0,4.0
Alghero,2024,1,38.56,0.0225,0.2056,0.0068,120.36,0.5876,16.05,0.5419,0.0835,4.0
Alghero,2024,2,35.34,0.0207,0.1884,0.0062,120.36,0.5876,16.05,0.5419,0.08,4.0
Alghero,2024,3,68.9,0.0403,0.3674,0.0121,120.36,0.5876,16.05,0.5419,0.1116,4.0
Alghero,2024,4,321.93,0.1882,1.7164,0.0565,120.36,0.5876,16.05,0.5419,0.2412,4.0
Alghero,2024,5,670.72,0.3921,3.5761,0.1178,120.36,0.5876,16.05,0.5419,0.3482,4.0
Alghero,2024,6,1021.08,0.597,5.4441,0.1793,120.36,0.5876,16.05,0.5419,0.4297,4.0
Alghero,2024,7,1426.9,0.8342,7.6078,0.2505,120.36,0.5876,16.05,0.5419,0.5079,4.0
Alghero,2024,8,1612.81,0.9429,8.599,0.2831,120.36,0.5876,16.05,0.5419,0.5399,4.0
Alghero,2024,9,1184.05,0.6922,6.3129,0.2079,120.36,0.5876,16.05,0.5419,0.4627,4.0
Alghero,2024,10,548.69,0.3208,2.9254,0.0963,120.36,0.5876,16.05,0.5419,0.3149,4.0
Alghero,2024,11,59.4,0.0347,0.3167,0.0104,120.36,0.5876,16.05,0.5419,0.1035,4.0
Alghero,2024,12,63.79,0.0373,0.3401,0.0112,120.36,0.5876,16.05,0.5419,0.1074,4.0
Allai,2024,1,0.05,0.0,0.0037,0.0001,1.16,0.0057,0.36,0.0122,0.0,4.0
Allai,2024,2,0.04,0.0,0.0035,0.0001,1.16,0.0057,0.36,0.0122,0.0,4.0
Allai,2024,3,0.06,0.0,0.0048,0.0002,1.16,0.0057,0.36,0.0122,0.0,4.0
Allai,2024,4,0.1,0.0001,0.0078,0.0003,1.16,0.0057,0.36,0.0122,0.0012,4.0
Allai,2024,5,0.11,0.0001,0.0087,0.0003,1.16,0.0057,0.36,0.0122,0.0012,4.0
Allai,2024,6,0.21,0.0001,0.0167,0.0005,1.16,0.0057,0.36,0.0122,0.0014,4.0
Allai,2024,7,0.29,0.0002,0.0226,0.0007,1.16,0.0057,0.36,0.0122,0.0018,4.0
Allai,2024,8,0.29,0.0002,0.023,0.0008,1.16,0.0057,0.36,0.0122,0.0018,4.0
Allai,2024,9,0.16,0.0001,0.0128,0.0004,1.16,0.0057,0.36,0.0122,0.0013,4.0
Allai,2024,10,0.1,0.0001,0.0078,0.0003,1.16,0.0057,0.36,0.0122,0.0012,4.0
Allai,2024,11,0.05,0.0,0.004,0.0001,1.16,0.0057,0.36,0.0122,0.0,4.0
Allai,2024,12,0.06,0.0,0.005,0.0002,1.16,0.0057,0.36,0.0122,0.0,4.0
Alà Dei Sardi,2024,1,0.01,0.0,0.0007,0.0,0.11,0.0005,1.59,0.0537,0.0,4.0
