comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Abbasanta,2024,1,3028.0,64.0,12.96,0,True
Abbasanta,2024,2,3028.0,64.0,12.96,0,True
Abbasanta,2024,3,3028.0,64.0,12.96,0,True
Abbasanta,2024,4,3028.0,64.0,12.96,0,True
Abbasanta,2024,5,3028.0,64.0,12.96,0,True
Abbasanta,2024,6,3028.0,64.0,12.96,0,True
Abbasanta,2024,7,3028.0,64.0,12.96,0,True
Abbasanta,2024,8,3028.0,64.0,12.96,0,True
Abbasanta,2024,9,3028.0,64.0,12.96,0,True
Abbasanta,2024,10,3028.0,64.0,12.96,0,True
Abbasanta,2024,11,3028.0,64.0,12.96,0,True
Abbasanta,2024,12,3028.0,64.0,12.96,0,True
Aggius,2024,1,852.01,194.0,1.2,0,True
Aggius,2024,2,852.01,194.0,1.2,0,True
Aggius,2024,3,852.01,194.0,1.2,0,True
Aggius,2024,4,852.01,194.0,1.2,0,True
Aggius,2024,5,852.01,194.0,1.2,0,True
Aggius,2024,6,852.01,194.0,1.2,0,True
Aggius,2024,7,852.01,194.0,1.2,0,True
Aggius,2024,8,852.01,194.0,1.2,0,True
Aggius,2024,9,852.01,194.0,1.2,0,True
Aggius,2024,10,852.01,194.0,1.2,0,True
Aggius,2024,11,852.01,194.0,1.2,0,True
Aggius,2024,12,852.01,194.0,1.2,0,True
Aglientu,2024,1,326465.0,6643.0,13.46,0,True
Aglientu,2024,2,326465.0,6643.0,13.46,0,True
Aglientu,2024,3,326465.0,6643.0,13.46,0,True
Aglientu,2024,4,326465.0,6643.0,13.46,0,True
Aglientu,2024,5,326465.0,6643.0,13.46,0,True
Aglientu,2024,6,326465.0,6643.0,13.46,0,True
Aglientu,2024,7,326465.0,6643.0,13.46,0,True
Aglientu,2024,8,326465.0,6643.0,13.46,0,True
Aglientu,2024,9,326465.0,6643.0,13.46,0,True
Aglientu,2024,10,326465.0,6643.0,13.46,0,True
Aglientu,2024,11,326465.0,6643.0,13.46,0,True
Aglientu,2024,12,326465.0,6643.0,13.46,0,True
Aidomaggiore,2024,1,230.02,8.0,7.88,0,True
Aidomaggiore,2024,2,230.02,8.0,7.88,0,True
Aidomaggiore,2024,3,230.02,8.0,7.88,0,True
Aidomaggiore,2024,4,230.02,8.0,7.88,0,True
Aidomaggiore,2024,5,230.02,8.0,7.88,0,True
Aidomaggiore,2024,6,230.02,8.0,7.88,0,True
Aidomaggiore,2024,7,230.02,8.0,7.88,0,True
Aidomaggiore,2024,8,230.02,8.0,7.88,0,True
