comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Abbasanta,2024,1,64,39.816,1.61,True
Abbasanta,2024,2,64,39.816,1.61,True
Abbasanta,2024,3,64,39.816,1.61,True
Abbasanta,2024,4,64,39.816,1.61,True
Abbasanta,2024,5,64,39.816,1.61,True
Abbasanta,2024,6,64,39.816,1.61,True
Abbasanta,2024,7,64,39.816,1.61,True
Abbasanta,2024,8,64,39.816,1.61,True
Abbasanta,2024,9,64,39.816,1.61,True
Abbasanta,2024,10,64,39.816,1.61,True
Abbasanta,2024,11,64,39.816,1.61,True
Abbasanta,2024,12,64,39.816,1.61,True
Aggius,2024,1,194,86.445,2.24,True
Aggius,2024,2,194,86.445,2.24,True
Aggius,2024,3,194,86.445,2.24,True
Aggius,2024,4,194,86.445,2.24,True
Aggius,2024,5,194,86.445,2.24,True
Aggius,2024,6,194,86.445,2.24,True
Aggius,2024,7,194,86.445,2.24,True
Aggius,2024,8,194,86.445,2.24,True
Aggius,2024,9,194,86.445,2.24,True
Aggius,2024,10,194,86.445,2.24,True
Aggius,2024,11,194,86.445,2.24,True
Aggius,2024,12,194,86.445,2.24,True
Aglientu,2024,1,6643,148.358,44.78,True
Aglientu,2024,2,6643,148.358,44.78,True
Aglientu,2024,3,6643,148.358,44.78,True
Aglientu,2024,4,6643,148.358,44.78,True
Aglientu,2024,5,6643,148.358,44.78,True
Aglientu,2024,6,6643,148.358,44.78,True
Aglientu,2024,7,6643,148.358,44.78,True
Aglientu,2024,8,6643,148.358,44.78,True
Aglientu,2024,9,6643,148.358,44.78,True
Aglientu,2024,10,6643,148.358,44.78,True
Aglientu,2024,11,6643,148.358,44.78,True
Aglientu,2024,12,6643,148.358,44.78,True
Aidomaggiore,2024,1,8,41.236,0.19,True
Aidomaggiore,2024,2,8,41.236,0.19,True
Aidomaggiore,2024,3,8,41.236,0.19,True
Aidomaggiore,2024,4,8,41.236,0.19,True
Aidomaggiore,2024,5,8,41.236,0.19,True
Aidomaggiore,2024,6,8,41.236,0.19,True
Aidomaggiore,2024,7,8,41.236,0.19,True
Aidomaggiore,2024,8,8,41.236,0.19,True
Aidomaggiore,2024,9,8,41.236,0.19,True
Aidomaggiore,2024,10,8,41.236,0.19,True
Aidomaggiore,2024,11,8,41.236,0.19,True
Aidomaggiore,2024,12,8,41.236,0.19,True
Albagiara,2024,1,4,9.17,0.44,True
Albagiara,2024,2,4,9.17,0.44,True
Albagiara,2024,3,4,9.17,0.44,True
Albagiara,2024,4,4,9.17,0.44,True
Albagiara,2024,5,4,9.17,0.44,True
Albagiara,2024,6,4,9.17,0.44,True
Albagiara,2024,7,4,9.17,0.44,True
Albagiara,2024,8,4,9.17,0.44,True
Albagiara,2024,9,4,9.17,0.44,True
Albagiara,2024,10,4,9.17,0.44,True
Albagiara,2024,11,4,9.17,0.44,True
Albagiara,2024,12,4,9.17,0.44,True
Ales,2024,1,47,22.204,2.12,True
Ales,2024,2,47,22.204,2.12,True
Ales,2024,3,47,22.204,2.12,True
Ales,2024,4,47,22.204,2.12,True
Ales,2024,5,47,22.204,2.12,True
Ales,2024,6,47,22.204,2.12,True
Ales,2024,7,47,22.204,2.12,True
Ales,2024,8,47,22.204,2.12,True
Ales,2024,9,47,22.204,2.12,True
Ales,2024,10,47,22.204,2.12,True
Ales,2024,11,47,22.204,2.12,True
Ales,2024,12,47,22.204,2.12,True
Alghero,2024,1,27132,225.428,120.36,True
Alghero,2024,2,27132,225.428,120.36,True
Alghero,2024,3,27132,225.428,120.36,True
Alghero,2024,4,27132,225.428,120.36,True
Alghero,2024,5,27132,225.428,120.36,True
Alghero,2024,6,27132,225.428,120.36,True
Alghero,2024,7,27132,225.428,120.36,True
Alghero,2024,8,27132,225.428,120.36,True
Alghero,2024,9,27132,225.428,120.36,True
Alghero,2024,10,27132,225.428,120.36,True
Alghero,2024,11,27132,225.428,120.36,True
Alghero,2024,12,27132,225.428,120.36,True
Allai,2024,1,32,27.481,1.16,True
Allai,2024,2,32,27.481,1.16,True
Allai,2024,3,32,27.481,1.16,True
Allai,2024,4,32,27.481,1.16,True
Allai,2024,5,32,27.481,1.16,True
Allai,2024,6,32,27.481,1.16,True
Allai,2024,7,32,27.481,1.16,True
Allai,2024,8,32,27.481,1.16,True
Allai,2024,9,32,27.481,1.16,True
Allai,2024,10,32,27.481,1.16,True
Allai,2024,11,32,27.481,1.16,True
Allai,2024,12,32,27.481,1.16,True
Alà Dei Sardi,2024,1,21,197.51,0.11,True
Alà Dei Sardi,2024,2,21,197.51,0.11,True
Alà Dei Sardi,2024,3,21,197.51,0.11,True
Alà Dei Sardi,2024,4,21,197.51,0.11,True
Alà Dei Sardi,2024,5,21,197.51,0.11,True
Alà Dei Sardi,2024,6,21,197.51,0.11,True
Alà Dei Sardi,2024,7,21,197.51,0.11,True
Alà Dei Sardi,2024,8,21,197.51,0.11,True
Alà Dei Sardi,2024,9,21,197.51,0.11,True
Alà Dei Sardi,2024,10,21,197.51,0.11,True
Alà Dei Sardi,2024,11,21,197.51,0.11,True
Alà Dei Sardi,2024,12,21,197.51,0.11,True
Anela,2024,1,6,36.781,0.16,True
Anela,2024,2,6,36.781,0.16,True
Anela,2024,3,6,36.781,0.16,True
Anela,2024,4,6,36.781,0.16,True
Anela,2024,5,6,36.781,0.16,True
Anela,2024,6,6,36.781,0.16,True
Anela,2024,7,6,36.781,0.16,True
Anela,2024,8,6,36.781,0.16,True
Anela,2024,9,6,36.781,0.16,True
Anela,2024,10,6,36.781,0.16,True
Anela,2024,11,6,36.781,0.16,True
Anela,2024,12,6,36.781,0.16,True
Arborea,2024,1,1931,94.668,20.4,True
Arborea,2024,2,1931,94.668,20.4,True
Arborea,2024,3,1931,94.668,20.4,True
Arborea,2024,4,1931,94.668,20.4,True
Arborea,2024,5,1931,94.668,20.4,True
Arborea,2024,6,1931,94.668,20.4,True
Arborea,2024,7,1931,94.668,20.4,True
Arborea,2024,8,1931,94.668,20.4,True
Arborea,2024,9,1931,94.668,20.4,True
Arborea,2024,10,1931,94.668,20.4,True
Arborea,2024,11,1931,94.668,20.4,True
Arborea,2024,12,1931,94.668,20.4,True
Arbus,2024,1,1904,269.273,7.07,True
Arbus,2024,2,1904,269.273,7.07,True
Arbus,2024,3,1904,269.273,7.07,True
Arbus,2024,4,1904,269.273,7.07,True
Arbus,2024,5,1904,269.273,7.07,True
Arbus,2024,6,1904,269.273,7.07,True
Arbus,2024,7,1904,269.273,7.07,True
Arbus,2024,8,1904,269.273,7.07,True
Arbus,2024,9,1904,269.273,7.07,True
Arbus,2024,10,1904,269.273,7.07,True
Arbus,2024,11,1904,269.273,7.07,True
Arbus,2024,12,1904,269.273,7.07,True
Ardara,2024,1,4,38.173,0.1,True
Ardara,2024,2,4,38.173,0.1,True
Ardara,2024,3,4,38.173,0.1,True
Ardara,2024,4,4,38.173,0.1,True
Ardara,2024,5,4,38.173,0.1,True
Ardara,2024,6,4,38.173,0.1,True
Ardara,2024,7,4,38.173,0.1,True
Ardara,2024,8,4,38.173,0.1,True
Ardara,2024,9,4,38.173,0.1,True
Ardara,2024,10,4,38.173,0.1,True
Ardara,2024,11,4,38.173,0.1,True
Ardara,2024,12,4,38.173,0.1,True
Ardauli,2024,1,4,20.564,0.19,True
Ardauli,2024,2,4,20.564,0.19,True
Ardauli,2024,3,4,20.564,0.19,True
Ardauli,2024,4,4,20.564,0.19,True
Ardauli,2024,5,4,20.564,0.19,True
Ardauli,2024,6,4,20.564,0.19,True
Ardauli,2024,7,4,20.564,0.19,True
Ardauli,2024,8,4,20.564,0.19,True
Ardauli,2024,9,4,20.564,0.19,True
Ardauli,2024,10,4,20.564,0.19,True
Ardauli,2024,11,4,20.564,0.19,True
Ardauli,2024,12,4,20.564,0.19,True
Aritzo,2024,1,259,75.183,3.44,True
Aritzo,2024,2,259,75.183,3.44,True
Aritzo,2024,3,259,75.183,3.44,True
Aritzo,2024,4,259,75.183,3.44,True
Aritzo,2024,5,259,75.183,3.44,True
Aritzo,2024,6,259,75.183,3.44,True
Aritzo,2024,7,259,75.183,3.44,True
Aritzo,2024,8,259,75.183,3.44,True
Aritzo,2024,9,259,75.183,3.44,True
Aritzo,2024,10,259,75.183,3.44,True
Aritzo,2024,11,259,75.183,3.44,True
Aritzo,2024,12,259,75.183,3.44,True
Armungia,2024,1,31,55.243,0.56,True
Armungia,2024,2,31,55.243,0.56,True
Armungia,2024,3,31,55.243,0.56,True
Armungia,2024,4,31,55.243,0.56,True
Armungia,2024,5,31,55.243,0.56,True
Armungia,2024,6,31,55.243,0.56,True
Armungia,2024,7,31,55.243,0.56,True
Armungia,2024,8,31,55.243,0.56,True
Armungia,2024,9,31,55.243,0.56,True
Armungia,2024,10,31,55.243,0.56,True
Armungia,2024,11,31,55.243,0.56,True
Armungia,2024,12,31,55.243,0.56,True
Arzachena,2024,1,23512,231.32,101.64,True
Arzachena,2024,2,23512,231.32,101.64,True
Arzachena,2024,3,23512,231.32,101.64,True
Arzachena,2024,4,23512,231.32,101.64,True
Arzachena,2024,5,23512,231.32,101.64,True
Arzachena,2024,6,23512,231.32,101.64,True
Arzachena,2024,7,23512,231.32,101.64,True
Arzachena,2024,8,23512,231.32,101.64,True
Arzachena,2024,9,23512,231.32,101.64,True
Arzachena,2024,10,23512,231.32,101.64,True
Arzachena,2024,11,23512,231.32,101.64,True
Arzachena,2024,12,23512,231.32,101.64,True
Arzana,2024,1,26,162.755,0.16,True
Arzana,2024,2,26,162.755,0.16,True
Arzana,2024,3,26,162.755,0.16,True
Arzana,2024,4,26,162.755,0.16,True
Arzana,2024,5,26,162.755,0.16,True
Arzana,2024,6,26,162.755,0.16,True
Arzana,2024,7,26,162.755,0.16,True
Arzana,2024,8,26,162.755,0.16,True
Arzana,2024,9,26,162.755,0.16,True
Arzana,2024,10,26,162.755,0.16,True
Arzana,2024,11,26,162.755,0.16,True
Arzana,2024,12,26,162.755,0.16,True
Assemini,2024,1,719,118.322,6.08,True
Assemini,2024,2,719,118.322,6.08,True
Assemini,2024,3,719,118.322,6.08,True
Assemini,2024,4,719,118.322,6.08,True
Assemini,2024,5,719,118.322,6.08,True
Assemini,2024,6,719,118.322,6.08,True
Assemini,2024,7,719,118.322,6.08,True
Assemini,2024,8,719,118.322,6.08,True
Assemini,2024,9,719,118.322,6.08,True
Assemini,2024,10,719,118.322,6.08,True
Assemini,2024,11,719,118.322,6.08,True
Assemini,2024,12,719,118.322,6.08,True
Assolo,2024,1,17,16.337,1.04,True
Assolo,2024,2,17,16.337,1.04,True
Assolo,2024,3,17,16.337,1.04,True
Assolo,2024,4,17,16.337,1.04,True
Assolo,2024,5,17,16.337,1.04,True
Assolo,2024,6,17,16.337,1.04,True
Assolo,2024,7,17,16.337,1.04,True
Assolo,2024,8,17,16.337,1.04,True
Assolo,2024,9,17,16.337,1.04,True
Assolo,2024,10,17,16.337,1.04,True
Assolo,2024,11,17,16.337,1.04,True
Assolo,2024,12,17,16.337,1.04,True
Asuni,2024,1,0,21.328,0.0,False
Asuni,2024,2,0,21.328,0.0,False
Asuni,2024,3,0,21.328,0.0,False
Asuni,2024,4,0,21.328,0.0,False
Asuni,2024,5,0,21.328,0.0,False
Asuni,2024,6,0,21.328,0.0,False
Asuni,2024,7,0,21.328,0.0,False
Asuni,2024,8,0,21.328,0.0,False
Asuni,2024,9,0,21.328,0.0,False
Asuni,2024,10,0,21.328,0.0,False
Asuni,2024,11,0,21.328,0.0,False
Asuni,2024,12,0,21.328,0.0,False
Atzara,2024,1,18,35.952,0.5,True
Atzara,2024,2,18,35.952,0.5,True
Atzara,2024,3,18,35.952,0.5,True
Atzara,2024,4,18,35.952,0.5,True
Atzara,2024,5,18,35.952,0.5,True
Atzara,2024,6,18,35.952,0.5,True
Atzara,2024,7,18,35.952,0.5,True
Atzara,2024,8,18,35.952,0.5,True
Atzara,2024,9,18,35.952,0.5,True
Atzara,2024,10,18,35.952,0.5,True
Atzara,2024,11,18,35.952,0.5,True
Atzara,2024,12,18,35.952,0.5,True
Austis,2024,1,70,50.748,1.38,True
