comune,anno,mese,popolazione_residente,presenze_mese,intensita_turistica_presenze,arrivi_mese,intensita_turistica_arrivi_vs_residenti,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2023,1,2585,124.0,0.048,66.0,0.0255,12,True
Abbasanta,2023,2,2585,101.0,0.0391,67.0,0.0259,12,True
Abbasanta,2023,3,2585,119.0,0.046,80.0,0.0309,12,True
Abbasanta,2023,4,2585,110.0,0.0426,69.0,0.0267,12,True
Abbasanta,2023,5,2585,93.0,0.036,74.0,0.0286,12,True
Abbasanta,2023,6,2585,96.0,0.0371,49.0,0.019,12,True
Abbasanta,2023,7,2585,151.0,0.0584,84.0,0.0325,12,True
Abbasanta,2023,8,2585,43.0,0.0166,15.0,0.0058,12,True
Abbasanta,2023,9,2585,102.0,0.0395,23.0,0.0089,12,True
Abbasanta,2023,10,2585,391.0,0.1513,27.0,0.0104,12,True
Abbasanta,2023,11,2585,15.0,0.0058,8.0,0.0031,12,True
Abbasanta,2023,12,2585,26.0,0.0101,12.0,0.0046,12,True
Aggius,2023,1,1411,8.22,0.0058,6.16,0.0044,12,True
Aggius,2023,2,1411,0.18,0.0001,0.14,0.0001,12,True
Aggius,2023,3,1411,0.23,0.0002,0.17,0.0001,12,True
Aggius,2023,4,1411,0.5,0.0004,0.38,0.0003,12,True
Aggius,2023,5,1411,0.65,0.0005,0.49,0.0003,12,True
Aggius,2023,6,1411,51.09,0.0362,14.82,0.0105,12,True
Aggius,2023,7,1411,193.53,0.1372,41.15,0.0292,12,True
Aggius,2023,8,1411,473.51,0.3356,119.13,0.0844,12,True
Aggius,2023,9,1411,94.94,0.0673,46.71,0.0331,12,True
Aggius,2023,10,1411,9.55,0.0068,7.41,0.0053,12,True
Aggius,2023,11,1411,0.26,0.0002,0.2,0.0001,12,True
Aggius,2023,12,1411,0.34,0.0002,0.26,0.0002,12,True
Aglientu,2023,1,1168,1.16,0.001,0.11,0.0001,12,True
Aglientu,2023,2,1168,0.99,0.0008,0.09,0.0001,12,True
Aglientu,2023,3,1168,1.22,0.001,0.11,0.0001,12,True
Aglientu,2023,4,1168,814.71,0.6975,168.25,0.144,12,True
Aglientu,2023,5,1168,10451.5,8.9482,2802.33,2.3993,12,True
Aglientu,2023,6,1168,27468.84,23.5178,4259.54,3.6469,12,True
Aglientu,2023,7,1168,67818.21,58.0635,8310.76,7.1154,12,True
Aglientu,2023,8,1168,87033.11,74.5146,9347.75,8.0032,12,True
Aglientu,2023,9,1168,37226.06,31.8716,5786.47,4.9542,12,True
Aglientu,2023,10,1168,9709.96,8.3133,1773.28,1.5182,12,True
Aglientu,2023,11,1168,1.4,0.0012,0.13,0.0001,12,True
Aglientu,2023,12,1168,17.84,0.0153,8.17,0.007,12,True
Ales,2023,1,1267,0.43,0.0003,0.38,0.0003,12,True
Ales,2023,2,1267,0.37,0.0003,0.32,0.0003,12,True
Ales,2023,3,1267,34.45,0.0272,22.4,0.0177,12,True
