comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Abbasanta,2023,1,1371.0,59.0,6.37,0,True
Abbasanta,2023,2,1371.0,59.0,6.37,0,True
Abbasanta,2023,3,1371.0,59.0,6.37,0,True
Abbasanta,2023,4,1371.0,59.0,6.37,0,True
Abbasanta,2023,5,1371.0,59.0,6.37,0,True
Abbasanta,2023,6,1371.0,59.0,6.37,0,True
Abbasanta,2023,7,1371.0,59.0,6.37,0,True
Abbasanta,2023,8,1371.0,59.0,6.37,0,True
Abbasanta,2023,9,1371.0,59.0,6.37,0,True
Abbasanta,2023,10,1371.0,59.0,6.37,0,True
Abbasanta,2023,11,1371.0,59.0,6.37,0,True
Abbasanta,2023,12,1371.0,59.0,6.37,0,True
Aggius,2023,1,833.0,133.0,1.72,0,True
Aggius,2023,2,833.0,133.0,1.72,0,True
Aggius,2023,3,833.0,133.0,1.72,0,True
Aggius,2023,4,833.0,133.0,1.72,0,True
Aggius,2023,5,833.0,133.0,1.72,0,True
Aggius,2023,6,833.0,133.0,1.72,0,True
Aggius,2023,7,833.0,133.0,1.72,0,True
Aggius,2023,8,833.0,133.0,1.72,0,True
Aggius,2023,9,833.0,133.0,1.72,0,True
Aggius,2023,10,833.0,133.0,1.72,0,True
Aggius,2023,11,833.0,133.0,1.72,0,True
Aggius,2023,12,833.0,133.0,1.72,0,True
Aglientu,2023,1,240545.0,5642.0,11.68,0,True
Aglientu,2023,2,240545.0,5642.0,11.68,0,True
Aglientu,2023,3,240545.0,5642.0,11.68,0,True
Aglientu,2023,4,240545.0,5642.0,11.68,0,True
Aglientu,2023,5,240545.0,5642.0,11.68,0,True
Aglientu,2023,6,240545.0,5642.0,11.68,0,True
Aglientu,2023,7,240545.0,5642.0,11.68,0,True
Aglientu,2023,8,240545.0,5642.0,11.68,0,True
Aglientu,2023,9,240545.0,5642.0,11.68,0,True
Aglientu,2023,10,240545.0,5642.0,11.68,0,True
Aglientu,2023,11,240545.0,5642.0,11.68,0,True
Aglientu,2023,12,240545.0,5642.0,11.68,0,True
Aidomaggiore,2023,1,0.0,8.0,0.0,0,True
Aidomaggiore,2023,2,0.0,8.0,0.0,0,True
Aidomaggiore,2023,3,0.0,8.0,0.0,0,True
Aidomaggiore,2023,4,0.0,8.0,0.0,0,True
Aidomaggiore,2023,5,0.0,8.0,0.0,0,True
Aidomaggiore,2023,6,0.0,8.0,0.0,0,True
Aidomaggiore,2023,7,0.0,8.0,0.0,0,True
Aidomaggiore,2023,8,0.0,8.0,0.0,0,True
Aidomaggiore,2023,9,0.0,8.0,0.0,0,True
Aidomaggiore,2023,10,0.0,8.0,0.0,0,True
Aidomaggiore,2023,11,0.0,8.0,0.0,0,True
Aidomaggiore,2023,12,0.0,8.0,0.0,0,True
Ales,2023,1,757.99,47.0,4.42,0,True
Ales,2023,2,757.99,47.0,4.42,0,True
Ales,2023,3,757.99,47.0,4.42,0,True
Ales,2023,4,757.99,47.0,4.42,0,True
Ales,2023,5,757.99,47.0,4.42,0,True
Ales,2023,6,757.99,47.0,4.42,0,True
Ales,2023,7,757.99,47.0,4.42,0,True
Ales,2023,8,757.99,47.0,4.42,0,True
Ales,2023,9,757.99,47.0,4.42,0,True
Ales,2023,10,757.99,47.0,4.42,0,True
Ales,2023,11,757.99,47.0,4.42,0,True
Ales,2023,12,757.99,47.0,4.42,0,True
Alghero,2023,1,1373563.0,23392.0,16.09,0,True
Alghero,2023,2,1373563.0,23392.0,16.09,0,True
Alghero,2023,3,1373563.0,23392.0,16.09,0,True
Alghero,2023,4,1373563.0,23392.0,16.09,0,True
Alghero,2023,5,1373563.0,23392.0,16.09,0,True
Alghero,2023,6,1373563.0,23392.0,16.09,0,True
Alghero,2023,7,1373563.0,23392.0,16.09,0,True
Alghero,2023,8,1373563.0,23392.0,16.09,0,True
Alghero,2023,9,1373563.0,23392.0,16.09,0,True
Alghero,2023,10,1373563.0,23392.0,16.09,0,True
Alghero,2023,11,1373563.0,23392.0,16.09,0,True
Alghero,2023,12,1373563.0,23392.0,16.09,0,True
Allai,2023,1,0.0,26.0,0.0,0,True
Allai,2023,2,0.0,26.0,0.0,0,True
Allai,2023,3,0.0,26.0,0.0,0,True
Allai,2023,4,0.0,26.0,0.0,0,True
Allai,2023,5,0.0,26.0,0.0,0,True
Allai,2023,6,0.0,26.0,0.0,0,True
Allai,2023,7,0.0,26.0,0.0,0,True
Allai,2023,8,0.0,26.0,0.0,0,True
Allai,2023,9,0.0,26.0,0.0,0,True
Allai,2023,10,0.0,26.0,0.0,0,True
Allai,2023,11,0.0,26.0,0.0,0,True
Allai,2023,12,0.0,26.0,0.0,0,True
Alà Dei Sardi,2023,1,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,2,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,3,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,4,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,5,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,6,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,7,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,8,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,9,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,10,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,11,242.99,21.0,3.17,0,True
Alà Dei Sardi,2023,12,242.99,21.0,3.17,0,True
Anela,2023,1,0.0,6.0,0.0,0,True
Anela,2023,2,0.0,6.0,0.0,0,True
