comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Abbasanta,2025,1,78,39.816,1.96,True
Abbasanta,2025,2,78,39.816,1.96,True
Abbasanta,2025,3,78,39.816,1.96,True
Abbasanta,2025,4,78,39.816,1.96,True
Abbasanta,2025,5,78,39.816,1.96,True
Abbasanta,2025,6,78,39.816,1.96,True
Abbasanta,2025,7,78,39.816,1.96,True
Abbasanta,2025,8,78,39.816,1.96,True
Abbasanta,2025,9,78,39.816,1.96,True
Abbasanta,2025,10,78,39.816,1.96,True
Abbasanta,2025,11,78,39.816,1.96,True
Abbasanta,2025,12,78,39.816,1.96,True
Aggius,2025,1,236,86.445,2.73,True
Aggius,2025,2,236,86.445,2.73,True
Aggius,2025,3,236,86.445,2.73,True
Aggius,2025,4,236,86.445,2.73,True
Aggius,2025,5,236,86.445,2.73,True
Aggius,2025,6,236,86.445,2.73,True
Aggius,2025,7,236,86.445,2.73,True
Aggius,2025,8,236,86.445,2.73,True
Aggius,2025,9,236,86.445,2.73,True
Aggius,2025,10,236,86.445,2.73,True
Aggius,2025,11,236,86.445,2.73,True
Aggius,2025,12,236,86.445,2.73,True
Aglientu,2025,1,7513,148.358,50.64,True
Aglientu,2025,2,7513,148.358,50.64,True
Aglientu,2025,3,7513,148.358,50.64,True
Aglientu,2025,4,7513,148.358,50.64,True
Aglientu,2025,5,7513,148.358,50.64,True
Aglientu,2025,6,7513,148.358,50.64,True
Aglientu,2025,7,7513,148.358,50.64,True
Aglientu,2025,8,7513,148.358,50.64,True
Aglientu,2025,9,7513,148.358,50.64,True
Aglientu,2025,10,7513,148.358,50.64,True
Aglientu,2025,11,7513,148.358,50.64,True
Aglientu,2025,12,7513,148.358,50.64,True
Aidomaggiore,2025,1,8,41.236,0.19,True
Aidomaggiore,2025,2,8,41.236,0.19,True
Aidomaggiore,2025,3,8,41.236,0.19,True
Aidomaggiore,2025,4,8,41.236,0.19,True
Aidomaggiore,2025,5,8,41.236,0.19,True
Aidomaggiore,2025,6,8,41.236,0.19,True
Aidomaggiore,2025,7,8,41.236,0.19,True
Aidomaggiore,2025,8,8,41.236,0.19,True
Aidomaggiore,2025,9,8,41.236,0.19,True
Aidomaggiore,2025,10,8,41.236,0.19,True
Aidomaggiore,2025,11,8,41.236,0.19,True
Aidomaggiore,2025,12,8,41.236,0.19,True
Albagiara,2025,1,6,9.17,0.65,True
Albagiara,2025,2,6,9.17,0.65,True
Albagiara,2025,3,6,9.17,0.65,True
Albagiara,2025,4,6,9.17,0.65,True
Albagiara,2025,5,6,9.17,0.65,True
Albagiara,2025,6,6,9.17,0.65,True
Albagiara,2025,7,6,9.17,0.65,True
Albagiara,2025,8,6,9.17,0.65,True
Albagiara,2025,9,6,9.17,0.65,True
Albagiara,2025,10,6,9.17,0.65,True
Albagiara,2025,11,6,9.17,0.65,True
Albagiara,2025,12,6,9.17,0.65,True
Ales,2025,1,52,22.204,2.34,True
Ales,2025,2,52,22.204,2.34,True
Ales,2025,3,52,22.204,2.34,True
Ales,2025,4,52,22.204,2.34,True
Ales,2025,5,52,22.204,2.34,True
Ales,2025,6,52,22.204,2.34,True
Ales,2025,7,52,22.204,2.34,True
Ales,2025,8,52,22.204,2.34,True
Ales,2025,9,52,22.204,2.34,True
Ales,2025,10,52,22.204,2.34,True
Ales,2025,11,52,22.204,2.34,True
Ales,2025,12,52,22.204,2.34,True
Alghero,2025,1,29872,225.428,132.51,True
Alghero,2025,2,29872,225.428,132.51,True
Alghero,2025,3,29872,225.428,132.51,True
Alghero,2025,4,29872,225.428,132.51,True
Alghero,2025,5,29872,225.428,132.51,True
Alghero,2025,6,29872,225.428,132.51,True
Alghero,2025,7,29872,225.428,132.51,True
Alghero,2025,8,29872,225.428,132.51,True
Alghero,2025,9,29872,225.428,132.51,True
Alghero,2025,10,29872,225.428,132.51,True
Alghero,2025,11,29872,225.428,132.51,True
Alghero,2025,12,29872,225.428,132.51,True
Allai,2025,1,38,27.481,1.38,True
Allai,2025,2,38,27.481,1.38,True
Allai,2025,3,38,27.481,1.38,True
Allai,2025,4,38,27.481,1.38,True
Allai,2025,5,38,27.481,1.38,True
Allai,2025,6,38,27.481,1.38,True
Allai,2025,7,38,27.481,1.38,True
Allai,2025,8,38,27.481,1.38,True
Allai,2025,9,38,27.481,1.38,True
Allai,2025,10,38,27.481,1.38,True
Allai,2025,11,38,27.481,1.38,True
Allai,2025,12,38,27.481,1.38,True
Alà Dei Sardi,2025,1,21,197.51,0.11,True
Alà Dei Sardi,2025,2,21,197.51,0.11,True
Alà Dei Sardi,2025,3,21,197.51,0.11,True
Alà Dei Sardi,2025,4,21,197.51,0.11,True
Alà Dei Sardi,2025,5,21,197.51,0.11,True
Alà Dei Sardi,2025,6,21,197.51,0.11,True
Alà Dei Sardi,2025,7,21,197.51,0.11,True
Alà Dei Sardi,2025,8,21,197.51,0.11,True
Alà Dei Sardi,2025,9,21,197.51,0.11,True
Alà Dei Sardi,2025,10,21,197.51,0.11,True
Alà Dei Sardi,2025,11,21,197.51,0.11,True
Alà Dei Sardi,2025,12,21,197.51,0.11,True
Anela,2025,1,6,36.781,0.16,True
Anela,2025,2,6,36.781,0.16,True
Anela,2025,3,6,36.781,0.16,True
Anela,2025,4,6,36.781,0.16,True
Anela,2025,5,6,36.781,0.16,True
Anela,2025,6,6,36.781,0.16,True
Anela,2025,7,6,36.781,0.16,True
Anela,2025,8,6,36.781,0.16,True
Anela,2025,9,6,36.781,0.16,True
Anela,2025,10,6,36.781,0.16,True
Anela,2025,11,6,36.781,0.16,True
Anela,2025,12,6,36.781,0.16,True
Arborea,2025,1,1961,94.668,20.71,True
Arborea,2025,2,1961,94.668,20.71,True
Arborea,2025,3,1961,94.668,20.71,True
Arborea,2025,4,1961,94.668,20.71,True
Arborea,2025,5,1961,94.668,20.71,True
Arborea,2025,6,1961,94.668,20.71,True
Arborea,2025,7,1961,94.668,20.71,True
Arborea,2025,8,1961,94.668,20.71,True
Arborea,2025,9,1961,94.668,20.71,True
Arborea,2025,10,1961,94.668,20.71,True
Arborea,2025,11,1961,94.668,20.71,True
Arborea,2025,12,1961,94.668,20.71,True
Arbus,2025,1,2394,269.273,8.89,True
Arbus,2025,2,2394,269.273,8.89,True
Arbus,2025,3,2394,269.273,8.89,True
Arbus,2025,4,2394,269.273,8.89,True
Arbus,2025,5,2394,269.273,8.89,True
Arbus,2025,6,2394,269.273,8.89,True
Arbus,2025,7,2394,269.273,8.89,True
Arbus,2025,8,2394,269.273,8.89,True
Arbus,2025,9,2394,269.273,8.89,True
Arbus,2025,10,2394,269.273,8.89,True
Arbus,2025,11,2394,269.273,8.89,True
Arbus,2025,12,2394,269.273,8.89,True
Ardara,2025,1,14,38.173,0.37,True
Ardara,2025,2,14,38.173,0.37,True
Ardara,2025,3,14,38.173,0.37,True
Ardara,2025,4,14,38.173,0.37,True
Ardara,2025,5,14,38.173,0.37,True
Ardara,2025,6,14,38.173,0.37,True
Ardara,2025,7,14,38.173,0.37,True
Ardara,2025,8,14,38.173,0.37,True
Ardara,2025,9,14,38.173,0.37,True
Ardara,2025,10,14,38.173,0.37,True
Ardara,2025,11,14,38.173,0.37,True
Ardara,2025,12,14,38.173,0.37,True
Ardauli,2025,1,4,20.564,0.19,True
Ardauli,2025,2,4,20.564,0.19,True
Ardauli,2025,3,4,20.564,0.19,True
Ardauli,2025,4,4,20.564,0.19,True
Ardauli,2025,5,4,20.564,0.19,True
Ardauli,2025,6,4,20.564,0.19,True
Ardauli,2025,7,4,20.564,0.19,True
Ardauli,2025,8,4,20.564,0.19,True
Ardauli,2025,9,4,20.564,0.19,True
Ardauli,2025,10,4,20.564,0.19,True
Ardauli,2025,11,4,20.564,0.19,True
Ardauli,2025,12,4,20.564,0.19,True
Aritzo,2025,1,268,75.183,3.56,True
Aritzo,2025,2,268,75.183,3.56,True
Aritzo,2025,3,268,75.183,3.56,True
Aritzo,2025,4,268,75.183,3.56,True
Aritzo,2025,5,268,75.183,3.56,True
Aritzo,2025,6,268,75.183,3.56,True
Aritzo,2025,7,268,75.183,3.56,True
Aritzo,2025,8,268,75.183,3.56,True
Aritzo,2025,9,268,75.183,3.56,True
Aritzo,2025,10,268,75.183,3.56,True
Aritzo,2025,11,268,75.183,3.56,True
Aritzo,2025,12,268,75.183,3.56,True
Armungia,2025,1,33,55.243,0.6,True
Armungia,2025,2,33,55.243,0.6,True
Armungia,2025,3,33,55.243,0.6,True
Armungia,2025,4,33,55.243,0.6,True
Armungia,2025,5,33,55.243,0.6,True
Armungia,2025,6,33,55.243,0.6,True
Armungia,2025,7,33,55.243,0.6,True
Armungia,2025,8,33,55.243,0.6,True
Armungia,2025,9,33,55.243,0.6,True
Armungia,2025,10,33,55.243,0.6,True
Armungia,2025,11,33,55.243,0.6,True
Armungia,2025,12,33,55.243,0.6,True
Arzachena,2025,1,31195,231.32,134.86,True
Arzachena,2025,2,31195,231.32,134.86,True
Arzachena,2025,3,31195,231.32,134.86,True
Arzachena,2025,4,31195,231.32,134.86,True
Arzachena,2025,5,31195,231.32,134.86,True
Arzachena,2025,6,31195,231.32,134.86,True
Arzachena,2025,7,31195,231.32,134.86,True
Arzachena,2025,8,31195,231.32,134.86,True
Arzachena,2025,9,31195,231.32,134.86,True
Arzachena,2025,10,31195,231.32,134.86,True
Arzachena,2025,11,31195,231.32,134.86,True
Arzachena,2025,12,31195,231.32,134.86,True
Arzana,2025,1,115,162.755,0.71,True
Arzana,2025,2,115,162.755,0.71,True
Arzana,2025,3,115,162.755,0.71,True
Arzana,2025,4,115,162.755,0.71,True
Arzana,2025,5,115,162.755,0.71,True
Arzana,2025,6,115,162.755,0.71,True
Arzana,2025,7,115,162.755,0.71,True
Arzana,2025,8,115,162.755,0.71,True
Arzana,2025,9,115,162.755,0.71,True
Arzana,2025,10,115,162.755,0.71,True
Arzana,2025,11,115,162.755,0.71,True
Arzana,2025,12,115,162.755,0.71,True
Assemini,2025,1,855,118.322,7.23,True
Assemini,2025,2,855,118.322,7.23,True
Assemini,2025,3,855,118.322,7.23,True
Assemini,2025,4,855,118.322,7.23,True
Assemini,2025,5,855,118.322,7.23,True
Assemini,2025,6,855,118.322,7.23,True
Assemini,2025,7,855,118.322,7.23,True
Assemini,2025,8,855,118.322,7.23,True
Assemini,2025,9,855,118.322,7.23,True
Assemini,2025,10,855,118.322,7.23,True
Assemini,2025,11,855,118.322,7.23,True
Assemini,2025,12,855,118.322,7.23,True
Assolo,2025,1,17,16.337,1.04,True
Assolo,2025,2,17,16.337,1.04,True
Assolo,2025,3,17,16.337,1.04,True
Assolo,2025,4,17,16.337,1.04,True
Assolo,2025,5,17,16.337,1.04,True
Assolo,2025,6,17,16.337,1.04,True
Assolo,2025,7,17,16.337,1.04,True
Assolo,2025,8,17,16.337,1.04,True
Assolo,2025,9,17,16.337,1.04,True
Assolo,2025,10,17,16.337,1.04,True
Assolo,2025,11,17,16.337,1.04,True
