comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Abbasanta,2022,1,7385.01,139.0,14.56,0,True
Abbasanta,2022,2,7385.01,139.0,14.56,0,True
Abbasanta,2022,3,7385.01,139.0,14.56,0,True
Abbasanta,2022,4,7385.01,139.0,14.56,0,True
Abbasanta,2022,5,7385.01,139.0,14.56,0,True
Abbasanta,2022,6,7385.01,139.0,14.56,0,True
Abbasanta,2022,7,7385.01,139.0,14.56,0,True
Abbasanta,2022,8,7385.01,139.0,14.56,0,True
Abbasanta,2022,9,7385.01,139.0,14.56,0,True
Abbasanta,2022,10,7385.01,139.0,14.56,0,True
Abbasanta,2022,11,7385.01,139.0,14.56,0,True
Abbasanta,2022,12,7385.01,139.0,14.56,0,True
Aggius,2022,1,787.0100000000001,99.0,2.18,0,True
Aggius,2022,2,787.0100000000001,99.0,2.18,0,True
Aggius,2022,3,787.0100000000001,99.0,2.18,0,True
Aggius,2022,4,787.0100000000001,99.0,2.18,0,True
Aggius,2022,5,787.0100000000001,99.0,2.18,0,True
Aggius,2022,6,787.0100000000001,99.0,2.18,0,True
Aggius,2022,7,787.0100000000001,99.0,2.18,0,True
Aggius,2022,8,787.0100000000001,99.0,2.18,0,True
Aggius,2022,9,787.0100000000001,99.0,2.18,0,True
Aggius,2022,10,787.0100000000001,99.0,2.18,0,True
Aggius,2022,11,787.0100000000001,99.0,2.18,0,True
Aggius,2022,12,787.0100000000001,99.0,2.18,0,True
Aglientu,2022,1,331434.99,5469.0,16.6,0,True
Aglientu,2022,2,331434.99,5469.0,16.6,0,True
Aglientu,2022,3,331434.99,5469.0,16.6,0,True
Aglientu,2022,4,331434.99,5469.0,16.6,0,True
Aglientu,2022,5,331434.99,5469.0,16.6,0,True
Aglientu,2022,6,331434.99,5469.0,16.6,0,True
Aglientu,2022,7,331434.99,5469.0,16.6,0,True
Aglientu,2022,8,331434.99,5469.0,16.6,0,True
Aglientu,2022,9,331434.99,5469.0,16.6,0,True
Aglientu,2022,10,331434.99,5469.0,16.6,0,True
Aglientu,2022,11,331434.99,5469.0,16.6,0,True
