comune,provincia_sigla,correlazione_regionale,n_mesi_validi,profilo,metodo_disaggregazione,scali_riferimento
Aggius,SS,0.873,10.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Alà dei Sardi,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Alghero,SS,0.981,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Anela,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Ardara,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Arzachena,SS,0.979,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Banari,SS,0.789,10.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Benetutti,SS,0.821,12.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Berchidda,SS,0.965,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Bessude,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Bonnanaro,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Bono,SS,0.701,12.0,Non allineato (urbano/atipico),uniforme,"['Alghero', 'Porto Torres']"
Bonorva,SS,0.629,12.0,Non allineato (urbano/atipico),uniforme,"['Alghero', 'Porto Torres']"
Bortigiadas,SS,0.91,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Borutta,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Bottidda,SS,0.728,12.0,Non allineato (urbano/atipico),uniforme,"['Alghero', 'Porto Torres']"
Buddusò,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Bultei,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Bulzi,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Burgos,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Calangianus,SS,0.923,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Cargeghe,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Castelsardo,SS,0.982,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
Cheremule,SS,0.859,10.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Chiaramonti,SS,0.653,11.0,Non allineato (urbano/atipico),uniforme,"['Alghero', 'Porto Torres']"
Codrongianos,SS,0.813,9.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Cossoine,SS,0.808,9.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Esporlatu,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Florinas,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Giave,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Illorai,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Ittireddu,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
Ittiri,SS,0.818,12.0,Parzialmente allineato (misto),curva_regionale,"['Alghero', 'Porto Torres']"
Laerru,SS,,,Dati insufficienti,uniforme,"['Alghero', 'Porto Torres']"
La Maddalena,SS,0.973,12.0,Allineato al flusso turistico (costiero/balneare),curva_scalo,"['Alghero', 'Porto Torres']"
