schema,tabella,colonna,tipo_dato,descrizione,unita_misura,fonte_originale,frequenza_aggiornamento
presentation,indicatori_comune_anno,comune,VARCHAR,"Nome del comune, forma canonica (Title Case) da anagrafica ISTAT",testo,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,anno,INTEGER,Anno di riferimento,anno,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,popolazione_residente,BIGINT,Popolazione residente ISTAT,persone,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,superficie_kmq,DOUBLE,Superficie comunale,km²,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,arrivi_totali,DOUBLE,Numero di arrivi turistici (persone che iniziano un soggiorno in struttura censita),persone/anno,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,presenze_totali,HUGEINT,Numero di presenze (notti di pernottamento totali),notti/anno,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,numero_strutture_totali,HUGEINT,Numero totale di strutture ricettive attive,strutture,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,letti_totali,HUGEINT,Numero totale di posti letto disponibili,letti,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,camere_totali,HUGEINT,Numero totale di camere disponibili,camere,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,abitazioni_occupate,BIGINT,Abitazioni occupate da residenti abituali,abitazioni,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,abitazioni_non_occupate,BIGINT,"Abitazioni non occupate da residenti (vuote o abitate solo part-time, es. seconde case) - Censimento 2021 per anno 2022, Censimento 2023 per 2023-2025",abitazioni,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,abitazioni_totali,BIGINT,Totale abitazioni censite (occupate + non occupate),abitazioni,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,presenze_per_residente,DOUBLE,Presenze turistiche annue per ogni residente - indicatore di pressione turistica,notti/residente,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,presenze_per_kmq,DOUBLE,Presenze turistiche annue per km² - intensità territoriale,notti/km²,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,tasso_occupazione_media,DOUBLE,Presenze reali / posti letto teorici disponibili nell'anno (diluito su 365 giorni),rapporto 0-1,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,permanenza_media_giorni,DOUBLE,Notti medie di soggiorno per arrivo (presenze/arrivi),notti,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,crescita_presenze_yoy_pct,DOUBLE,Variazione % presenze rispetto all'anno precedente (NULL per il primo anno 2022),%,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,crescita_letti_yoy_pct,DOUBLE,Variazione % letti totali rispetto all'anno precedente (NULL per il primo anno 2022),%,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,letti_per_struttura,DOUBLE,Dimensione media delle strutture ricettive,letti/struttura,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,letti_per_residente,DOUBLE,Capacità ricettiva ufficiale per residente,letti/residente,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,quota_abitazioni_non_occupate_pct,DOUBLE,Percentuale di abitazioni non occupate da residenti sul totale - proxy seconde case/affitti brevi,%,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,posti_letto_informali_stimati,"DECIMAL(21,0)",Stima posti letto informali: abitazioni_non_occupate × 2.3 persone/abitazione (coefficiente ISTAT dichiarato),posti stimati,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,pressione_potenziale_totale,DOUBLE,(letti ufficiali + posti letto informali stimati) / popolazione residente,posti/residente,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,densita_abitanti_kmq,DOUBLE,Popolazione residente / superficie comunale,abitanti/km²,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,gini_stagionalita,DOUBLE,Indice di Gini di stagionalità (versione zero-filled) nella tabella finale,indice 0-1,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,gini_stagionalita_solo_mesi_attivi,DOUBLE,Indice di Gini di stagionalità (versione solo mesi attivi) nella tabella finale,indice 0-1,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,indicatori_comune_anno,n_mesi_con_dati_turismo,BIGINT,"Come n_mesi_con_dati, nella tabella finale",1-12,Tabella finale - join di tutte le staging + indicatori derivati,annuale (con Gini su base mensile)
presentation,presenze_giornaliere_stimate,comune,VARCHAR,"Nome del comune, forma canonica (Title Case) da anagrafica ISTAT",testo,***,***
presentation,presenze_giornaliere_stimate,data,TIMESTAMP,Data giornaliera del dato,YYYY-MM-DD,***,***
presentation,presenze_giornaliere_stimate,anno,INTEGER,Anno di riferimento,anno,***,***
presentation,presenze_giornaliere_stimate,mese,INTEGER,Mese di riferimento,1-12,***,***
presentation,presenze_giornaliere_stimate,presenze_giorno_stimate,DOUBLE,*** DA COMPLETARE ***,***,***,***
presentation,presenze_giornaliere_stimate,scalo_principale,VARCHAR,*** DA COMPLETARE ***,***,***,***
presentation,presenze_giornaliere_stimate,concentrazione_top2_pct,DOUBLE,*** DA COMPLETARE ***,***,***,***
presentation,presenze_giornaliere_stimate,fascia_affidabilita,"ENUM('Bassa (<40%)', 'Media (40-55%)', 'Buona (55-70%)', 'Alta (>70%)')",*** DA COMPLETARE ***,***,***,***
presentation,presenze_giornaliere_stimate,metodo_usato,VARCHAR,*** DA COMPLETARE ***,***,***,***
