data,arrivi_aeroporti,arrivi_porti,arrivi_totali_sardegna,partenze_totali_sardegna
2022-01-01,3373.0,852.0,4225.0,8693.0
2022-01-02,7474.0,4329.0,11803.0,14085.0
2022-01-03,6354.0,4885.0,11239.0,13073.0
2022-01-04,4875.0,4756.0,9631.0,10064.0
2022-01-05,4721.0,4078.0,8799.0,9975.0
2022-01-06,4105.0,2980.0,7085.0,9208.0
2022-01-07,4700.0,2717.0,7417.0,14988.0
2022-01-08,4114.0,3544.0,7658.0,15534.0
2022-01-09,5705.0,5738.0,11443.0,11363.0
2022-01-10,3530.0,2757.0,6287.0,6914.0
2022-01-11,2184.0,1641.0,3825.0,4027.0
2022-01-12,1891.0,1622.0,3513.0,3812.0
2022-01-13,2336.0,1677.0,4013.0,3784.0
2022-01-14,3251.0,1659.0,4910.0,5875.0
2022-01-15,2459.0,1617.0,4076.0,4527.0
2022-01-16,2960.0,2175.0,5135.0,4564.0
2022-01-17,3003.0,1890.0,4893.0,4832.0
2022-01-18,2548.0,1473.0,4021.0,3898.0
2022-01-19,2015.0,1749.0,3764.0,3697.0
2022-01-20,2421.0,1554.0,3975.0,3921.0
2022-01-21,3423.0,1714.0,5137.0,5259.0
2022-01-22,2634.0,1326.0,3960.0,4484.0
2022-01-23,3193.0,1526.0,4719.0,4887.0
2022-01-24,3180.0,1680.0,4860.0,4828.0
2022-01-25,2539.0,1661.0,4200.0,3755.0
2022-01-26,2226.0,1713.0,3939.0,3695.0
2022-01-27,2629.0,1675.0,4304.0,4173.0
2022-01-28,3804.0,1689.0,5493.0,6150.0
2022-01-29,2852.0,1859.0,4711.0,4665.0
2022-01-30,3403.0,1750.0,5153.0,5494.0
2022-01-31,3489.0,1692.0,5181.0,4724.0
2022-02-01,2810.0,935.0,3745.0,3621.0
2022-02-02,2603.0,915.0,3518.0,3313.0
2022-02-03,3054.0,924.0,3978.0,3802.0
2022-02-04,4870.0,940.0,5810.0,6005.0
2022-02-05,3273.0,990.0,4263.0,4319.0
2022-02-06,4780.0,840.0,5620.0,6160.0
2022-02-07,4626.0,1088.0,5714.0,5645.0
2022-02-08,3201.0,1118.0,4319.0,4226.0
