comune,anno,popolazione_residente,superficie_kmq,arrivi_totali,presenze_totali,numero_strutture_totali,letti_totali,camere_totali,abitazioni_occupate,abitazioni_non_occupate,abitazioni_totali,presenze_per_residente,presenze_per_kmq,tasso_occupazione_media,permanenza_media_giorni,crescita_presenze_yoy_pct,crescita_letti_yoy_pct,letti_per_struttura,letti_per_residente,quota_abitazioni_non_occupate_pct,posti_letto_informali_stimati,pressione_potenziale_totale,densita_abitanti_kmq,gini_stagionalita,gini_stagionalita_solo_mesi_attivi,n_mesi_con_dati_turismo
Abbasanta,2022,2594,39.816,1825.0,7385.0,6.0,139.0,52.0,1128,482,1610,2.85,185.5,0.146,4.05,,,23.2,0.054,29.9,1109.0,0.481,65.1,0.5784,0.2772,7
Abbasanta,2023,2585,39.816,574.0,1371.0,7.0,59.0,25.0,1149,486,1635,0.53,34.4,0.064,2.39,-81.4,-57.6,8.4,0.023,29.7,1118.0,0.455,64.9,0.3648,0.3648,12
Abbasanta,2024,2567,39.816,1430.0,3028.0,9.0,64.0,28.0,1149,486,1635,1.18,76.0,0.13,2.12,120.9,8.5,7.1,0.025,29.7,1118.0,0.46,64.5,0.3722,0.3152,11
Abbasanta,2025,2574,39.816,2196.0,4756.0,11.0,78.0,33.0,1149,486,1635,1.85,119.4,0.167,2.17,57.1,21.9,7.1,0.03,29.7,1118.0,0.465,64.6,0.1705,0.1705,12
Aggius,2022,1405,86.445,306.0,787.0,14.0,99.0,50.0,622,404,1026,0.56,9.1,0.022,2.57,,,7.1,0.07,39.4,929.0,0.732,16.3,0.863,,2
Aggius,2023,1411,86.445,237.0,833.0,21.0,133.0,65.0,629,409,1038,0.59,9.6,0.017,3.51,5.8,34.3,6.3,0.094,39.4,941.0,0.761,16.3,0.7942,0.5885,6
Aggius,2024,1411,86.445,316.0,852.0,32.0,194.0,90.0,629,409,1038,0.6,9.9,0.012,2.7,2.3,45.9,6.1,0.137,39.4,941.0,0.804,16.3,0.7267,0.5316,7
Aggius,2025,1403,86.445,912.0,2225.0,41.0,236.0,113.0,629,409,1038,1.59,25.7,0.026,2.44,161.2,21.6,5.8,0.168,39.4,941.0,0.839,16.2,0.6119,0.4825,9
Aglientu,2022,1168,148.358,44608.0,331435.0,138.0,5469.0,1769.0,674,2590,3264,283.76,2234.0,0.166,7.43,,,39.6,4.682,79.4,5957.0,9.783,7.9,0.6955,0.4781,7
Aglientu,2023,1168,148.358,32457.0,240545.0,168.0,5642.0,1722.0,701,2592,3293,205.95,1621.4,0.117,7.41,-27.4,3.2,33.6,4.83,78.7,5962.0,9.935,7.9,0.6949,0.5424,8
Aglientu,2024,1177,148.358,48728.0,326465.0,307.0,6643.0,2240.0,701,2592,3293,277.37,2200.5,0.135,6.7,35.7,17.7,21.6,5.644,78.7,5962.0,10.709,7.9,0.7007,0.6735,11
Aglientu,2025,1195,148.358,57860.0,367072.0,456.0,7513.0,2548.0,701,2592,3293,307.17,2474.2,0.134,6.34,12.4,13.1,16.5,6.287,78.7,5962.0,11.276,8.1,0.6826,0.6191,10
Aidomaggiore,2024,382,41.236,138.0,230.0,1.0,8.0,3.0,177,181,358,0.6,5.6,0.079,1.67,,0.0,8.0,0.021,50.6,416.0,1.111,9.3,0.7328,0.3587,5
Aidomaggiore,2025,379,41.236,190.0,365.0,1.0,8.0,3.0,177,181,358,0.96,8.9,0.125,1.92,58.7,0.0,8.0,0.021,50.6,416.0,1.12,9.2,0.6417,0.3858,7
Albagiara,2025,227,9.17,76.0,105.0,1.0,6.0,2.0,113,97,210,0.46,11.5,0.048,1.38,,50.0,6.0,0.026,46.2,223.0,1.009,24.8,0.7553,0.266,4
Ales,2022,1293,22.204,468.0,899.0,10.0,44.0,22.0,584,357,941,0.7,40.5,0.056,1.92,,,4.4,0.034,37.9,821.0,0.669,58.2,0.4473,0.397,11
Ales,2023,1267,22.204,411.0,758.0,10.0,47.0,22.0,572,371,943,0.6,34.1,0.044,1.84,-15.7,6.8,4.7,0.037,39.3,853.0,0.711,57.1,0.4699,0.4217,11
Ales,2024,1257,22.204,442.0,817.0,10.0,47.0,22.0,572,371,943,0.65,36.8,0.048,1.85,7.8,0.0,4.7,0.037,39.3,853.0,0.716,56.6,0.4526,0.4029,11
Ales,2025,1249,22.204,671.0,1241.0,11.0,52.0,25.0,572,371,943,0.99,55.9,0.065,1.85,51.9,10.6,4.7,0.042,39.3,853.0,0.725,56.3,0.3256,0.3256,12
Alghero,2022,42458,225.428,357364.0,1291721.0,1756.0,20707.0,8145.0,21315,9548,30863,30.42,5730.1,0.171,3.61,,,11.8,0.488,30.9,21960.0,1.005,188.3,0.5535,0.5535,12
