comune,scalo,distanza_km,correlazione,n_mesi_validi,peso_base_distanza,ammissibile,punteggio,metodo_usato,probabilita
Abbasanta,Aeroporto_Cagliari,101.8,0.728,12,0.18329348516999386,True,0.18329348516999386,correlazione_filtro_morbido + distanza,0.11132609776576732
Abbasanta,Aeroporto_Olbia,104.2,0.714,12,0.176106444816753,True,0.176106444816753,correlazione_filtro_morbido + distanza,0.10696093903538824
Abbasanta,Aeroporto_Alghero,68.1,0.731,12,0.32142212133439135,True,0.32142212133439135,correlazione_filtro_morbido + distanza,0.19522063465903586
Abbasanta,Porto_Cagliari,105.4,0.672,12,0.17261930357015062,True,0.17261930357015062,correlazione_filtro_morbido + distanza,0.1048429705381323
Abbasanta,Porto_Olbia,105.8,0.641,12,0.17147233568731848,True,0.17147233568731848,correlazione_filtro_morbido + distanza,0.10414634207618809
Abbasanta,Porto_Porto Torres,96.6,0.668,12,0.19988761407514452,True,0.19988761407514452,correlazione_filtro_morbido + distanza,0.12140479540807157
Abbasanta,Porto_Golfo Aranci,116.1,0.642,12,0.144424268823542,True,0.144424268823542,correlazione_filtro_morbido + distanza,0.08771828554565117
Abbasanta,Porto_Arbatax,82.3,0.576,12,0.25368380068388985,True,0.25368380068388985,correlazione_filtro_morbido + distanza,0.1540787310052712
Abbasanta,Porto_Porto Vesme,111.1,-0.386,12,0.15697532263345035,False,0.02354629839501755,correlazione_filtro_morbido + distanza,0.014301203966494156
Aggius,Aeroporto_Cagliari,190.8,0.607,10,0.04158565512117316,True,0.04158565512117316,correlazione_filtro_morbido + distanza,0.017589438011577613
Aggius,Aeroporto_Olbia,42.1,0.787,10,0.4957583509372266,True,0.4957583509372266,correlazione_filtro_morbido + distanza,0.20969035493425423
Aggius,Aeroporto_Alghero,72.6,0.63,10,0.2981972794298874,True,0.2981972794298874,correlazione_filtro_morbido + distanza,0.12612816959284984
Aggius,Porto_Cagliari,193.9,0.926,10,0.03949162453421187,True,0.03949162453421187,correlazione_filtro_morbido + distanza,0.01670372823746491
Aggius,Porto_Olbia,38.3,0.867,10,0.528171977507407,True,0.528171977507407,correlazione_filtro_morbido + distanza,0.22340031029326768
Aggius,Porto_Porto Torres,59.4,0.894,10,0.3715766910220457,True,0.3715766910220457,correlazione_filtro_morbido + distanza,0.15716537720122903
Aggius,Porto_Golfo Aranci,45.9,0.89,10,0.4653339309743134,True,0.4653339309743134,correlazione_filtro_morbido + distanza,0.19682177206796203
Aggius,Porto_Arbatax,127.6,0.952,10,0.11923407910661435,True,0.11923407910661435,correlazione_filtro_morbido + distanza,0.0504323050148493
Aggius,Porto_Porto Vesme,205.4,,10,0.032603575023212296,False,0.004890536253481844,correlazione_filtro_morbido + distanza,0.0020685446465455413
Aglientu,Aeroporto_Cagliari,205.1,0.717,11,0.03276700112310719,True,0.03276700112310719,correlazione_filtro_morbido + distanza,0.014395817679895588
Aglientu,Aeroporto_Olbia,41.5,0.894,11,0.5007408051975173,True,0.5007408051975173,correlazione_filtro_morbido + distanza,0.219994906138179
Aglientu,Aeroporto_Alghero,86.1,0.742,11,0.23811536401468708,True,0.23811536401468708,correlazione_filtro_morbido + distanza,0.10461333810374505
Aglientu,Porto_Cagliari,208.0,0.928,11,0.031220927161230903,True,0.031220927161230903,correlazione_filtro_morbido + distanza,0.013716567272109284
Aglientu,Porto_Olbia,36.7,0.934,11,0.5424460385276162,True,0.5424460385276162,correlazione_filtro_morbido + distanza,0.2383176367738557
Aglientu,Porto_Porto Torres,68.2,0.947,11,0.3208868639705394,True,0.3208868639705394,correlazione_filtro_morbido + distanza,0.1409780764567965
Aglientu,Porto_Golfo Aranci,40.9,0.935,11,0.5057733339556132,True,0.5057733339556132,correlazione_filtro_morbido + distanza,0.22220589170253358
Aglientu,Porto_Arbatax,137.9,0.908,11,0.10042608112146159,True,0.10042608112146159,correlazione_filtro_morbido + distanza,0.044121082326067707
Aglientu,Porto_Porto Vesme,221.0,-0.236,11,0.02513903822451339,False,0.003770855733677008,correlazione_filtro_morbido + distanza,0.0016566835468175274
Aidomaggiore,Aeroporto_Cagliari,104.6,0.658,8,0.17493630664572002,True,0.17493630664572002,correlazione_filtro_morbido + distanza,0.10219727017642531
Aidomaggiore,Aeroporto_Olbia,96.9,0.684,8,0.19889067044081962,True,0.19889067044081962,correlazione_filtro_morbido + distanza,0.11619133827819444
Aidomaggiore,Aeroporto_Alghero,69.0,0.651,8,0.3166367693790533,True,0.3166367693790533,correlazione_filtro_morbido + distanza,0.18497825916466656
Aidomaggiore,Porto_Cagliari,108.1,0.831,8,0.16502361952884748,True,0.16502361952884748,correlazione_filtro_morbido + distanza,0.096406307837721
Aidomaggiore,Porto_Olbia,98.6,0.741,8,0.1933345186204134,True,0.1933345186204134,correlazione_filtro_morbido + distanza,0.11294545090570496
