comune,scalo_principale,concentrazione_top2_pct,metodo_usato,fascia_affidabilita
Abbasanta,Aeroporto_Alghero,34.9,correlazione_filtro_morbido + distanza,Bassa (<40%)
Aggius,Porto_Olbia,43.3,correlazione_filtro_morbido + distanza,Media (40-55%)
Aglientu,Porto_Olbia,46.1,correlazione_filtro_morbido + distanza,Media (40-55%)
Aidomaggiore,Aeroporto_Alghero,34.6,correlazione_filtro_morbido + distanza,Bassa (<40%)
Albagiara,Aeroporto_Cagliari,37.2,distanza_pura (fallback),Bassa (<40%)
Ales,Aeroporto_Cagliari,44.2,correlazione_filtro_morbido + distanza,Media (40-55%)
Alghero,Aeroporto_Alghero,67.2,correlazione_filtro_morbido + distanza,Buona (55-70%)
Allai,Porto_Arbatax,31.9,distanza_pura (fallback),Bassa (<40%)
Alà dei Sardi,Aeroporto_Olbia,47.5,distanza_pura (fallback),Media (40-55%)
Anela,Aeroporto_Olbia,32.5,distanza_pura (fallback),Bassa (<40%)
Arborea,Aeroporto_Cagliari,42.9,correlazione_filtro_morbido + distanza,Media (40-55%)
Arbus,Aeroporto_Cagliari,53.9,correlazione_filtro_morbido + distanza,Media (40-55%)
Ardara,Aeroporto_Alghero,39.4,distanza_pura (fallback),Bassa (<40%)
Ardauli,Porto_Arbatax,31.8,distanza_pura (fallback),Bassa (<40%)
Aritzo,Porto_Arbatax,43.2,correlazione_filtro_morbido + distanza,Media (40-55%)
Armungia,Aeroporto_Cagliari,49.4,distanza_pura (fallback),Media (40-55%)
Arzachena,Porto_Golfo Aranci,54.5,correlazione_filtro_morbido + distanza,Media (40-55%)
Arzana,Porto_Arbatax,51.5,correlazione_filtro_morbido + distanza,Media (40-55%)
Assemini,Aeroporto_Cagliari,78.8,correlazione_filtro_morbido + distanza,Alta (>70%)
Assolo,Aeroporto_Cagliari,36.8,distanza_pura (fallback),Bassa (<40%)
Asuni,Porto_Arbatax,35.7,distanza_pura (fallback),Bassa (<40%)
Atzara,Porto_Arbatax,35.6,correlazione_filtro_morbido + distanza,Bassa (<40%)
Austis,Porto_Arbatax,35.1,correlazione_filtro_morbido + distanza,Bassa (<40%)
