comune,crescita_presenze_pct,crescita_letti_pct,divario_letti_presenze,tipologia_crescita
Aglientu,21.3,27.4,6.1,crescita reale
Alghero,27.7,29.3,1.6,crescita reale
Arborea,-11.2,2.7,13.9,stagnazione
Arbus,50.9,49.8,-1.1,crescita reale
Arzachena,9.5,32.8,23.3,emersione
Assemini,30.5,26.2,-4.3,crescita reale
Badesi,22.3,22.5,0.2,crescita reale
Bari Sardo,24.0,18.8,-5.2,crescita reale
Baunei,69.7,50.2,-19.5,crescita reale
Bosa,13.4,37.4,24.0,emersione
Budoni,27.6,36.5,8.9,crescita reale
Buggerru,63.7,52.8,-10.9,crescita reale
Cabras,15.3,22.8,7.5,crescita reale
Cagliari,27.7,48.1,20.4,emersione
Calasetta,38.5,30.0,-8.5,crescita reale
Capoterra,30.0,72.5,42.5,emersione
Carbonia,40.5,58.0,17.5,emersione
Cardedu,21.5,24.4,2.9,crescita reale
Carloforte,23.2,66.2,43.0,emersione
Castelsardo,68.7,64.5,-4.2,crescita reale
Castiadas,22.9,26.2,3.3,crescita reale
Cuglieri,7.8,19.4,11.6,crescita reale
Domus de Maria,18.9,27.8,8.9,crescita reale
Dorgali,16.7,20.5,3.8,crescita reale
Fordongianus,-1.9,7.4,9.3,crescita reale
Gairo,67.1,5.7,-61.4,crescita reale
Golfo Aranci,9.0,38.4,29.4,emersione
Gonnesa,57.8,71.3,13.5,crescita reale
Iglesias,54.1,73.3,19.2,emersione
La Maddalena,28.6,39.9,11.3,crescita reale
Loiri Porto San Paolo,20.4,46.1,25.7,emersione
Lotzorai,29.4,17.9,-11.5,crescita reale
Maracalagonis,16.0,48.0,32.0,emersione
Muravera,19.2,20.7,1.5,crescita reale
Narbolia,-8.8,5.1,13.9,crescita reale
Nuoro,6.6,9.4,2.8,crescita reale
Olbia,32.4,57.5,25.1,emersione
Oliena,-7.3,-5.7,1.6,stagnazione
Oristano,18.3,15.8,-2.5,crescita reale
Orosei,17.4,18.4,1.0,crescita reale
Palau,24.5,31.1,6.6,crescita reale
Porto Torres,8.8,70.0,61.2,emersione
Portoscuso,29.1,57.6,28.5,emersione
Posada,42.8,61.1,18.3,emersione
Pula,32.3,28.9,-3.4,crescita reale
Quartu Sant'Elena,44.5,77.0,32.5,emersione
San Teodoro,38.3,40.7,2.4,crescita reale
San Vero Milis,23.8,27.4,3.6,crescita reale
Sant'Anna Arresi,21.1,51.3,30.2,emersione
Sant'Antioco,49.0,20.5,-28.5,crescita reale
Santa Maria Coghinas,90.5,30.6,-59.9,crescita reale
Santa Teresa Gallura,4.7,26.9,22.2,emersione
Sardara,-9.7,6.6,16.3,emersione
Sarroch,42.3,82.0,39.7,emersione
Sassari,31.8,44.1,12.3,crescita reale
Selargius,22.7,31.9,9.2,crescita reale
Siniscola,4.9,53.0,48.1,emersione
Sinnai,56.8,75.9,19.1,emersione
Sorso,-4.1,-0.4,3.7,stagnazione
Stintino,10.0,31.8,21.8,emersione
Tempio Pausania,22.5,53.3,30.8,emersione
Tertenia,81.8,110.6,28.8,emersione
Teulada,46.9,90.6,43.7,emersione
Tortolì,18.2,17.8,-0.4,crescita reale
Tresnuraghes,59.1,48.0,-11.1,crescita reale
Trinità d'Agultu e Vignola,131.6,71.4,-60.2,crescita reale
Uta,3893.1,147.9,-3745.2,crescita reale
Valledoria,22.2,33.5,11.3,crescita reale
Villaputzu,4.1,-11.4,-15.5,stagnazione
Villasimius,16.7,31.8,15.1,emersione
