Comune,Superficie_kmq
Abbasanta,39.8155
Aggius,86.4447
Aglientu,148.3581
Aidomaggiore,41.2362
Albagiara,9.1697
Ales,22.2043
Alghero,225.4283
Allai,27.4814
Alà dei Sardi,197.5098
Anela,36.7806
Arborea,94.6679
Arbus,269.273
Ardara,38.1727
Ardauli,20.5644
Aritzo,75.1827
Armungia,55.2427
Arzachena,231.3198
Arzana,162.7551
Assemini,118.3218
Assolo,16.3373
Asuni,21.3275
Atzara,35.952
Austis,50.7483
Badesi,31.4632
Ballao,46.1081
Banari,21.3619
Baradili,5.6376
Baratili San Pietro,6.0017
Baressa,12.5369
Bari Sardo,37.6252
Barrali,11.2177
Barumini,26.1727
Bauladu,23.8997
Baunei,212.1102
Belvì,18.2857
Benetutti,94.0662
Berchidda,202.2616
Bessude,26.5444
Bidonì,11.7746
Birori,17.2688
Bitti,215.6329
Bolotana,108.4147
Bonarcado,28.1862
Bonnanaro,21.9897
Bono,74.5704
Bonorva,149.2255
Boroneddu,4.7191
Borore,42.64
Bortigali,67.3199
Bortigiadas,75.6675
Borutta,4.7251
Bosa,128.3954
Bottidda,33.9806
Buddusò,176.6947
Budoni,56.2221
Buggerru,48.3228
Bultei,96.8985
Bulzi,21.5336
Burcei,94.8448
Burgos,18.0448
Busachi,58.9103
Cabras,101.9826
Cagliari,84.9156
Calangianus,126.989
Calasetta,31.2126
Capoterra,68.3273
Carbonia,146.0063
Cardedu,33.4594
Cargeghe,11.835
Carloforte,51.0414
Castelsardo,43.7875
Castiadas,104.0299
Cheremule,24.6767
Chiaramonti,98.6865
Codrongianos,30.6171
Collinas,20.6678
Cossoine,39.0075
Cuglieri,120.2139
Curcuris,7.2083
Decimomannu,27.995
Decimoputzu,44.6633
Desulo,74.4912
Dolianova,84.4039
Domus de Maria,97.7315
Domusnovas,79.9292
Donori,35.4006
Dorgali,226.4556
Dualchi,23.224
Elini,11.0154
Elmas,14.0078
Erula,39.3701
Escalaplano,93.7593
Escolca,14.7782
Esporlatu,18.4967
Esterzili,101.0559
Florinas,36.3706
Fluminimaggiore,108.3357
Flussio,6.7159
Fonni,111.9435
Fordongianus,39.1001
Furtei,25.8082
Gadoni,43.6913
Gairo,77.9533
Galtellì,56.2449
Gavoi,38.1416
Genoni,43.4704
Genuri,7.7136
Gergei,36.2188
Gesico,25.6939
Gesturi,46.9293
Ghilarza,54.7792
Giave,46.9926
Giba,30.2551
Girasole,13.0996
Golfo Aranci,37.2703
Goni,18.7099
Gonnesa,48.3214
Gonnoscodina,8.8355
Gonnosfanadiga,125.011
Gonnosnò,15.4039
Gonnostramatza,17.7951
Guamaggiore,16.7798
Guasila,43.3248
Guspini,175.2981
Iglesias,208.2296
Ilbono,30.694
Illorai,57.2968
Irgoli,75.1924
Isili,67.7164
Ittireddu,23.7404
Ittiri,111.9759
Jerzu,102.246
La Maddalena,52.9633
Laconi,124.6461
Laerru,20.1676
Lanusei,53.0246
Las Plassas,11.0777
Lei,18.9689
Loceri,19.4307
Loculi,38.2054
Lodine,7.8026
Lodè,122.984
Loiri Porto San Paolo,118.5158
Lotzorai,16.8982
Lula,148.3524
Lunamatrona,20.7755
Luogosanto,134.8124
Luras,88.1996
Macomer,122.6579
Magomadas,9.0335
Mamoiada,49.1188
Mandas,44.8602
Mara,18.6458
Maracalagonis,101.9098
Marrubiu,61.3844
Martis,22.8742
Masainas,23.8855
Masullas,18.7094
Meana Sardo,73.5623
Milis,18.7948
Modolo,2.6162
Mogorella,17.2504
Mogoro,48.7775
Monastir,31.9152
Monserrato,6.514
Monteleone Rocca Doria,13.5419
Monti,123.7173
Montresta,31.4672
Mores,94.6979
Morgongiori,45.1188
Muravera,93.8159
Muros,11.4566
Musei,20.5212
Narbolia,40.4584
Narcao,85.3268
Neoneli,47.7691
Noragugume,26.6769
Norbello,26.2796
Nughedu San Nicolò,67.5119
Nughedu Santa Vittoria,28.5185
Nule,51.678
Nulvi,67.4655
Nuoro,192.3949
Nurachi,16.0416
Nuragus,19.4757
Nurallao,34.8821
Nuraminis,45.1068
Nureci,13.1272
Nurri,73.9286
Nuxis,61.6419
Olbia,385.4385
Oliena,166.0006
Ollastra,21.6227
Ollolai,27.0576
Olmedo,33.7185
Olzai,69.6841
Onanì,72.2646
Onifai,43.3919
Oniferi,35.7414
Orani,129.9487
Orgosolo,222.5267
Oristano,84.5703
Orosei,90.9812
Orotelli,61.4669
Orroli,75.9187
Ortacesus,23.8074
Ortueri,38.7906
Orune,128.2488
Oschiri,215.4962
Osidda,26.0002
Osilo,97.7405
Osini,39.5498
Ossi,30.137
Ottana,45.3419
Ovodda,40.8453
Ozieri,252.765
Pabillonis,37.6078
Padria,48.4825
Padru,158.0559
Palau,44.7216
Palmas Arborea,39.4513
Pattada,164.5307
Pau,13.8817
Pauli Arbarei,15.2907
Paulilatino,104.3258
Perdasdefogu,78.0903
Perdaxius,29.6919
Perfugas,60.9238
Pimentel,15.147
Piscinas,16.8152
Ploaghe,95.762
Pompu,5.3831
Porto Torres,104.5143
