comune,anno,abitazioni_totali,abitazioni_occupate,abitazioni_non_occupate,somma_controllo,differenza
Abbasanta,2019,1609,1076,533,1609,0
Abbasanta,2021,1610,1128,482,1610,0
Abbasanta,2023,1635,1149,486,1635,0
Aggius,2019,1024,612,412,1024,0
Aggius,2021,1026,622,404,1026,0
Aggius,2023,1038,629,409,1038,0
Aglientu,2019,3255,655,2600,3255,0
Aglientu,2021,3264,674,2590,3264,0
Aglientu,2023,3293,701,2592,3293,0
Aidomaggiore,2019,354,192,162,354,0
Aidomaggiore,2021,357,191,166,357,0
Aidomaggiore,2023,358,177,181,358,0
Albagiara,2019,208,111,97,208,0
Albagiara,2021,209,112,97,209,0
Albagiara,2023,210,113,97,210,0
Ales,2019,943,580,363,943,0
Ales,2021,941,584,357,941,0
Ales,2023,943,572,371,943,0
Alghero,2019,30709,20890,9819,30709,0
Alghero,2021,30863,21315,9548,30863,0
Alghero,2023,31419,21578,9841,31419,0
Allai,2019,306,159,147,306,0
Allai,2021,308,161,147,308,0
Allai,2023,306,162,144,306,0
Alà Dei Sardi,2019,1285,790,495,1285,0
Alà Dei Sardi,2021,1284,815,469,1284,0
Alà Dei Sardi,2023,1309,810,499,1309,0
Anela,2019,553,271,282,553,0
Anela,2021,552,284,268,552,0
Anela,2023,543,279,264,543,0
Arborea,2019,1680,1473,207,1680,0
Arborea,2021,1685,1503,182,1685,0
Arborea,2023,1704,1520,184,1704,0
Arbus,2019,5913,2768,3145,5913,0
Arbus,2021,5918,2753,3165,5918,0
Arbus,2023,5951,2740,3211,5951,0
Ardara,2019,441,307,134,441,0
Ardara,2021,444,317,127,444,0
Ardara,2023,441,310,131,441,0
Ardauli,2019,968,416,552,968,0
Ardauli,2021,970,389,581,970,0
Ardauli,2023,976,381,595,976,0
Aritzo,2019,1104,519,585,1104,0
Aritzo,2021,1111,530,581,1111,0
Aritzo,2023,1118,517,601,1118,0
Armungia,2019,473,227,246,473,0
Armungia,2021,473,228,245,473,0
Armungia,2023,474,219,255,474,0
Arzachena,2019,15832,6355,9477,15832,0
Arzachena,2021,15875,6315,9560,15875,0
Arzachena,2023,16050,6488,9562,16050,0
Arzana,2019,1408,983,425,1408,0
Arzana,2021,1413,971,442,1413,0
Arzana,2023,1441,992,449,1441,0
Assemini,2019,12120,10973,1147,12120,0
Assemini,2021,12173,11312,861,12173,0
Assemini,2023,12315,11414,901,12315,0
Assolo,2019,300,170,130,300,0
Assolo,2021,301,165,136,301,0
Assolo,2023,302,158,144,302,0
Asuni,2019,278,138,140,278,0
Asuni,2021,279,144,135,279,0
Asuni,2023,282,144,138,282,0
Atzara,2019,878,504,374,878,0
Atzara,2021,878,489,389,878,0
Atzara,2023,845,477,368,845,0
Austis,2019,609,381,228,609,0
Austis,2021,610,373,237,610,0
Austis,2023,613,379,234,613,0
Badesi,2019,3269,867,2402,3269,0
Badesi,2021,3277,901,2376,3277,0
Badesi,2023,3377,908,2469,3377,0
Ballao,2019,628,344,284,628,0
Ballao,2021,630,334,296,630,0
Ballao,2023,634,333,301,634,0
Banari,2019,563,266,297,563,0
Banari,2021,566,273,293,566,0
Banari,2023,568,269,299,568,0
Baradili,2019,86,37,49,86,0
Baradili,2021,87,41,46,87,0
Baradili,2023,91,45,46,91,0
Baratili San Pietro,2019,742,527,215,742,0
Baratili San Pietro,2021,750,534,216,750,0
