data,porto/aeroporto,nome,arrivi,partenze
11/07/2026,Aeroporto,Olbia,14279,12967
11/07/2026,Aeroporto,Cagliari,12825,11796
11/07/2026,Aeroporto,Alghero,4614,4004
10/07/2026,Aeroporto,Olbia,16723,12357
10/07/2026,Aeroporto,Cagliari,12375,10942
10/07/2026,Aeroporto,Alghero,5187,4519
09/07/2026,Porto,Porto Torres,1565,1200
09/07/2026,Porto,Olbia,8985,7117
09/07/2026,Porto,Golfo Aranci,1082,1042
09/07/2026,Porto,Cagliari,664,764
09/07/2026,Porto,Arbatax,0,116
09/07/2026,Aeroporto,Olbia,12937,10438
09/07/2026,Aeroporto,Cagliari,10485,9629
09/07/2026,Aeroporto,Alghero,4423,4207
08/07/2026,Porto,Porto Torres,2569,1265
08/07/2026,Porto,Olbia,8681,6017
08/07/2026,Porto,Golfo Aranci,1171,963
08/07/2026,Porto,Cagliari,437,255
08/07/2026,Porto,Arbatax,306,0
08/07/2026,Aeroporto,Olbia,13017,11063
08/07/2026,Aeroporto,Cagliari,10575,9422
08/07/2026,Aeroporto,Alghero,4742,3958
07/07/2026,Porto,Porto Torres,3875,2103
07/07/2026,Porto,Olbia,9344,6128
07/07/2026,Porto,Golfo Aranci,1183,791
07/07/2026,Porto,Cagliari,1072,524
07/07/2026,Porto,Arbatax,0,159
07/07/2026,Aeroporto,Olbia,13268,12219
07/07/2026,Aeroporto,Cagliari,11977,10373
07/07/2026,Aeroporto,Alghero,4154,3918
06/07/2026,Porto,Porto Vesme,0,0
06/07/2026,Porto,Porto Torres,3425,1595
06/07/2026,Porto,Olbia,11386,6684
06/07/2026,Porto,Golfo Aranci,2604,1177
06/07/2026,Porto,Cagliari,1,726
06/07/2026,Aeroporto,Olbia,12732,12705
06/07/2026,Aeroporto,Cagliari,11646,11271
06/07/2026,Aeroporto,Alghero,5018,4432
05/07/2026,Porto,Porto Torres,3728,2339
05/07/2026,Porto,Olbia,11734,9277
05/07/2026,Porto,Golfo Aranci,2429,1919
05/07/2026,Porto,Cagliari,1100,0
05/07/2026,Porto,Arbatax,362,0
05/07/2026,Aeroporto,Olbia,13475,13672
05/07/2026,Aeroporto,Cagliari,12610,11694
05/07/2026,Aeroporto,Alghero,4511,4239
04/07/2026,Porto,Porto Vesme,0,0
04/07/2026,Porto,Porto Torres,5135,3431
04/07/2026,Porto,Olbia,12658,11874
04/07/2026,Porto,Golfo Aranci,2718,1730
04/07/2026,Porto,Cagliari,848,934
04/07/2026,Porto,Arbatax,0,0
04/07/2026,Aeroporto,Olbia,16192,14829
04/07/2026,Aeroporto,Cagliari,12780,12187
04/07/2026,Aeroporto,Alghero,4728,4301
03/07/2026,Porto,Porto Torres,5124,2589
03/07/2026,Porto,Olbia,10840,8106
03/07/2026,Porto,Golfo Aranci,2645,1278
03/07/2026,Porto,Cagliari,577,487
03/07/2026,Aeroporto,Olbia,16025,12686
03/07/2026,Aeroporto,Cagliari,11852,11099
03/07/2026,Aeroporto,Alghero,5189,4450
02/07/2026,Porto,Porto Torres,1965,1209
02/07/2026,Porto,Olbia,10084,6855
02/07/2026,Porto,Golfo Aranci,1148,786
02/07/2026,Porto,Cagliari,705,655
02/07/2026,Porto,Arbatax,0,95
02/07/2026,Aeroporto,Olbia,12800,10047
02/07/2026,Aeroporto,Cagliari,10294,9411
02/07/2026,Aeroporto,Alghero,4242,3840
01/07/2026,Porto,Porto Vesme,0,0
01/07/2026,Porto,Olbia,10377,6026
01/07/2026,Porto,Golfo Aranci,1122,916
01/07/2026,Porto,Cagliari,458,290
01/07/2026,Porto,Arbatax,319,0
01/07/2026,Aeroporto,Olbia,12416,10620
01/07/2026,Aeroporto,Cagliari,10412,9476
01/07/2026,Aeroporto,Alghero,4410,3718
30/06/2026,Porto,Porto Torres,3560,2402
30/06/2026,Porto,Olbia,10432,8433
30/06/2026,Porto,Golfo Aranci,1114,827
30/06/2026,Porto,Cagliari,1021,611
30/06/2026,Porto,Arbatax,0,131
30/06/2026,Aeroporto,Olbia,55,262
30/06/2026,Aeroporto,Cagliari,11059,11275
30/06/2026,Aeroporto,Alghero,4484,4584
29/06/2026,Porto,Porto Torres,2831,1916
29/06/2026,Porto,Olbia,9890,9457
29/06/2026,Porto,Golfo Aranci,2017,1591
29/06/2026,Porto,Cagliari,3,774
29/06/2026,Aeroporto,Olbia,11094,12143
29/06/2026,Aeroporto,Cagliari,10979,11767
29/06/2026,Aeroporto,Alghero,3832,4126
28/06/2026,Porto,Porto Vesme,0,0
28/06/2026,Porto,Porto Torres,3114,3161
28/06/2026,Porto,Olbia,10526,11287
28/06/2026,Porto,Golfo Aranci,2278,1885
28/06/2026,Porto,Cagliari,1127,1
28/06/2026,Porto,Arbatax,337,0
28/06/2026,Aeroporto,Olbia,13410,15351
28/06/2026,Aeroporto,Cagliari,12058,12025
28/06/2026,Aeroporto,Alghero,4254,3546
27/06/2026,Porto,Golfo Aranci,1159,626
27/06/2026,Porto,Arbatax,0,0
27/06/2026,Aeroporto,Olbia,391,533
27/06/2026,Aeroporto,Cagliari,13384,12273
27/06/2026,Aeroporto,Alghero,4849,4560
26/06/2026,Porto,Porto Vesme,0,0
26/06/2026,Porto,Golfo Aranci,1805,1421
26/06/2026,Porto,Arbatax,0,0
26/06/2026,Aeroporto,Olbia,14823,11881
26/06/2026,Aeroporto,Cagliari,12387,11075
26/06/2026,Aeroporto,Alghero,5343,4527
25/06/2026,Porto,Porto Vesme,0,0
25/06/2026,Porto,Porto Torres,1866,1744
25/06/2026,Porto,Olbia,8798,6585
25/06/2026,Porto,Golfo Aranci,997,690
25/06/2026,Porto,Cagliari,550,554
25/06/2026,Porto,Arbatax,0,52
25/06/2026,Aeroporto,Olbia,11621,9032
25/06/2026,Aeroporto,Cagliari,10764,8979
25/06/2026,Aeroporto,Alghero,4339,3528
24/06/2026,Porto,Porto Torres,1628,1310
24/06/2026,Porto,Olbia,7700,5443
24/06/2026,Porto,Golfo Aranci,917,618
24/06/2026,Porto,Cagliari,358,299
24/06/2026,Porto,Arbatax,271,0
24/06/2026,Aeroporto,Olbia,11002,9290
24/06/2026,Aeroporto,Cagliari,10500,9516
24/06/2026,Aeroporto,Alghero,4446,3993
23/06/2026,Porto,Porto Torres,3263,1395
23/06/2026,Porto,Olbia,7468,5221
23/06/2026,Porto,Golfo Aranci,1059,678
23/06/2026,Porto,Cagliari,843,352
23/06/2026,Porto,Arbatax,0,95
23/06/2026,Aeroporto,Olbia,10713,10044
23/06/2026,Aeroporto,Cagliari,10872,10237
23/06/2026,Aeroporto,Alghero,4242,3905
22/06/2026,Porto,Porto Vesme,0,0
22/06/2026,Porto,Porto Torres,2428,1351
22/06/2026,Porto,Olbia,9434,5747
22/06/2026,Porto,Golfo Aranci,1030,683
22/06/2026,Porto,Cagliari,0,672
22/06/2026,Aeroporto,Olbia,10420,10586
22/06/2026,Aeroporto,Cagliari,10696,10949
22/06/2026,Aeroporto,Alghero,3731,3657
21/06/2026,Porto,Porto Vesme,0,0
21/06/2026,Porto,Porto Torres,2981,1440
21/06/2026,Porto,Olbia,9534,7949
21/06/2026,Porto,Golfo Aranci,2193,1389
21/06/2026,Porto,Cagliari,1038,5
21/06/2026,Porto,Arbatax,248,0
21/06/2026,Aeroporto,Olbia,11776,12477
21/06/2026,Aeroporto,Cagliari,11628,11037
21/06/2026,Aeroporto,Alghero,4227,3650
20/06/2026,Porto,Porto Torres,4863,3392
20/06/2026,Porto,Olbia,11930,9589
20/06/2026,Porto,Golfo Aranci,2413,1625
20/06/2026,Porto,Cagliari,686,640
20/06/2026,Porto,Arbatax,0,0
20/06/2026,Aeroporto,Olbia,12353,11676
20/06/2026,Aeroporto,Cagliari,11887,11091
20/06/2026,Aeroporto,Alghero,4966,4033
19/06/2026,Porto,Porto Vesme,0,0
19/06/2026,Porto,Porto Torres,2657,2028
19/06/2026,Porto,Olbia,9730,6230
19/06/2026,Porto,Golfo Aranci,978,636
19/06/2026,Porto,Cagliari,401,340
19/06/2026,Porto,Arbatax,0,0
19/06/2026,Aeroporto,Olbia,12010,10037
19/06/2026,Aeroporto,Cagliari,11710,10767
19/06/2026,Aeroporto,Alghero,4255,3920
18/06/2026,Porto,Porto Torres,1805,1555
18/06/2026,Porto,Olbia,8383,5821
18/06/2026,Porto,Golfo Aranci,924,641
18/06/2026,Porto,Cagliari,419,538
18/06/2026,Porto,Arbatax,0,52
18/06/2026,Aeroporto,Olbia,9928,7581
18/06/2026,Aeroporto,Cagliari,9897,8491
18/06/2026,Aeroporto,Alghero,3977,3353
17/06/2026,Porto,Porto Torres,1740,1173
17/06/2026,Porto,Olbia,6514,4367
17/06/2026,Porto,Golfo Aranci,904,595
17/06/2026,Porto,Cagliari,391,230
17/06/2026,Porto,Arbatax,193,0
17/06/2026,Aeroporto,Olbia,9395,8418
17/06/2026,Aeroporto,Cagliari,9536,8925
17/06/2026,Aeroporto,Alghero,4055,3510
16/06/2026,Porto,Porto Torres,1643,918
16/06/2026,Porto,Olbia,7404,4904
16/06/2026,Porto,Golfo Aranci,894,610
16/06/2026,Porto,Cagliari,854,564
16/06/2026,Porto,Arbatax,0,43
16/06/2026,Aeroporto,Olbia,9762,9605
16/06/2026,Aeroporto,Cagliari,9815,9257
16/06/2026,Aeroporto,Alghero,4124,4067
15/06/2026,Porto,Porto Vesme,0,0
15/06/2026,Porto,Porto Torres,2445,1280
15/06/2026,Porto,Olbia,8823,5514
15/06/2026,Porto,Golfo Aranci,949,707
15/06/2026,Porto,Cagliari,0,523
15/06/2026,Aeroporto,Olbia,8187,8878
15/06/2026,Aeroporto,Cagliari,10557,10541
15/06/2026,Aeroporto,Alghero,3474,3725
14/06/2026,Porto,Porto Vesme,0,0
14/06/2026,Porto,Porto Torres,1571,872
14/06/2026,Porto,Olbia,9035,7922
14/06/2026,Porto,Golfo Aranci,948,839
14/06/2026,Porto,Cagliari,783,0
14/06/2026,Porto,Arbatax,235,0
14/06/2026,Aeroporto,Olbia,11313,12151
14/06/2026,Aeroporto,Cagliari,11052,10923
14/06/2026,Aeroporto,Alghero,3969,3871
13/06/2026,Porto,Porto Torres,3697,2805
13/06/2026,Porto,Olbia,9802,8521
13/06/2026,Porto,Golfo Aranci,1101,986
13/06/2026,Porto,Cagliari,566,634
13/06/2026,Porto,Arbatax,0,0
13/06/2026,Aeroporto,Olbia,11633,11099
13/06/2026,Aeroporto,Cagliari,11294,10110
13/06/2026,Aeroporto,Alghero,4820,4176
12/06/2026,Porto,Porto Torres,2850,1791
12/06/2026,Porto,Olbia,8930,5169
12/06/2026,Porto,Golfo Aranci,884,620
12/06/2026,Porto,Cagliari,324,454
12/06/2026,Aeroporto,Olbia,11476,9524
12/06/2026,Aeroporto,Cagliari,11427,11245
12/06/2026,Aeroporto,Alghero,4113,3633
11/06/2026,Porto,Porto Torres,1258,714
11/06/2026,Porto,Olbia,7568,4442
11/06/2026,Porto,Golfo Aranci,835,418
11/06/2026,Porto,Cagliari,321,492
11/06/2026,Porto,Arbatax,0,46
11/06/2026,Aeroporto,Olbia,9328,7615
11/06/2026,Aeroporto,Cagliari,9906,8778
11/06/2026,Aeroporto,Alghero,4317,3490
10/06/2026,Porto,Porto Torres,1465,1029
10/06/2026,Porto,Olbia,6241,3598
10/06/2026,Porto,Golfo Aranci,853,514
10/06/2026,Porto,Cagliari,381,174
10/06/2026,Porto,Arbatax,146,0
10/06/2026,Aeroporto,Olbia,9082,7767
10/06/2026,Aeroporto,Cagliari,9601,8572
10/06/2026,Aeroporto,Alghero,3767,3330
09/06/2026,Porto,Porto Torres,1338,650
09/06/2026,Porto,Olbia,6259,3616
09/06/2026,Porto,Golfo Aranci,709,362
09/06/2026,Porto,Cagliari,749,354
09/06/2026,Porto,Arbatax,0,37
09/06/2026,Aeroporto,Olbia,9309,9128
09/06/2026,Aeroporto,Cagliari,9436,9385
09/06/2026,Aeroporto,Alghero,3596,3605
08/06/2026,Porto,Porto Vesme,0,0
08/06/2026,Porto,Porto Torres,1977,1636
08/06/2026,Porto,Olbia,6876,4290
08/06/2026,Porto,Golfo Aranci,786,533
08/06/2026,Porto,Cagliari,1,451
08/06/2026,Aeroporto,Olbia,8038,8767
08/06/2026,Aeroporto,Cagliari,10287,10020
08/06/2026,Aeroporto,Alghero,3804,3587
07/06/2026,Porto,Porto Vesme,0,0
07/06/2026,Porto,Porto Torres,1325,1181
07/06/2026,Porto,Olbia,6678,7239
07/06/2026,Porto,Golfo Aranci,0,734
07/06/2026,Porto,Cagliari,827,3
07/06/2026,Porto,Arbatax,123,0
07/06/2026,Aeroporto,Olbia,11107,11762
07/06/2026,Aeroporto,Cagliari,11438,10536
07/06/2026,Aeroporto,Alghero,3930,3812
06/06/2026,Porto,Porto Torres,1494,1892
06/06/2026,Porto,Olbia,7824,8614
06/06/2026,Porto,Golfo Aranci,1260,2038
06/06/2026,Porto,Cagliari,462,501
06/06/2026,Aeroporto,Olbia,10938,11077
06/06/2026,Aeroporto,Cagliari,10103,10426
06/06/2026,Aeroporto,Alghero,4325,4116
05/06/2026,Porto,Porto Torres,3259,3223
05/06/2026,Porto,Olbia,6236,7419
05/06/2026,Porto,Golfo Aranci,909,1719
05/06/2026,Porto,Cagliari,319,356
05/06/2026,Aeroporto,Olbia,10528,8922
05/06/2026,Aeroporto,Cagliari,10385,10050
05/06/2026,Aeroporto,Alghero,4414,3807
04/06/2026,Porto,Porto Vesme,0,0
04/06/2026,Porto,Porto Torres,1622,1809
04/06/2026,Porto,Olbia,5516,6538
04/06/2026,Porto,Golfo Aranci,643,1063
04/06/2026,Porto,Cagliari,404,487
04/06/2026,Porto,Arbatax,0,33
04/06/2026,Aeroporto,Olbia,8824,7392
04/06/2026,Aeroporto,Cagliari,8853,8629
04/06/2026,Aeroporto,Alghero,3563,3087
03/06/2026,Porto,Porto Torres,1073,1104
03/06/2026,Porto,Olbia,5195,5572
03/06/2026,Porto,Golfo Aranci,648,882
03/06/2026,Porto,Cagliari,358,236
03/06/2026,Porto,Arbatax,105,0
03/06/2026,Aeroporto,Olbia,8815,9256
03/06/2026,Aeroporto,Cagliari,9075,9549
03/06/2026,Aeroporto,Alghero,3753,3766
02/06/2026,Porto,Porto Vesme,0,0
02/06/2026,Porto,Porto Torres,3021,2427
02/06/2026,Porto,Olbia,5060,8480
02/06/2026,Porto,Golfo Aranci,727,1068
02/06/2026,Porto,Cagliari,660,621
02/06/2026,Porto,Arbatax,0,112
02/06/2026,Aeroporto,Olbia,9537,10402
02/06/2026,Aeroporto,Cagliari,10310,10170
02/06/2026,Aeroporto,Alghero,4106,3764
01/06/2026,Porto,Porto Vesme,0,0
01/06/2026,Porto,Porto Torres,1325,1144
01/06/2026,Porto,Olbia,6408,5189
01/06/2026,Porto,Golfo Aranci,636,754
01/06/2026,Porto,Cagliari,2,934
01/06/2026,Porto,Arbatax,0,0
01/06/2026,Aeroporto,Olbia,8124,7245
01/06/2026,Aeroporto,Cagliari,9442,8960
01/06/2026,Aeroporto,Alghero,3537,3415
31/05/2026,Porto,Porto Torres,1973,936
31/05/2026,Porto,Olbia,6498,2894
31/05/2026,Porto,Golfo Aranci,1033,493
31/05/2026,Porto,Cagliari,779,1
31/05/2026,Porto,Arbatax,158,0
31/05/2026,Aeroporto,Olbia,10312,8559
31/05/2026,Aeroporto,Cagliari,8919,8675
31/05/2026,Aeroporto,Alghero,3975,2915
30/05/2026,Porto,Porto Torres,5334,1594
30/05/2026,Porto,Olbia,9767,4804
30/05/2026,Porto,Golfo Aranci,1147,581
30/05/2026,Porto,Cagliari,822,595
30/05/2026,Aeroporto,Olbia,10955,9504
30/05/2026,Aeroporto,Cagliari,11501,9937
30/05/2026,Aeroporto,Alghero,4065,3523
29/05/2026,Porto,Porto Torres,2154,984
29/05/2026,Porto,Olbia,6668,3564
29/05/2026,Porto,Golfo Aranci,986,535
29/05/2026,Porto,Cagliari,587,325
29/05/2026,Porto,Arbatax,0,0
29/05/2026,Aeroporto,Olbia,10451,8395
29/05/2026,Aeroporto,Cagliari,11119,9489
29/05/2026,Aeroporto,Alghero,4061,3140
28/05/2026,Porto,Porto Vesme,0,0
28/05/2026,Porto,Porto Torres,2174,956
28/05/2026,Porto,Olbia,6459,3869
28/05/2026,Porto,Golfo Aranci,730,447
28/05/2026,Porto,Cagliari,783,583
28/05/2026,Porto,Arbatax,0,41
28/05/2026,Aeroporto,Olbia,7829,6075
28/05/2026,Aeroporto,Cagliari,9696,7182
28/05/2026,Aeroporto,Alghero,3277,2577
27/05/2026,Porto,Porto Torres,1051,1005
27/05/2026,Porto,Olbia,0,1991
27/05/2026,Porto,Cagliari,319,215
27/05/2026,Porto,Arbatax,169,0
27/05/2026,Aeroporto,Olbia,7120,5712
27/05/2026,Aeroporto,Cagliari,8631,7298
27/05/2026,Aeroporto,Alghero,3191,2646
26/05/2026,Porto,Porto Torres,1936,211
26/05/2026,Porto,Olbia,0,2720
26/05/2026,Porto,Cagliari,762,275
26/05/2026,Porto,Arbatax,0,40
26/05/2026,Aeroporto,Olbia,7045,6318
26/05/2026,Aeroporto,Cagliari,8364,7554
26/05/2026,Aeroporto,Alghero,3391,3249
