anno,provincia,comune,tipologia,categoria,numero_strutture,letti,camere
2022,Provincia di Oristano,Abbasanta,Agriturismo,,1,10,6
2022,Provincia di Oristano,Abbasanta,Albergo,3 Stelle,1,91,31
2022,Provincia di Oristano,Abbasanta,Albergo,4 Stelle,1,25,10
2022,Provincia di Oristano,Abbasanta,Alloggi privati,,2,9,3
2022,Provincia di Oristano,Abbasanta,Bed and breakfast,2 Stelle,1,4,2
2022,Provincia di Sassari,Aggius,Agriturismo,,3,38,21
2022,Provincia di Sassari,Aggius,Alloggi privati,,7,32,17
2022,Provincia di Sassari,Aggius,Bed and breakfast,2 Stelle,1,6,3
2022,Provincia di Sassari,Aggius,Bed and breakfast,3 Stelle,2,15,6
2022,Provincia di Sassari,Aggius,Case e appartamenti per vacanze,II Categoria,1,8,3
2022,Provincia di Sassari,Aglientu,Affittacamere,III Categoria,1,4,1
2022,Provincia di Sassari,Aglientu,Agriturismo,,10,118,44
2022,Provincia di Sassari,Aglientu,Albergo,2 Stelle,1,12,7
2022,Provincia di Sassari,Aglientu,Albergo,3 Stelle,5,725,284
2022,Provincia di Sassari,Aglientu,Albergo residenziale,3 Stelle,1,176,88
2022,Provincia di Sassari,Aglientu,Alloggi privati,,113,633,259
2022,Provincia di Sassari,Aglientu,Bed and breakfast,2 Stelle,1,4,2
2022,Provincia di Sassari,Aglientu,Campeggio,1 Stella,1,250,50
2022,Provincia di Sassari,Aglientu,Campeggio,4 Stelle,2,3449,993
2022,Provincia di Sassari,Aglientu,Case e appartamenti per vacanze,II Categoria,2,72,33
2022,Provincia di Sassari,Aglientu,Case e appartamenti per vacanze,III Categoria,1,26,8
2022,Provincia di Sassari,Alà Dei Sardi,Alloggi privati,,4,19,8
2022,Provincia di Sassari,Alà Dei Sardi,Bed and breakfast,2 Stelle,1,2,2
2022,Provincia di Oristano,Ales,Affittacamere,II Categoria,3,17,9
2022,Provincia di Oristano,Ales,Alloggi privati,,2,10,5
2022,Provincia di Oristano,Ales,Bed and breakfast,1 Stella,2,8,5
2022,Provincia di Oristano,Ales,Case e appartamenti per vacanze,II Categoria,3,9,3
2022,Provincia di Sassari,Alghero,Affittacamere,,36,262,126
2022,Provincia di Sassari,Alghero,Affittacamere,I Categoria,11,81,44
2022,Provincia di Sassari,Alghero,Affittacamere,II Categoria,97,734,350
2022,Provincia di Sassari,Alghero,Affittacamere,III Categoria,11,93,45
2022,Provincia di Sassari,Alghero,Agriturismo,,32,384,185
2022,Provincia di Sassari,Alghero,Albergo,3 Stelle,14,1403,640
2022,Provincia di Sassari,Alghero,Albergo,4 Stelle,15,3791,1473
2022,Provincia di Sassari,Alghero,Albergo,5 Stelle,2,534,203
2022,Provincia di Sassari,Alghero,Albergo residenziale,2 Stelle,1,275,66
2022,Provincia di Sassari,Alghero,Albergo residenziale,3 Stelle,3,411,116
2022,Provincia di Sassari,Alghero,Albergo residenziale,4 Stelle,1,42,25
2022,Provincia di Sassari,Alghero,Alloggi privati,,1223,5702,2459
2022,Provincia di Sassari,Alghero,Bed and breakfast,,6,27,15
2022,Provincia di Sassari,Alghero,Bed and breakfast,1 Stella,72,275,145
2022,Provincia di Sassari,Alghero,Bed and breakfast,2 Stelle,105,452,212
2022,Provincia di Sassari,Alghero,Bed and breakfast,3 Stelle,47,225,125
2022,Provincia di Sassari,Alghero,Boat and Breakfast,,2,10,4
2022,Provincia di Sassari,Alghero,Campeggio,3 Stelle,1,500,125
2022,Provincia di Sassari,Alghero,Campeggio,4 Stelle,1,2432,612
2022,Provincia di Sassari,Alghero,Case e appartamenti per vacanze,,10,180,90
2022,Provincia di Sassari,Alghero,Case e appartamenti per vacanze,I Categoria,1,8,4
2022,Provincia di Sassari,Alghero,Case e appartamenti per vacanze,II Categoria,39,948,381
2022,Provincia di Sassari,Alghero,Case e appartamenti per vacanze,III Categoria,7,246,105
2022,Provincia di Sassari,Alghero,Case per ferie,,1,20,7
2022,Provincia di Sassari,Alghero,Case per ferie,III Categoria,4,142,87
2022,Provincia di Sassari,Alghero,Ostelli per la gioventù,,1,76,24
2022,Provincia di Sassari,Alghero,Ostelli per la gioventù,III Categoria,2,152,38
2022,Provincia di Sassari,Alghero,Turismo Rurale,1 Stella,1,7,7
2022,Provincia di Sassari,Alghero,Turismo Rurale,3 Stelle,7,246,110
2022,Provincia di Sassari,Alghero,Turismo Rurale,4 Stelle,1,49,22
2022,Provincia di Sassari,Alghero,Villaggi turistici,3 Stelle,1,200,30
2022,Provincia di Sassari,Alghero,Villaggi turistici,4 Stelle,1,800,270
2022,Provincia di Oristano,Allai,Agriturismo,,1,16,8
2022,Provincia di Oristano,Allai,Alloggi privati,,2,10,6
2022,Provincia di Sassari,Anela,Agriturismo,,1,6,5
2022,Provincia di Sassari,Anela,Alloggi privati,,1,4,1
2022,Provincia di Oristano,Arborea,Affittacamere,II Categoria,1,12,5
2022,Provincia di Oristano,Arborea,Albergo,2 Stelle,4,129,53
2022,Provincia di Oristano,Arborea,Albergo,3 Stelle,2,274,81
2022,Provincia di Oristano,Arborea,Albergo,4 Stelle,4,730,321
2022,Provincia di Oristano,Arborea,Alloggi privati,,6,29,12
2022,Provincia di Oristano,Arborea,Bed and breakfast,1 Stella,2,7,4
2022,Provincia di Oristano,Arborea,Bed and breakfast,3 Stelle,1,4,2
2022,Provincia di Oristano,Arborea,Campeggio,3 Stelle,1,654,170
2022,Provincia di Oristano,Arborea,Case per ferie,III Categoria,2,66,22
2022,Provincia del Sud Sardegna,Arbus,Affittacamere,,1,6,3
2022,Provincia del Sud Sardegna,Arbus,Agriturismo,,15,257,117
2022,Provincia del Sud Sardegna,Arbus,Albergo,1 Stella,1,14,8
2022,Provincia del Sud Sardegna,Arbus,Albergo,2 Stelle,1,24,9
2022,Provincia del Sud Sardegna,Arbus,Albergo,3 Stelle,6,196,105
2022,Provincia del Sud Sardegna,Arbus,Albergo,4 Stelle,2,95,52
2022,Provincia del Sud Sardegna,Arbus,Alloggi privati,,98,445,198
2022,Provincia del Sud Sardegna,Arbus,Bed and breakfast,1 Stella,6,24,13
2022,Provincia del Sud Sardegna,Arbus,Bed and breakfast,2 Stelle,4,19,11
2022,Provincia del Sud Sardegna,Arbus,Bed and breakfast,3 Stelle,6,34,17
2022,Provincia del Sud Sardegna,Arbus,Campeggio,3 Stelle,1,147,6
2022,Provincia del Sud Sardegna,Arbus,Case e appartamenti per vacanze,II Categoria,2,61,22
2022,Provincia del Sud Sardegna,Arbus,Case per ferie,III Categoria,1,9,5
2022,Provincia del Sud Sardegna,Arbus,Locanda,III Categoria,1,12,4
2022,Provincia del Sud Sardegna,Arbus,Turismo Rurale,3 Stelle,1,19,11
2022,Provincia di Sassari,Ardara,Bed and breakfast,2 Stelle,1,4,3
2022,Provincia di Nuoro,Aritzo,Affittacamere,II Categoria,1,4,2
2022,Provincia di Nuoro,Aritzo,Agriturismo,,1,15,8
2022,Provincia di Nuoro,Aritzo,Albergo,2 Stelle,1,40,16
2022,Provincia di Nuoro,Aritzo,Albergo,3 Stelle,1,50,31
2022,Provincia di Nuoro,Aritzo,Albergo,4 Stelle,1,113,50
2022,Provincia di Nuoro,Aritzo,Alloggi privati,,3,11,4
2022,Provincia di Nuoro,Aritzo,Bed and breakfast,1 Stella,2,10,5
2022,Provincia di Nuoro,Aritzo,Bed and breakfast,3 Stelle,1,4,2
2022,Provincia di Nuoro,Aritzo,Case e appartamenti per vacanze,I Categoria,1,14,10
2022,Provincia del Sud Sardegna,Armungia,Affittacamere,III Categoria,1,9,4
2022,Provincia del Sud Sardegna,Armungia,Bed and breakfast,1 Stella,1,5,3
2022,Provincia del Sud Sardegna,Armungia,Bed and breakfast,3 Stelle,1,6,3
2022,Provincia di Sassari,Arzachena,Affittacamere,,6,50,23
2022,Provincia di Sassari,Arzachena,Affittacamere,I Categoria,5,52,23
2022,Provincia di Sassari,Arzachena,Affittacamere,II Categoria,7,54,28
2022,Provincia di Sassari,Arzachena,Affittacamere,III Categoria,1,4,3
2022,Provincia di Sassari,Arzachena,Agriturismo,,16,194,104
2022,Provincia di Sassari,Arzachena,Albergo,2 Stelle,1,20,10
2022,Provincia di Sassari,Arzachena,Albergo,3 Stelle,19,1374,609
2022,Provincia di Sassari,Arzachena,Albergo,4 Stelle,33,4717,2097
2022,Provincia di Sassari,Arzachena,Albergo,5 Stelle,13,1755,804
2022,Provincia di Sassari,Arzachena,Albergo,5 Stelle Lusso,3,621,282
2022,Provincia di Sassari,Arzachena,Albergo residenziale,3 Stelle,2,210,81
2022,Provincia di Sassari,Arzachena,Albergo residenziale,4 Stelle,6,1242,523
2022,Provincia di Sassari,Arzachena,Alloggi privati,,433,2102,836
2022,Provincia di Sassari,Arzachena,Bed and breakfast,1 Stella,7,36,18
