anno,provincia,comune,tipologia,categoria,Numero strutture,Letti,Camere
2024,Provincia di Oristano,Abbasanta,Albergo,4 Stelle,1,25,10
2024,Provincia di Oristano,Abbasanta,Affittacamere,1 Stella,1,9,5
2024,Provincia di Oristano,Abbasanta,Affittacamere,I Categoria,1,5,3
2024,Provincia di Oristano,Abbasanta,Bed & Breakfast,1 Stella,1,2,2
2024,Provincia di Oristano,Abbasanta,Altri alloggi privati,,5,23,8
2024,Provincia di Sassari,Aggius,Agriturismo,,5,44,21
2024,Provincia di Sassari,Aggius,Casa/App. vacanze,II Categoria,1,10,5
2024,Provincia di Sassari,Aggius,Affittacamere,1 Stella,1,4,2
2024,Provincia di Sassari,Aggius,Affittacamere,I Categoria,1,11,5
2024,Provincia di Sassari,Aggius,Bed & Breakfast,2 Stelle,2,9,5
2024,Provincia di Sassari,Aggius,Bed & Breakfast,3 Stelle,2,15,6
2024,Provincia di Sassari,Aggius,Bed & Breakfast,,1,4,2
2024,Provincia di Sassari,Aggius,Altri alloggi privati,,1,9,4
2024,Provincia di Sassari,Aggius,Altri alloggi privati,,18,88,40
2024,Provincia di Sassari,Aglientu,Albergo,2 Stelle,1,12,7
2024,Provincia di Sassari,Aglientu,Albergo,3 Stelle,4,127,33
2024,Provincia di Sassari,Aglientu,Albergo,4 Stelle,1,16,9
2024,Provincia di Sassari,Aglientu,Residenza Turistico Alberghiera (R.T.A.),3 Stelle,1,176,88
2024,Provincia di Sassari,Aglientu,Campeggio,1 Stella,1,250,50
2024,Provincia di Sassari,Aglientu,Campeggio,4 Stelle,2,3449,993
2024,Provincia di Sassari,Aglientu,Agriturismo,,10,139,18
2024,Provincia di Sassari,Aglientu,Casa/App. vacanze,II Categoria,2,71,47
2024,Provincia di Sassari,Aglientu,Casa/App. vacanze,III Categoria,2,33,15
2024,Provincia di Sassari,Aglientu,Affittacamere,3 Stelle,1,10,5
2024,Provincia di Sassari,Aglientu,Affittacamere,II Categoria,1,10,5
2024,Provincia di Sassari,Aglientu,Affittacamere,III Categoria,4,20,10
2024,Provincia di Sassari,Aglientu,Bed & Breakfast,2 Stelle,1,4,2
2024,Provincia di Sassari,Aglientu,Residence,I Categoria,1,279,79
2024,Provincia di Sassari,Aglientu,Villaggio albergo,3 Stelle,1,598,251
2024,Provincia di Sassari,Aglientu,Albergo Rurale,1 Stella,1,18,7
2024,Provincia di Sassari,Aglientu,Altri alloggi privati,,2,17,9
2024,Provincia di Sassari,Aglientu,Altri alloggi privati,,270,1408,608
2024,Provincia di Sassari,Aglientu,Locanda,,1,6,4
2024,Provincia di Oristano,Aidomaggiore,Altri alloggi privati,,1,8,3
2024,Provincia di Oristano,Albagiara,Altri alloggi privati,,1,4,2
2024,Provincia di Oristano,Ales,Casa/App. vacanze,II Categoria,3,12,3
2024,Provincia di Oristano,Ales,Affittacamere,II Categoria,3,17,9
2024,Provincia di Oristano,Ales,Bed & Breakfast,1 Stella,2,8,5
2024,Provincia di Oristano,Ales,Altri alloggi privati,,1,4,2
2024,Provincia di Oristano,Ales,Altri alloggi privati,,1,6,3
2024,Provincia di Sassari,Alghero,Albergo,3 Stelle,13,1013,484
2024,Provincia di Sassari,Alghero,Albergo,4 Stelle,15,4046,1605
2024,Provincia di Sassari,Alghero,Albergo,5 Stelle,2,534,203
2024,Provincia di Sassari,Alghero,Residenza Turistico Alberghiera (R.T.A.),2 Stelle,1,275,66
2024,Provincia di Sassari,Alghero,Residenza Turistico Alberghiera (R.T.A.),3 Stelle,3,421,118
2024,Provincia di Sassari,Alghero,Residenza Turistico Alberghiera (R.T.A.),4 Stelle,1,42,25
2024,Provincia di Sassari,Alghero,Ostello,III Categoria,1,132,30
2024,Provincia di Sassari,Alghero,Ostello,,1,76,43
2024,Provincia di Sassari,Alghero,Campeggio,3 Stelle,1,500,125
2024,Provincia di Sassari,Alghero,Campeggio,4 Stelle,1,2432,612
2024,Provincia di Sassari,Alghero,Agriturismo,,37,455,166
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,1 Stella,3,31,11
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,2 Stelle,7,91,31
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,3 Stelle,4,92,24
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,I Categoria,1,8,4
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,II Categoria,48,1039,401
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,III Categoria,8,217,75
2024,Provincia di Sassari,Alghero,Casa/App. vacanze,,9,184,87
2024,Provincia di Sassari,Alghero,Affittacamere,1 Stella,5,21,12
2024,Provincia di Sassari,Alghero,Affittacamere,2 Stelle,25,141,71
2024,Provincia di Sassari,Alghero,Affittacamere,3 Stelle,25,201,93
2024,Provincia di Sassari,Alghero,Affittacamere,I Categoria,9,58,35
2024,Provincia di Sassari,Alghero,Affittacamere,II Categoria,113,843,404
2024,Provincia di Sassari,Alghero,Affittacamere,III Categoria,13,100,49
2024,Provincia di Sassari,Alghero,Affittacamere,,42,298,144
2024,Provincia di Sassari,Alghero,Villaggio turistico,3 Stelle,2,297,61
2024,Provincia di Sassari,Alghero,Villaggio turistico,4 Stelle,1,800,270
2024,Provincia di Sassari,Alghero,Casa per ferie e ospitalità religiosa,III Categoria,5,154,93
2024,Provincia di Sassari,Alghero,Casa per ferie e ospitalità religiosa,,1,20,7
2024,Provincia di Sassari,Alghero,Bed & Breakfast,1 Stella,72,280,139
2024,Provincia di Sassari,Alghero,Bed & Breakfast,2 Stelle,109,467,243
2024,Provincia di Sassari,Alghero,Bed & Breakfast,3 Stelle,44,222,120
2024,Provincia di Sassari,Alghero,Bed & Breakfast,,15,67,33
2024,Provincia di Sassari,Alghero,Albergo Rurale,1 Stella,1,7,7
2024,Provincia di Sassari,Alghero,Albergo Rurale,3 Stelle,7,265,120
2024,Provincia di Sassari,Alghero,Albergo Rurale,4 Stelle,2,112,45
2024,Provincia di Sassari,Alghero,Altri alloggi privati,,32,146,83
2024,Provincia di Sassari,Alghero,Altri alloggi privati,,2417,11002,4647
2024,Provincia di Sassari,Alghero,Boat & Breakfast,,5,30,14
2024,Provincia di Sassari,Alghero,Bed & Breakfast,1 Stella,2,6,3
2024,Provincia di Sassari,Alghero,Bed & Breakfast,3 Stelle,1,7,3
2024,Provincia di Oristano,Allai,Agriturismo,,1,16,8
2024,Provincia di Oristano,Allai,Altri alloggi privati,,3,16,9
2024,Provincia di Sassari,Alà Dei Sardi,Affittacamere,1 Stella,1,4,2
2024,Provincia di Sassari,Alà Dei Sardi,Bed & Breakfast,2 Stelle,1,2,2
2024,Provincia di Sassari,Alà Dei Sardi,Altri alloggi privati,,3,15,7
2024,Provincia di Sassari,Anela,Agriturismo,,1,6,5
2024,Provincia di Oristano,Arborea,Albergo,2 Stelle,4,129,53
2024,Provincia di Oristano,Arborea,Albergo,3 Stelle,3,297,93
2024,Provincia di Oristano,Arborea,Albergo,4 Stelle,4,730,321
2024,Provincia di Oristano,Arborea,Campeggio,3 Stelle,1,654,170
2024,Provincia di Oristano,Arborea,Affittacamere,II Categoria,1,12,5
2024,Provincia di Oristano,Arborea,Casa per ferie e ospitalità religiosa,III Categoria,1,40,15
2024,Provincia di Oristano,Arborea,Bed & Breakfast,1 Stella,2,7,4
2024,Provincia di Oristano,Arborea,Bed & Breakfast,3 Stelle,1,4,2
2024,Provincia di Oristano,Arborea,Altri alloggi privati,,10,58,21
2024,Provincia del Sud Sardegna,Arbus,Albergo,1 Stella,1,14,8
2024,Provincia del Sud Sardegna,Arbus,Albergo,2 Stelle,2,37,16
2024,Provincia del Sud Sardegna,Arbus,Albergo,3 Stelle,5,132,73
2024,Provincia del Sud Sardegna,Arbus,Albergo,4 Stelle,1,25,25
2024,Provincia del Sud Sardegna,Arbus,Albergo,5 Stelle,1,66,28
2024,Provincia del Sud Sardegna,Arbus,Campeggio,3 Stelle,1,147,47
2024,Provincia del Sud Sardegna,Arbus,Agriturismo,,16,208,116
2024,Provincia del Sud Sardegna,Arbus,Casa/App. vacanze,II Categoria,2,61,22
2024,Provincia del Sud Sardegna,Arbus,Affittacamere,2 Stelle,1,9,5
2024,Provincia del Sud Sardegna,Arbus,Affittacamere,3 Stelle,1,9,5
2024,Provincia del Sud Sardegna,Arbus,Affittacamere,I Categoria,1,3,2
2024,Provincia del Sud Sardegna,Arbus,Affittacamere,,1,6,3
2024,Provincia del Sud Sardegna,Arbus,Casa per ferie e ospitalità religiosa,III Categoria,1,9,5
2024,Provincia del Sud Sardegna,Arbus,Bed & Breakfast,1 Stella,6,29,14
2024,Provincia del Sud Sardegna,Arbus,Bed & Breakfast,2 Stelle,4,19,11
2024,Provincia del Sud Sardegna,Arbus,Bed & Breakfast,3 Stelle,4,21,11
2024,Provincia del Sud Sardegna,Arbus,Albergo Rurale,3 Stelle,1,19,11
2024,Provincia del Sud Sardegna,Arbus,Altri alloggi privati,,1,4,1
2024,Provincia del Sud Sardegna,Arbus,Altri alloggi privati,,244,1086,437
2024,Provincia di Sassari,Ardara,Bed & Breakfast,2 Stelle,1,4,3
2024,Provincia di Oristano,Ardauli,Altri alloggi privati,,1,4,2
2024,Provincia di Nuoro,Aritzo,Albergo,2 Stelle,1,40,16
2024,Provincia di Nuoro,Aritzo,Albergo,3 Stelle,1,50,31
2024,Provincia di Nuoro,Aritzo,Albergo,4 Stelle,1,113,50
2024,Provincia di Nuoro,Aritzo,Agriturismo,,1,12,8
2024,Provincia di Nuoro,Aritzo,Casa/App. vacanze,I Categoria,1,14,10
2024,Provincia di Nuoro,Aritzo,Affittacamere,II Categoria,1,4,2
2024,Provincia di Nuoro,Aritzo,Bed & Breakfast,1 Stella,1,6,3
2024,Provincia di Nuoro,Aritzo,Bed & Breakfast,3 Stelle,1,4,2
2024,Provincia di Nuoro,Aritzo,Altri alloggi privati,,4,16,6
2024,Provincia del Sud Sardegna,Armungia,Affittacamere,III Categoria,1,9,4
2024,Provincia del Sud Sardegna,Armungia,Bed & Breakfast,1 Stella,0,0,0
2024,Provincia del Sud Sardegna,Armungia,Bed & Breakfast,3 Stelle,1,6,3
2024,Provincia del Sud Sardegna,Armungia,Altri alloggi privati,,2,16,7
2024,Provincia di Sassari,Arzachena,Albergo,2 Stelle,1,20,10
2024,Provincia di Sassari,Arzachena,Albergo,3 Stelle,20,1442,658
2024,Provincia di Sassari,Arzachena,Albergo,4 Stelle,32,4556,2018
2024,Provincia di Sassari,Arzachena,Albergo,4 Stelle Superior,1,95,42
2024,Provincia di Sassari,Arzachena,Albergo,5 Stelle,14,1890,874
2024,Provincia di Sassari,Arzachena,Albergo,5 Stelle Lusso,3,621,282
2024,Provincia di Sassari,Arzachena,Residenza Turistico Alberghiera (R.T.A.),3 Stelle,3,224,88
2024,Provincia di Sassari,Arzachena,Residenza Turistico Alberghiera (R.T.A.),4 Stelle,8,1757,559
2024,Provincia di Sassari,Arzachena,Campeggio,3 Stelle,1,259,628
2024,Provincia di Sassari,Arzachena,Campeggio,4 Stelle,1,2904,600
2024,Provincia di Sassari,Arzachena,Agriturismo,II Categoria,1,12,6
2024,Provincia di Sassari,Arzachena,Agriturismo,,16,157,60
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,1 Stella,3,70,24
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,2 Stelle,1,14,5
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,3 Stelle,2,38,19
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,I Categoria,10,436,154
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,II Categoria,9,227,61
2024,Provincia di Sassari,Arzachena,Casa/App. vacanze,,8,190,35
2024,Provincia di Sassari,Arzachena,Affittacamere,I Categoria,10,104,42
2024,Provincia di Sassari,Arzachena,Affittacamere,II Categoria,8,54,28
2024,Provincia di Sassari,Arzachena,Affittacamere,,6,50,24
2024,Provincia di Sassari,Arzachena,Bed & Breakfast,1 Stella,8,38,20
2024,Provincia di Sassari,Arzachena,Bed & Breakfast,2 Stelle,3,16,8
2024,Provincia di Sassari,Arzachena,Bed & Breakfast,3 Stelle,13,77,33
2024,Provincia di Sassari,Arzachena,Bed & Breakfast,,3,15,9
2024,Provincia di Sassari,Arzachena,Residence,I Categoria,2,267,73
2024,Provincia di Sassari,Arzachena,Residence,II Categoria,5,531,104
2024,Provincia di Sassari,Arzachena,Residence,,1,120,28
2024,Provincia di Sassari,Arzachena,Villaggio albergo,5 Stelle,1,151,66
2024,Provincia di Sassari,Arzachena,Albergo Rurale,2 Stelle,1,14,7
2024,Provincia di Sassari,Arzachena,Albergo Rurale,3 Stelle,2,30,18
2024,Provincia di Sassari,Arzachena,Albergo Rurale,4 Stelle,2,24,12
2024,Provincia di Sassari,Arzachena,Albergo Rurale,5 Stelle,1,46,19
2024,Provincia di Sassari,Arzachena,Altri alloggi privati,,74,496,220
