"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Francia","2","14"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Paesi Bassi","9","109"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Germania","4","25"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Regno Unito",,"13"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Spagna","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Belgio","2","6"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Svizzera (incluso Liechtenstein)","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Austria","8","24"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Polonia","2","15"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Slovenia","1","3"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Stati Uniti d'America","5","26"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Piemonte","26","78"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Lombardia","44","66"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Veneto","6","11"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Friuli-Venezia Giulia","7","14"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Liguria","4","7"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Emilia Romagna","15","139"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Toscana","13","31"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Umbria","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Marche","3","5"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Lazio","37","195"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Abruzzo","7","11"
"2022","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Campania","8","24"
