anno,provincia,comune,mese,macro-tipologia,provenienza,arrivi,presenze
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Francia,104,247
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Paesi Bassi,5,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Germania,33,82
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Regno Unito,18,50
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Irlanda,8,24
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Danimarca,1,3
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Portogallo,3,8
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Spagna,41,82
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Belgio,10,17
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Lussemburgo,0,5
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Norvegia,1,2
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Svezia,5,10
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Finlandia,4,4
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Svizzera (incluso Liechtenstein),29,75
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Austria,4,9
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Malta,4,4
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Turchia,2,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Estonia,2,2
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Lituania,2,7
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Polonia,40,86
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Repubblica Ceca,10,22
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Ungheria,5,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Romania,8,15
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Bulgaria,4,8
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Ucraina,11,20
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Moldavia,1,1
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Russia,5,8
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Croazia,1,3
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Europei,6,11
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Africa Mediterranea,3,5
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi dell'Africa,4,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Sud Africa,1,2
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Stati Uniti d'America,23,49
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Canada,4,10
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Messico,1,1
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Brasile,9,15
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Argentina,3,7
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Centro - Sud America,6,9
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Cina,6,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Giappone,8,19
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Asia Occidentale,0,0
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi dell'Asia,7,12
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Australia,3,5
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Nuova Zelanda,3,8
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Piemonte,127,259
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Valle d'Aosta,3,9
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Lombardia,331,675
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Veneto,79,154
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Friuli-Venezia Giulia,3,6
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Liguria,34,44
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Emilia Romagna,110,266
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Toscana,107,154
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Umbria,17,25
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Marche,16,32
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Lazio,155,258
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Abruzzo,11,17
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Molise,3,3
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Campania,58,97
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Puglia,29,51
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Basilicata,6,18
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Calabria,10,17
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Sicilia,40,99
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Sardegna,1496,2267
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Bolzano,5,8
2024,Provincia di Sassari,Alghero,1,Esercizi Alberghieri,Trento,2,3
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Francia,29,60
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Paesi Bassi,0,62
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Germania,6,47
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Regno Unito,11,23
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Spagna,2,8
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Belgio,2,2
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Lussemburgo,1,1
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Svezia,2,2
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Svizzera (incluso Liechtenstein),3,3
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Malta,0,0
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Polonia,5,6
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Slovacchia,4,8
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Romania,1,2
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Moldavia,1,2
2024,Provincia di Sassari,Arzachena,1,Esercizi Alberghieri,Altri Paesi Europei,6,60
