Comune,Totale
Aggius,1403
Aglientu,1195
Alà dei Sardi,1758
Alghero,41989
Anela,561
Ardara,702
Arzachena,13435
Badesi,1832
Banari,506
Benetutti,1643
Berchidda,2577
Bessude,370
Bonnanaro,904
Bono,3261
Bonorva,3086
Bortigiadas,700
Borutta,242
Bottidda,639
Buddusò,3513
Budoni,5577
Bultei,788
Bulzi,488
Burgos,821
Calangianus,3726
Cargeghe,589
Castelsardo,5600
Cheremule,385
Chiaramonti,1509
Codrongianos,1247
Cossoine,757
Erula,691
Esporlatu,361
Florinas,1451
Giave,468
Golfo Aranci,2378
Illorai,723
Ittireddu,470
Ittiri,7827
Laerru,803
La Maddalena,10488
Loiri Porto San Paolo,3800
Luogosanto,1815
Luras,2368
Mara,529
Martis,452
Monteleone Rocca Doria,103
Monti,2383
Mores,1710
Muros,821
Nughedu San Nicolò,720
Nule,1273
Nulvi,2585
Olbia,61681
Olmedo,4222
Oschiri,2917
Osilo,2774
Ossi,5401
Ozieri,9685
Padria,576
Padru,2103
Palau,4084
Pattada,2801
Perfugas,2229
Ploaghe,4222
Porto Torres,20846
Pozzomaggiore,2304
Putifigari,662
Romana,470
Santa Maria Coghinas,1328
Sant'Antonio di Gallura,1441
Santa Teresa Gallura,5078
San Teodoro,5175
Sassari,120510
Sedini,1205
Semestene,121
Sennori,6730
Siligo,727
Sorso,14474
Stintino,1537
Telti,2248
Tempio Pausania,13036
Tergu,607
Thiesi,2662
Tissi,2347
Torralba,869
Trinità d'Agultu e Vignola,2511
Tula,1435
Uri,2836
Usini,4152
Valledoria,4293
Viddalba,1578
Villanova Monteleone,2058
Aritzo,1211
Arzana,2211
Atzara,967
Austis,723
Bari Sardo,3807
Baunei,3377
Belvì,536
Birori,485
Bitti,2516
Bolotana,2284
Borore,1913
Bortigali,1225
Cardedu,1983
Desulo,2004
Dorgali,8256
Dualchi,554
Elini,546
Fonni,3579
Gadoni,638
Gairo,1269
Galtellì,2374
Gavoi,2432
Girasole,1365
Ilbono,1974
Irgoli,2189
Jerzu,2943
Lanusei,4968
Lei,445
Loceri,1317
Loculi,492
Lodè,1473
Lodine,295
Lotzorai,2131
Lula,1215
Macomer,9069
Mamoiada,2367
Meana Sardo,1549
Noragugume,266
Nuoro,33054
Oliena,6475
Ollolai,1143
Olzai,755
Onanì,353
Onifai,705
Oniferi,834
Orani,2619
Orgosolo,3849
Orosei,6847
Orotelli,1821
Ortueri,978
Orune,2064
Osidda,214
Osini,690
Ottana,2167
Ovodda,1453
Perdasdefogu,1710
Posada,3052
Sarule,1461
Silanus,1921
Sindia,1583
Siniscola,11146
Sorgono,1443
Talana,936
Tertenia,3840
Teti,568
Tiana,426
Tonara,1768
Torpè,2741
Tortolì,10978
Triei,1059
Ulassai,1363
Urzulei,1043
Ussassai,439
Villagrande Strisaili,2885
Assemini,25630
Cagliari,146692
Capoterra,23092
Decimomannu,8358
Elmas,9491
Maracalagonis,7897
Monserrato,18719
Pula,7112
Quartucciu,12828
Quartu Sant'Elena,68237
Sarroch,4983
