anno,Provincia,Comune,Tipologia,Stelle,Numero Strutture,letti,camere
2022,Provincia di Oristano,ABBASANTA,Agriturismo,NULL,1,10,6
2022,Provincia di Oristano,ABBASANTA,Albergo,3 Stelle,1,91,31
2022,Provincia di Oristano,ABBASANTA,Albergo,4 Stelle,1,25,10
2022,Provincia di Oristano,ABBASANTA,Alloggi privati,NULL,2,9,3
2022,Provincia di Oristano,ABBASANTA,Bed and breakfast,2 Stelle,1,4,2
2022,Provincia di Sassari,AGGIUS,Agriturismo,NULL,3,38,21
2022,Provincia di Sassari,AGGIUS,Alloggi privati,NULL,7,32,17
2022,Provincia di Sassari,AGGIUS,Bed and breakfast,2 Stelle,1,6,3
2022,Provincia di Sassari,AGGIUS,Bed and breakfast,3 Stelle,2,15,6
2022,Provincia di Sassari,AGGIUS,Case e appartamenti per vacanze,II Categoria,1,8,3
2022,Provincia di Sassari,AGLIENTU,Affittacamere,III Categoria,1,4,1
2022,Provincia di Sassari,AGLIENTU,Agriturismo,NULL,10,118,44
2022,Provincia di Sassari,AGLIENTU,Albergo,2 Stelle,1,12,7
2022,Provincia di Sassari,AGLIENTU,Albergo,3 Stelle,5,725,284
2022,Provincia di Sassari,AGLIENTU,Albergo residenziale,3 Stelle,1,176,88
2022,Provincia di Sassari,AGLIENTU,Alloggi privati,NULL,113,633,259
2022,Provincia di Sassari,AGLIENTU,Bed and breakfast,2 Stelle,1,4,2
2022,Provincia di Sassari,AGLIENTU,Campeggio,1 Stella,1,250,50
2022,Provincia di Sassari,AGLIENTU,Campeggio,4 Stelle,2,3449,993
2022,Provincia di Sassari,AGLIENTU,Case e appartamenti per vacanze,II Categoria,2,72,33
2022,Provincia di Sassari,AGLIENTU,Case e appartamenti per vacanze,III Categoria,1,26,8
2022,Provincia di Sassari,ALÀ DEI SARDI,Alloggi privati,NULL,4,19,8
2022,Provincia di Sassari,ALÀ DEI SARDI,Bed and breakfast,2 Stelle,1,2,2
2022,Provincia di Oristano,ALES,Affittacamere,II Categoria,3,17,9
2022,Provincia di Oristano,ALES,Alloggi privati,NULL,2,10,5
2022,Provincia di Oristano,ALES,Bed and breakfast,1 Stella,2,8,5
2022,Provincia di Oristano,ALES,Case e appartamenti per vacanze,II Categoria,3,9,3
2022,Provincia di Sassari,ALGHERO,Affittacamere,NULL,36,262,126
2022,Provincia di Sassari,ALGHERO,Affittacamere,I Categoria,11,81,44
2022,Provincia di Sassari,ALGHERO,Affittacamere,II Categoria,97,734,350
2022,Provincia di Sassari,ALGHERO,Affittacamere,III Categoria,11,93,45
2022,Provincia di Sassari,ALGHERO,Agriturismo,NULL,32,384,185
2022,Provincia di Sassari,ALGHERO,Albergo,3 Stelle,14,1403,640
2022,Provincia di Sassari,ALGHERO,Albergo,4 Stelle,15,3791,1473
2022,Provincia di Sassari,ALGHERO,Albergo,5 Stelle,2,534,203
2022,Provincia di Sassari,ALGHERO,Albergo residenziale,2 Stelle,1,275,66
2022,Provincia di Sassari,ALGHERO,Albergo residenziale,3 Stelle,3,411,116
2022,Provincia di Sassari,ALGHERO,Albergo residenziale,4 Stelle,1,42,25
2022,Provincia di Sassari,ALGHERO,Alloggi privati,NULL,1223,5702,2459
2022,Provincia di Sassari,ALGHERO,Bed and breakfast,NULL,6,27,15
