"anno","Provincia","Comune","Tipologia","Categoria","Numero Strutture","letti","camere"
2023,"Città metropolitana di Cagliari","ASSEMINI","Affittacamere",,1,5,3
2023,"Città metropolitana di Cagliari","CAGLIARI","Affittacamere",,9,69,36
2023,"Città metropolitana di Cagliari","CAPOTERRA","Affittacamere",,1,6,3
2023,"Città metropolitana di Cagliari","MARACALAGONIS","Affittacamere",,1,5,4
2023,"Città metropolitana di Cagliari","QUARTU SANT'ELENA","Affittacamere",,1,5,3
2023,"Città metropolitana di Cagliari","QUARTUCCIU","Affittacamere",,1,17,5
2023,"Provincia del Sud Sardegna","ARBUS","Affittacamere",,1,6,3
2023,"Provincia del Sud Sardegna","GERGEI","Affittacamere",,1,9,4
2023,"Provincia del Sud Sardegna","IGLESIAS","Affittacamere",,4,31,15
2023,"Provincia del Sud Sardegna","VILLASIMIUS","Affittacamere",,2,7,5
2023,"Provincia di Nuoro","BAUNEI","Affittacamere",,1,12,6
2023,"Provincia di Nuoro","TORPÈ","Affittacamere",,1,12,6
2023,"Provincia di Nuoro","TORTOLÌ","Affittacamere",,1,8,4
2023,"Provincia di Oristano","CABRAS","Affittacamere",,2,20,8
2023,"Provincia di Sassari","ALGHERO","Affittacamere",,40,292,136
2023,"Provincia di Sassari","ARZACHENA","Affittacamere",,7,60,15
2023,"Provincia di Sassari","BADESI","Affittacamere",,2,8,4
2023,"Provincia di Sassari","BUDONI","Affittacamere",,2,17,8
2023,"Provincia di Sassari","BULTEI","Affittacamere",,1,6,2
2023,"Provincia di Sassari","CALANGIANUS","Affittacamere",,1,5,2
2023,"Provincia di Sassari","CASTELSARDO","Affittacamere",,5,49,25
2023,"Provincia di Sassari","GOLFO ARANCI","Affittacamere",,3,32,13
2023,"Provincia di Sassari","LA MADDALENA","Affittacamere",,4,28,12
2023,"Provincia di Sassari","LOIRI PORTO SAN PAOLO","Affittacamere",,2,24,11
2023,"Provincia di Sassari","LURAS","Affittacamere",,1,4,2
2023,"Provincia di Sassari","OLBIA","Affittacamere",,30,245,96
2023,"Provincia di Sassari","OSILO","Affittacamere",,1,11,6
2023,"Provincia di Sassari","OSSI","Affittacamere",,2,15,6
