anno,provincia,comune,tipologia,categoria,Numero strutture,Letti,Camere
2025,Città Metropolitana di Cagliari,Armungia,Affittacamere,2 Stelle,1,2,2
2025,Città Metropolitana di Cagliari,Armungia,Altri alloggi privati,,3,18,8
2025,Città Metropolitana di Cagliari,Armungia,Bed & Breakfast,1 Stella,2,7,5
2025,Città Metropolitana di Cagliari,Armungia,Bed & Breakfast,3 Stelle,1,6,3
2025,Città Metropolitana di Cagliari,Assemini,Affittacamere,,1,5,3
2025,Città Metropolitana di Cagliari,Assemini,Affittacamere,1 Stella,1,6,4
2025,Città Metropolitana di Cagliari,Assemini,Affittacamere,2 Stelle,1,9,5
2025,Città Metropolitana di Cagliari,Assemini,Affittacamere,II Categoria,2,15,7
2025,Città Metropolitana di Cagliari,Assemini,Agriturismo,,5,64,30
2025,Città Metropolitana di Cagliari,Assemini,Albergo,4 Stelle,1,182,84
2025,Città Metropolitana di Cagliari,Assemini,Altri alloggi privati,,103,460,169
2025,Città Metropolitana di Cagliari,Assemini,Bed & Breakfast,,2,9,5
2025,Città Metropolitana di Cagliari,Assemini,Bed & Breakfast,1 Stella,4,21,9
2025,Città Metropolitana di Cagliari,Assemini,Bed & Breakfast,2 Stelle,2,9,5
2025,Città Metropolitana di Cagliari,Assemini,Bed & Breakfast,3 Stelle,5,25,11
2025,Città Metropolitana di Cagliari,Assemini,Residence,II Categoria,1,50,25
2025,Città Metropolitana di Cagliari,Ballao,Agriturismo,,1,5,3
2025,Città Metropolitana di Cagliari,Ballao,Bed & Breakfast,2 Stelle,1,8,3
2025,Città Metropolitana di Cagliari,Barrali,Altri alloggi privati,,1,4,2
2025,Città Metropolitana di Cagliari,Burcei,Albergo Rurale,3 Stelle,1,10,7
2025,Città Metropolitana di Cagliari,Burcei,Altri alloggi privati,,2,9,5
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,,9,69,35
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,1 Stella,5,37,16
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,2 Stelle,35,242,127
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,3 Stelle,74,618,293
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,I Categoria,15,121,60
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,II Categoria,148,1235,614
2025,Città Metropolitana di Cagliari,Cagliari,Affittacamere,III Categoria,2,15,11
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,1 Stella,5,96,44
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,2 Stelle,4,83,45
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,3 Stelle,14,687,362
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,4 Stelle,9,1392,662
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,4 Stelle Superior,1,20,10
2025,Città Metropolitana di Cagliari,Cagliari,Albergo,5 Stelle,2,192,94
2025,Città Metropolitana di Cagliari,Cagliari,Albergo diffuso,3 Stelle,1,26,12
2025,Città Metropolitana di Cagliari,Cagliari,Altri alloggi privati,,2436,9566,4210
2025,Città Metropolitana di Cagliari,Cagliari,Altri alloggi privati,3 Stelle,1,2,1
2025,Città Metropolitana di Cagliari,Cagliari,Bed & Breakfast,,2,7,4
2025,Città Metropolitana di Cagliari,Cagliari,Bed & Breakfast,1 Stella,52,205,107
2025,Città Metropolitana di Cagliari,Cagliari,Bed & Breakfast,2 Stelle,36,167,84
2025,Città Metropolitana di Cagliari,Cagliari,Bed & Breakfast,3 Stelle,50,214,109
2025,Città Metropolitana di Cagliari,Cagliari,Boat & Breakfast,,5,12,5
2025,Città Metropolitana di Cagliari,Cagliari,Boat & Breakfast,Non definito,2,4,2
2025,Città Metropolitana di Cagliari,Cagliari,Casa per ferie e ospitalità religiosa,,4,807,461
2025,Città Metropolitana di Cagliari,Cagliari,Casa per ferie e ospitalità religiosa,III Categoria,5,525,395
2025,Città Metropolitana di Cagliari,Cagliari,Casa/App. vacanze,1 Stella,12,152,73
2025,Città Metropolitana di Cagliari,Cagliari,Casa/App. vacanze,2 Stelle,3,47,18
2025,Città Metropolitana di Cagliari,Cagliari,Casa/App. vacanze,3 Stelle,3,43,14
2025,Città Metropolitana di Cagliari,Cagliari,Casa/App. vacanze,II Categoria,12,140,79
2025,Città Metropolitana di Cagliari,Cagliari,Locanda,,2,18,9
2025,Città Metropolitana di Cagliari,Cagliari,Ostello,III Categoria,1,125,35
2025,Città Metropolitana di Cagliari,Cagliari,Residence,II Categoria,1,50,25
2025,Città Metropolitana di Cagliari,Cagliari,Residenza Turistico Alberghiera (R.T.A.),3 Stelle,1,298,122
2025,Città Metropolitana di Cagliari,Capoterra,Affittacamere,1 Stella,1,5,3
2025,Città Metropolitana di Cagliari,Capoterra,Affittacamere,2 Stelle,1,4,3
2025,Città Metropolitana di Cagliari,Capoterra,Affittacamere,3 Stelle,5,52,22
2025,Città Metropolitana di Cagliari,Capoterra,Affittacamere,II Categoria,4,39,18
2025,Città Metropolitana di Cagliari,Capoterra,Agriturismo,,5,48,7
2025,Città Metropolitana di Cagliari,Capoterra,Albergo,3 Stelle,2,40,20
2025,Città Metropolitana di Cagliari,Capoterra,Albergo,4 Stelle,1,153,71
2025,Città Metropolitana di Cagliari,Capoterra,Altri alloggi privati,,269,1198,552
2025,Città Metropolitana di Cagliari,Capoterra,Bed & Breakfast,,9,47,25
2025,Città Metropolitana di Cagliari,Capoterra,Bed & Breakfast,1 Stella,3,15,8
2025,Città Metropolitana di Cagliari,Capoterra,Bed & Breakfast,2 Stelle,5,25,13
2025,Città Metropolitana di Cagliari,Capoterra,Bed & Breakfast,3 Stelle,14,70,34
