anno,provincia,comune,mese,macro-tipologia,provenienza,arrivi,presenze
2025,Provincia della Gallura Nord-Est Sardegna,Aggius,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Liguria,0,0
2025,Provincia della Gallura Nord-Est Sardegna,Aggius,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Lazio,0,0
2025,Provincia della Gallura Nord-Est Sardegna,Aggius,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Sardegna,6,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Francia,94,174
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Paesi Bassi,22,33
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Germania,48,124
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Regno Unito,17,51
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Irlanda,5,15
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Danimarca,2,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Grecia,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Portogallo,6,10
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Spagna,23,38
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Belgio,15,38
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Norvegia,19,21
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Svezia,4,14
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Finlandia,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Svizzera (incluso Liechtenstein),23,85
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Austria,4,12
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Malta,10,20
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Estonia,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Lettonia,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Lituania,5,13
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Polonia,12,28
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Repubblica Ceca,0,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Slovacchia,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Ungheria,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Romania,26,51
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Ucraina,5,13
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Russia,5,7
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Slovenia,2,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Croazia,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Europei,4,5
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Egitto,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Africa Mediterranea,5,7
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi dell'Africa,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Stati Uniti d'America,26,57
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Canada,10,18
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Messico,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Venezuela,0,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Brasile,11,35
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Argentina,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Centro - Sud America,6,7
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Cipro,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Israele,2,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Cina,7,7
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Giappone,3,5
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi Asia Occidentale,2,8
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Altri Paesi dell'Asia,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Australia,6,9
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Piemonte,90,163
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Valle d'Aosta,11,25
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Lombardia,302,537
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Veneto,107,217
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Friuli-Venezia Giulia,19,39
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Liguria,41,82
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Emilia Romagna,108,215
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Toscana,126,219
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Umbria,15,21
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Marche,15,19
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Lazio,482,670
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Abruzzo,19,26
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Molise,4,10
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Campania,64,136
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Puglia,35,70
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Basilicata,3,9
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Calabria,41,94
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Sicilia,52,96
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Sardegna,1321,2039
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Bolzano,3,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Alberghieri,Trento,13,14
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Francia,23,56
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Paesi Bassi,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Germania,14,29
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Regno Unito,9,15
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Irlanda,1,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Spagna,17,42
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Belgio,7,17
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Lussemburgo,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Norvegia,1,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Svezia,1,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Finlandia,2,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Svizzera (incluso Liechtenstein),10,21
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Austria,6,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Polonia,25,82
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Repubblica Ceca,6,25
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Ungheria,6,17
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Romania,0,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Bulgaria,2,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Ucraina,4,12
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Altri Paesi dell'Africa,1,8
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Stati Uniti d'America,17,28
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Canada,12,19
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Messico,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Brasile,3,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Argentina,4,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Altri Paesi Centro - Sud America,2,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,India,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Giappone,3,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Altri Paesi dell'Asia,2,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Piemonte,37,69
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Valle d'Aosta,0,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Lombardia,73,190
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Veneto,9,17
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Friuli-Venezia Giulia,7,8
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Liguria,15,22
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Emilia Romagna,27,33
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Toscana,28,71
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Umbria,6,10
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Marche,3,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Lazio,37,81
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Abruzzo,6,11
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Molise,9,15
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Campania,22,86
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Puglia,10,16
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Basilicata,5,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Calabria,10,42
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Sicilia,16,78
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Sardegna,803,1194
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Bolzano,3,7
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Trento,4,12
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Francia,16,172
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Paesi Bassi,1,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Germania,9,85
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Regno Unito,1,5
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Spagna,4,29
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Norvegia,4,16
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Svezia,1,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Svizzera (incluso Liechtenstein),0,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Austria,0,10
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Polonia,15,62
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Repubblica Ceca,0,17
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Slovacchia,0,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Romania,4,37
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Bulgaria,1,4
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Ucraina,3,5
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Moldavia,1,13
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Russia,1,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Slovenia,2,48
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Croazia,6,39
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Altri Paesi Africa Mediterranea,0,31
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Stati Uniti d'America,8,37
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Canada,2,9
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Altri Paesi Centro - Sud America,5,16
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Cina,5,14
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Australia,4,105
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Piemonte,6,18
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Lombardia,8,132
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Veneto,5,18
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Friuli-Venezia Giulia,2,8
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Emilia Romagna,1,85
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Toscana,7,30
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Umbria,0,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Marche,0,124
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Lazio,7,68
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Abruzzo,1,3
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Molise,2,6
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Campania,0,0
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Puglia,0,2
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Calabria,1,1
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Sicilia,2,5
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Sardegna,95,606
2025,Città Metropolitana di Sassari,Alghero,1,Esercizi Extra-Alberghieri:Alloggi privati in affitto,Trento,1,7
2025,Città Metropolitana di Sassari,Anela,non disponibile,non disponibile,Toscana,1,1
2025,Città Metropolitana di Sassari,Anela,non disponibile,non disponibile,Sardegna,12,33
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Francia,8,17
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Germania,3,3
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Regno Unito,6,8
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Danimarca,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Spagna,1,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Norvegia,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Svizzera (incluso Liechtenstein),8,16
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Austria,2,4
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Romania,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Altri Paesi Europei,3,10
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Altri Paesi dell'Africa,1,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Stati Uniti d'America,1,3
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Venezuela,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Brasile,4,17
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Altri Paesi Centro - Sud America,2,8
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Altri Paesi Asia Occidentale,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Altri Paesi dell'Asia,1,3
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Australia,1,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Piemonte,7,8
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Lombardia,49,109
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Veneto,11,28
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Friuli-Venezia Giulia,1,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Liguria,3,3
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Emilia Romagna,3,3
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Toscana,7,12
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Umbria,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Marche,2,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Lazio,11,11
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Abruzzo,2,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Campania,10,22
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Puglia,7,12
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Basilicata,1,1
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Calabria,2,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Sicilia,8,17
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Sardegna,188,267
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Alberghieri,Bolzano,2,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Germania,1,31
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Spagna,2,2
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Svizzera (incluso Liechtenstein),4,34
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Polonia,1,31
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Ungheria,1,20
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Altri Paesi Europei,1,31
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Canada,1,6
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Altri Paesi dell'Asia,2,4
2025,Provincia della Gallura Nord-Est Sardegna,Arzachena,1,Esercizi Extra-Alberghieri:Esercizi Complementari,Piemonte,1,2
