data,porto/aeroporto,nome,arrivi,partenze
2026-07-11,Aeroporto,Olbia,14279,12967
2026-07-11,Aeroporto,Cagliari,12825,11796
2026-07-11,Aeroporto,Alghero,4614,4004
2026-07-10,Aeroporto,Olbia,16723,12357
2026-07-10,Aeroporto,Cagliari,12375,10942
2026-07-10,Aeroporto,Alghero,5187,4519
2026-07-09,Porto,Porto Torres,1565,1200
2026-07-09,Porto,Olbia,8985,7117
2026-07-09,Porto,Golfo Aranci,1082,1042
2026-07-09,Porto,Cagliari,664,764
2026-07-09,Porto,Arbatax,0,116
2026-07-09,Aeroporto,Olbia,12937,10438
2026-07-09,Aeroporto,Cagliari,10485,9629
2026-07-09,Aeroporto,Alghero,4423,4207
2026-07-08,Porto,Porto Torres,2569,1265
2026-07-08,Porto,Olbia,8681,6017
2026-07-08,Porto,Golfo Aranci,1171,963
2026-07-08,Porto,Cagliari,437,255
2026-07-08,Porto,Arbatax,306,0
2026-07-08,Aeroporto,Olbia,13017,11063
2026-07-08,Aeroporto,Cagliari,10575,9422
2026-07-08,Aeroporto,Alghero,4742,3958
2026-07-07,Porto,Porto Torres,3875,2103
2026-07-07,Porto,Olbia,9344,6128
2026-07-07,Porto,Golfo Aranci,1183,791
2026-07-07,Porto,Cagliari,1072,524
2026-07-07,Porto,Arbatax,0,159
2026-07-07,Aeroporto,Olbia,13268,12219
2026-07-07,Aeroporto,Cagliari,11977,10373
2026-07-07,Aeroporto,Alghero,4154,3918
2026-07-06,Porto,Porto Vesme,0,0
2026-07-06,Porto,Porto Torres,3425,1595
2026-07-06,Porto,Olbia,11386,6684
2026-07-06,Porto,Golfo Aranci,2604,1177
2026-07-06,Porto,Cagliari,1,726
2026-07-06,Aeroporto,Olbia,12732,12705
2026-07-06,Aeroporto,Cagliari,11646,11271
2026-07-06,Aeroporto,Alghero,5018,4432
2026-07-05,Porto,Porto Torres,3728,2339
2026-07-05,Porto,Olbia,11734,9277
2026-07-05,Porto,Golfo Aranci,2429,1919
2026-07-05,Porto,Cagliari,1100,0
2026-07-05,Porto,Arbatax,362,0
2026-07-05,Aeroporto,Olbia,13475,13672
2026-07-05,Aeroporto,Cagliari,12610,11694
2026-07-05,Aeroporto,Alghero,4511,4239
2026-07-04,Porto,Porto Vesme,0,0
2026-07-04,Porto,Porto Torres,5135,3431
2026-07-04,Porto,Olbia,12658,11874
2026-07-04,Porto,Golfo Aranci,2718,1730
2026-07-04,Porto,Cagliari,848,934
2026-07-04,Porto,Arbatax,0,0
2026-07-04,Aeroporto,Olbia,16192,14829
2026-07-04,Aeroporto,Cagliari,12780,12187
2026-07-04,Aeroporto,Alghero,4728,4301
2026-07-03,Porto,Porto Torres,5124,2589
2026-07-03,Porto,Olbia,10840,8106
2026-07-03,Porto,Golfo Aranci,2645,1278
2026-07-03,Porto,Cagliari,577,487
2026-07-03,Aeroporto,Olbia,16025,12686
2026-07-03,Aeroporto,Cagliari,11852,11099
2026-07-03,Aeroporto,Alghero,5189,4450
2026-07-02,Porto,Porto Torres,1965,1209
2026-07-02,Porto,Olbia,10084,6855
2026-07-02,Porto,Golfo Aranci,1148,786
2026-07-02,Porto,Cagliari,705,655
2026-07-02,Porto,Arbatax,0,95
2026-07-02,Aeroporto,Olbia,12800,10047
2026-07-02,Aeroporto,Cagliari,10294,9411
2026-07-02,Aeroporto,Alghero,4242,3840
2026-07-01,Porto,Porto Vesme,0,0
2026-07-01,Porto,Olbia,10377,6026
2026-07-01,Porto,Golfo Aranci,1122,916
2026-07-01,Porto,Cagliari,458,290
2026-07-01,Porto,Arbatax,319,0
2026-07-01,Aeroporto,Olbia,12416,10620
2026-07-01,Aeroporto,Cagliari,10412,9476
2026-07-01,Aeroporto,Alghero,4410,3718
2026-06-30,Porto,Porto Torres,3560,2402
2026-06-30,Porto,Olbia,10432,8433
2026-06-30,Porto,Golfo Aranci,1114,827
2026-06-30,Porto,Cagliari,1021,611
2026-06-30,Porto,Arbatax,0,131
2026-06-30,Aeroporto,Olbia,55,262
2026-06-30,Aeroporto,Cagliari,11059,11275
2026-06-30,Aeroporto,Alghero,4484,4584
2026-06-29,Porto,Porto Torres,2831,1916
2026-06-29,Porto,Olbia,9890,9457
2026-06-29,Porto,Golfo Aranci,2017,1591
2026-06-29,Porto,Cagliari,3,774
2026-06-29,Aeroporto,Olbia,11094,12143
2026-06-29,Aeroporto,Cagliari,10979,11767
2026-06-29,Aeroporto,Alghero,3832,4126
2026-06-28,Porto,Porto Vesme,0,0
2026-06-28,Porto,Porto Torres,3114,3161
2026-06-28,Porto,Olbia,10526,11287
2026-06-28,Porto,Golfo Aranci,2278,1885
2026-06-28,Porto,Cagliari,1127,1
2026-06-28,Porto,Arbatax,337,0
2026-06-28,Aeroporto,Olbia,13410,15351
2026-06-28,Aeroporto,Cagliari,12058,12025
2026-06-28,Aeroporto,Alghero,4254,3546
2026-06-27,Porto,Golfo Aranci,1159,626
2026-06-27,Porto,Arbatax,0,0
2026-06-27,Aeroporto,Olbia,391,533
2026-06-27,Aeroporto,Cagliari,13384,12273
2026-06-27,Aeroporto,Alghero,4849,4560
2026-06-26,Porto,Porto Vesme,0,0
2026-06-26,Porto,Golfo Aranci,1805,1421
2026-06-26,Porto,Arbatax,0,0
2026-06-26,Aeroporto,Olbia,14823,11881
2026-06-26,Aeroporto,Cagliari,12387,11075
2026-06-26,Aeroporto,Alghero,5343,4527
2026-06-25,Porto,Porto Vesme,0,0
2026-06-25,Porto,Porto Torres,1866,1744
2026-06-25,Porto,Olbia,8798,6585
2026-06-25,Porto,Golfo Aranci,997,690
2026-06-25,Porto,Cagliari,550,554
2026-06-25,Porto,Arbatax,0,52
2026-06-25,Aeroporto,Olbia,11621,9032
2026-06-25,Aeroporto,Cagliari,10764,8979
2026-06-25,Aeroporto,Alghero,4339,3528
2026-06-24,Porto,Porto Torres,1628,1310
2026-06-24,Porto,Olbia,7700,5443
2026-06-24,Porto,Golfo Aranci,917,618
2026-06-24,Porto,Cagliari,358,299
2026-06-24,Porto,Arbatax,271,0
2026-06-24,Aeroporto,Olbia,11002,9290
2026-06-24,Aeroporto,Cagliari,10500,9516
2026-06-24,Aeroporto,Alghero,4446,3993
2026-06-23,Porto,Porto Torres,3263,1395
2026-06-23,Porto,Olbia,7468,5221
2026-06-23,Porto,Golfo Aranci,1059,678
2026-06-23,Porto,Cagliari,843,352
2026-06-23,Porto,Arbatax,0,95
2026-06-23,Aeroporto,Olbia,10713,10044
2026-06-23,Aeroporto,Cagliari,10872,10237
2026-06-23,Aeroporto,Alghero,4242,3905
2026-06-22,Porto,Porto Vesme,0,0
2026-06-22,Porto,Porto Torres,2428,1351
2026-06-22,Porto,Olbia,9434,5747
2026-06-22,Porto,Golfo Aranci,1030,683
2026-06-22,Porto,Cagliari,0,672
2026-06-22,Aeroporto,Olbia,10420,10586
2026-06-22,Aeroporto,Cagliari,10696,10949
2026-06-22,Aeroporto,Alghero,3731,3657
2026-06-21,Porto,Porto Vesme,0,0
2026-06-21,Porto,Porto Torres,2981,1440
2026-06-21,Porto,Olbia,9534,7949
2026-06-21,Porto,Golfo Aranci,2193,1389
2026-06-21,Porto,Cagliari,1038,5
2026-06-21,Porto,Arbatax,248,0
2026-06-21,Aeroporto,Olbia,11776,12477
2026-06-21,Aeroporto,Cagliari,11628,11037
2026-06-21,Aeroporto,Alghero,4227,3650
2026-06-20,Porto,Porto Torres,4863,3392
2026-06-20,Porto,Olbia,11930,9589
2026-06-20,Porto,Golfo Aranci,2413,1625
2026-06-20,Porto,Cagliari,686,640
2026-06-20,Porto,Arbatax,0,0
2026-06-20,Aeroporto,Olbia,12353,11676
2026-06-20,Aeroporto,Cagliari,11887,11091
2026-06-20,Aeroporto,Alghero,4966,4033
2026-06-19,Porto,Porto Vesme,0,0
2026-06-19,Porto,Porto Torres,2657,2028
2026-06-19,Porto,Olbia,9730,6230
2026-06-19,Porto,Golfo Aranci,978,636
2026-06-19,Porto,Cagliari,401,340
2026-06-19,Porto,Arbatax,0,0
2026-06-19,Aeroporto,Olbia,12010,10037
2026-06-19,Aeroporto,Cagliari,11710,10767
2026-06-19,Aeroporto,Alghero,4255,3920
2026-06-18,Porto,Porto Torres,1805,1555
2026-06-18,Porto,Olbia,8383,5821
2026-06-18,Porto,Golfo Aranci,924,641
2026-06-18,Porto,Cagliari,419,538
2026-06-18,Porto,Arbatax,0,52
2026-06-18,Aeroporto,Olbia,9928,7581
2026-06-18,Aeroporto,Cagliari,9897,8491
2026-06-18,Aeroporto,Alghero,3977,3353
2026-06-17,Porto,Porto Torres,1740,1173
2026-06-17,Porto,Olbia,6514,4367
2026-06-17,Porto,Golfo Aranci,904,595
2026-06-17,Porto,Cagliari,391,230
2026-06-17,Porto,Arbatax,193,0
2026-06-17,Aeroporto,Olbia,9395,8418
2026-06-17,Aeroporto,Cagliari,9536,8925
2026-06-17,Aeroporto,Alghero,4055,3510
2026-06-16,Porto,Porto Torres,1643,918
2026-06-16,Porto,Olbia,7404,4904
2026-06-16,Porto,Golfo Aranci,894,610
2026-06-16,Porto,Cagliari,854,564
2026-06-16,Porto,Arbatax,0,43
2026-06-16,Aeroporto,Olbia,9762,9605
2026-06-16,Aeroporto,Cagliari,9815,9257
2026-06-16,Aeroporto,Alghero,4124,4067
2026-06-15,Porto,Porto Vesme,0,0
2026-06-15,Porto,Porto Torres,2445,1280
2026-06-15,Porto,Olbia,8823,5514
2026-06-15,Porto,Golfo Aranci,949,707
2026-06-15,Porto,Cagliari,0,523
2026-06-15,Aeroporto,Olbia,8187,8878
2026-06-15,Aeroporto,Cagliari,10557,10541
2026-06-15,Aeroporto,Alghero,3474,3725
2026-06-14,Porto,Porto Vesme,0,0
2026-06-14,Porto,Porto Torres,1571,872
2026-06-14,Porto,Olbia,9035,7922
2026-06-14,Porto,Golfo Aranci,948,839
2026-06-14,Porto,Cagliari,783,0
2026-06-14,Porto,Arbatax,235,0
2026-06-14,Aeroporto,Olbia,11313,12151
2026-06-14,Aeroporto,Cagliari,11052,10923
2026-06-14,Aeroporto,Alghero,3969,3871
2026-06-13,Porto,Porto Torres,3697,2805
2026-06-13,Porto,Olbia,9802,8521
2026-06-13,Porto,Golfo Aranci,1101,986
2026-06-13,Porto,Cagliari,566,634
2026-06-13,Porto,Arbatax,0,0
2026-06-13,Aeroporto,Olbia,11633,11099
2026-06-13,Aeroporto,Cagliari,11294,10110
2026-06-13,Aeroporto,Alghero,4820,4176
2026-06-12,Porto,Porto Torres,2850,1791
2026-06-12,Porto,Olbia,8930,5169
2026-06-12,Porto,Golfo Aranci,884,620
2026-06-12,Porto,Cagliari,324,454
2026-06-12,Aeroporto,Olbia,11476,9524
2026-06-12,Aeroporto,Cagliari,11427,11245
2026-06-12,Aeroporto,Alghero,4113,3633
2026-06-11,Porto,Porto Torres,1258,714
2026-06-11,Porto,Olbia,7568,4442
2026-06-11,Porto,Golfo Aranci,835,418
2026-06-11,Porto,Cagliari,321,492
2026-06-11,Porto,Arbatax,0,46
2026-06-11,Aeroporto,Olbia,9328,7615
2026-06-11,Aeroporto,Cagliari,9906,8778
2026-06-11,Aeroporto,Alghero,4317,3490
2026-06-10,Porto,Porto Torres,1465,1029
2026-06-10,Porto,Olbia,6241,3598
2026-06-10,Porto,Golfo Aranci,853,514
2026-06-10,Porto,Cagliari,381,174
2026-06-10,Porto,Arbatax,146,0
2026-06-10,Aeroporto,Olbia,9082,7767
2026-06-10,Aeroporto,Cagliari,9601,8572
2026-06-10,Aeroporto,Alghero,3767,3330
2026-06-09,Porto,Porto Torres,1338,650
2026-06-09,Porto,Olbia,6259,3616
2026-06-09,Porto,Golfo Aranci,709,362
2026-06-09,Porto,Cagliari,749,354
2026-06-09,Porto,Arbatax,0,37
2026-06-09,Aeroporto,Olbia,9309,9128
2026-06-09,Aeroporto,Cagliari,9436,9385
2026-06-09,Aeroporto,Alghero,3596,3605
2026-06-08,Porto,Porto Vesme,0,0
2026-06-08,Porto,Porto Torres,1977,1636
2026-06-08,Porto,Olbia,6876,4290
2026-06-08,Porto,Golfo Aranci,786,533
2026-06-08,Porto,Cagliari,1,451
2026-06-08,Aeroporto,Olbia,8038,8767
2026-06-08,Aeroporto,Cagliari,10287,10020
2026-06-08,Aeroporto,Alghero,3804,3587
2026-06-07,Porto,Porto Vesme,0,0
2026-06-07,Porto,Porto Torres,1325,1181
2026-06-07,Porto,Olbia,6678,7239
2026-06-07,Porto,Golfo Aranci,0,734
2026-06-07,Porto,Cagliari,827,3
2026-06-07,Porto,Arbatax,123,0
2026-06-07,Aeroporto,Olbia,11107,11762
2026-06-07,Aeroporto,Cagliari,11438,10536
2026-06-07,Aeroporto,Alghero,3930,3812
2026-06-06,Porto,Porto Torres,1494,1892
2026-06-06,Porto,Olbia,7824,8614
2026-06-06,Porto,Golfo Aranci,1260,2038
2026-06-06,Porto,Cagliari,462,501
2026-06-06,Aeroporto,Olbia,10938,11077
2026-06-06,Aeroporto,Cagliari,10103,10426
2026-06-06,Aeroporto,Alghero,4325,4116
2026-06-05,Porto,Porto Torres,3259,3223
2026-06-05,Porto,Olbia,6236,7419
2026-06-05,Porto,Golfo Aranci,909,1719
2026-06-05,Porto,Cagliari,319,356
2026-06-05,Aeroporto,Olbia,10528,8922
2026-06-05,Aeroporto,Cagliari,10385,10050
2026-06-05,Aeroporto,Alghero,4414,3807
2026-06-04,Porto,Porto Vesme,0,0
2026-06-04,Porto,Porto Torres,1622,1809
2026-06-04,Porto,Olbia,5516,6538
2026-06-04,Porto,Golfo Aranci,643,1063
2026-06-04,Porto,Cagliari,404,487
2026-06-04,Porto,Arbatax,0,33
2026-06-04,Aeroporto,Olbia,8824,7392
2026-06-04,Aeroporto,Cagliari,8853,8629
2026-06-04,Aeroporto,Alghero,3563,3087
2026-06-03,Porto,Porto Torres,1073,1104
2026-06-03,Porto,Olbia,5195,5572
2026-06-03,Porto,Golfo Aranci,648,882
2026-06-03,Porto,Cagliari,358,236
2026-06-03,Porto,Arbatax,105,0
2026-06-03,Aeroporto,Olbia,8815,9256
2026-06-03,Aeroporto,Cagliari,9075,9549
2026-06-03,Aeroporto,Alghero,3753,3766
2026-06-02,Porto,Porto Vesme,0,0
2026-06-02,Porto,Porto Torres,3021,2427
2026-06-02,Porto,Olbia,5060,8480
2026-06-02,Porto,Golfo Aranci,727,1068
2026-06-02,Porto,Cagliari,660,621
2026-06-02,Porto,Arbatax,0,112
2026-06-02,Aeroporto,Olbia,9537,10402
2026-06-02,Aeroporto,Cagliari,10310,10170
2026-06-02,Aeroporto,Alghero,4106,3764
2026-06-01,Porto,Porto Vesme,0,0
2026-06-01,Porto,Porto Torres,1325,1144
2026-06-01,Porto,Olbia,6408,5189
2026-06-01,Porto,Golfo Aranci,636,754
2026-06-01,Porto,Cagliari,2,934
2026-06-01,Porto,Arbatax,0,0
2026-06-01,Aeroporto,Olbia,8124,7245
2026-06-01,Aeroporto,Cagliari,9442,8960
2026-06-01,Aeroporto,Alghero,3537,3415
2026-05-31,Porto,Porto Torres,1973,936
2026-05-31,Porto,Olbia,6498,2894
2026-05-31,Porto,Golfo Aranci,1033,493
2026-05-31,Porto,Cagliari,779,1
2026-05-31,Porto,Arbatax,158,0
2026-05-31,Aeroporto,Olbia,10312,8559
2026-05-31,Aeroporto,Cagliari,8919,8675
2026-05-31,Aeroporto,Alghero,3975,2915
2026-05-30,Porto,Porto Torres,5334,1594
2026-05-30,Porto,Olbia,9767,4804
2026-05-30,Porto,Golfo Aranci,1147,581
2026-05-30,Porto,Cagliari,822,595
2026-05-30,Aeroporto,Olbia,10955,9504
2026-05-30,Aeroporto,Cagliari,11501,9937
2026-05-30,Aeroporto,Alghero,4065,3523
2026-05-29,Porto,Porto Torres,2154,984
2026-05-29,Porto,Olbia,6668,3564
2026-05-29,Porto,Golfo Aranci,986,535
2026-05-29,Porto,Cagliari,587,325
2026-05-29,Porto,Arbatax,0,0
2026-05-29,Aeroporto,Olbia,10451,8395
2026-05-29,Aeroporto,Cagliari,11119,9489
2026-05-29,Aeroporto,Alghero,4061,3140
2026-05-28,Porto,Porto Vesme,0,0
2026-05-28,Porto,Porto Torres,2174,956
2026-05-28,Porto,Olbia,6459,3869
2026-05-28,Porto,Golfo Aranci,730,447
2026-05-28,Porto,Cagliari,783,583
2026-05-28,Porto,Arbatax,0,41
2026-05-28,Aeroporto,Olbia,7829,6075
2026-05-28,Aeroporto,Cagliari,9696,7182
2026-05-28,Aeroporto,Alghero,3277,2577
2026-05-27,Porto,Porto Torres,1051,1005
2026-05-27,Porto,Olbia,0,1991
2026-05-27,Porto,Cagliari,319,215
2026-05-27,Porto,Arbatax,169,0
2026-05-27,Aeroporto,Olbia,7120,5712
2026-05-27,Aeroporto,Cagliari,8631,7298
2026-05-27,Aeroporto,Alghero,3191,2646
2026-05-26,Porto,Porto Torres,1936,211
2026-05-26,Porto,Olbia,0,2720
2026-05-26,Porto,Cagliari,762,275
2026-05-26,Porto,Arbatax,0,40
2026-05-26,Aeroporto,Olbia,7045,6318
2026-05-26,Aeroporto,Cagliari,8364,7554
2026-05-26,Aeroporto,Alghero,3391,3249
2026-05-25,Porto,Porto Torres,1921,1211
2026-05-25,Porto,Cagliari,4,453
2026-05-25,Aeroporto,Olbia,6832,6697
2026-05-25,Aeroporto,Cagliari,9365,9370
2026-05-25,Aeroporto,Alghero,3464,3273
2026-05-24,Porto,Porto Vesme,0,0
2026-05-24,Porto,Porto Torres,2738,922
2026-05-24,Porto,Olbia,6321,3308
2026-05-24,Porto,Golfo Aranci,2057,629
2026-05-24,Porto,Cagliari,715,0
2026-05-24,Porto,Arbatax,171,0
2026-05-24,Aeroporto,Olbia,9268,8343
2026-05-24,Aeroporto,Cagliari,9253,8615
2026-05-24,Aeroporto,Alghero,2803,2758
2026-05-23,Porto,Porto Vesme,0,0
2026-05-23,Porto,Porto Torres,2107,1449
2026-05-23,Porto,Olbia,6478,4009
2026-05-23,Porto,Golfo Aranci,1514,575
2026-05-23,Porto,Cagliari,312,425
2026-05-23,Aeroporto,Olbia,9646,6902
2026-05-23,Aeroporto,Cagliari,9369,7684
2026-05-23,Aeroporto,Alghero,3664,2943
2026-05-22,Porto,Porto Torres,1036,841
2026-05-22,Porto,Olbia,4616,3250
2026-05-22,Porto,Golfo Aranci,586,421
2026-05-22,Porto,Cagliari,283,293
2026-05-22,Aeroporto,Olbia,9010,6495
2026-05-22,Aeroporto,Cagliari,9868,8532
2026-05-22,Aeroporto,Alghero,3430,2866
2026-05-21,Porto,Porto Torres,1279,748
2026-05-21,Porto,Olbia,3411,2689
2026-05-21,Porto,Golfo Aranci,701,446
2026-05-21,Porto,Cagliari,273,472
2026-05-21,Porto,Arbatax,0,43
2026-05-21,Aeroporto,Olbia,7276,5419
2026-05-21,Aeroporto,Cagliari,7818,7073
2026-05-21,Aeroporto,Alghero,2929,2450
2026-05-20,Porto,Porto Torres,1026,890
2026-05-20,Porto,Olbia,3145,2315
2026-05-20,Porto,Golfo Aranci,430,393
2026-05-20,Porto,Cagliari,296,221
2026-05-20,Porto,Arbatax,127,0
2026-05-20,Aeroporto,Olbia,6151,4610
2026-05-20,Aeroporto,Cagliari,7845,6675
2026-05-20,Aeroporto,Alghero,2759,2506
2026-05-19,Porto,Porto Torres,855,738
2026-05-19,Porto,Olbia,4114,2085
2026-05-19,Porto,Golfo Aranci,534,323
2026-05-19,Porto,Cagliari,641,300
2026-05-19,Porto,Arbatax,0,28
2026-05-19,Aeroporto,Olbia,5553,5126
2026-05-19,Aeroporto,Cagliari,7451,6848
2026-05-19,Aeroporto,Alghero,2985,2862
2026-05-18,Porto,Porto Vesme,0,0
